"Step","Group: protoss_10_vs_11_QMIX - win_rate","Group: protoss_10_vs_11_QMIX - win_rate__MIN","Group: protoss_10_vs_11_QMIX - win_rate__MAX"
"480000","0","0","0"
"480015","0","0","0"
"480022","0.03125","0.03125","0.03125"
"480028","0","0","0"
"480037","0","0","0"
"480064","0","0","0"
"490000","0.03125","0.03125","0.03125"
"490024","0","0","0"
"490033","0","0","0"
"490042","0","0","0"
"490053","0","0","0"
"490057","0","0","0"
"500012","0","0","0"
"500013","0","0","0"
"500016","0","0","0"
"500020","0","0","0"
"500022","0","0","0"
"500024","0","0","0"
"510016","0","0","0"
"510017","0","0","0"
"510026","0","0","0"
"510056","0","0","0"
"510067","0","0","0"
"520005","0","0","0"
"520012","0","0","0"
"520018","0","0","0"
"520025","0","0","0"
"520057","0","0","0"
"520104","0","0","0"
"530000","0","0","0"
"530016","0","0","0"
"530020","0","0","0"
"530046","0","0","0"
"530052","0","0","0"
"540002","0","0","0"
"540013","0.03125","0.03125","0.03125"
"540024","0","0","0"
"540026","0","0","0"
"540049","0","0","0"
"540052","0","0","0"
"550013","0","0","0"
"550015","0","0","0"
"550019","0","0","0"
"550026","0","0","0"
"550029","0","0","0"
"550054","0.03125","0.03125","0.03125"
"560017","0","0","0"
"560020","0","0","0"
"560036","0","0","0"
"560055","0.03125","0.03125","0.03125"
"560056","0","0","0"
"560058","0","0","0"
"570000","0","0","0"
"570018","0.03125","0.03125","0.03125"
"570038","0.015625","0","0.03125"
"570046","0","0","0"
"570107","0","0","0"
"580010","0","0","0"
"580014","0","0","0"
"580015","0","0","0"
"580024","0","0","0"
"580062","0","0","0"
"580083","0","0","0"
"590010","0.03125","0.03125","0.03125"
"590021","0","0","0"
"590026","0","0","0"
"590030","0","0","0"
"590041","0","0","0"
"590057","0","0","0"
"600006","0.03125","0.03125","0.03125"
"600007","0","0","0"
"600026","0","0","0"
"600028","0","0","0"
"600045","0.03125","0.03125","0.03125"
"600050","0","0","0"
"610003","0.010416666666666666","0","0.03125"
"610005","0","0","0"
"610033","0","0","0"
"610057","0","0","0"
"620003","0","0","0"
"620006","0","0","0"
"620013","0","0","0"
"620031","0","0","0"
"620034","0","0","0"
"620053","0","0","0"
"630011","0","0","0"
"630027","0","0","0"
"630029","0","0","0"
"630041","0.03125","0.03125","0.03125"
"630054","0","0","0"
"630059","0","0","0"
"640006","0","0","0"
"640018","0","0","0"
"640024","0","0","0"
"640027","0","0","0"
"640028","0","0","0"
"640059","0","0","0"
"650011","0","0","0"
"650027","0","0","0"
"650036","0","0","0"
"650046","0","0","0"
"650049","0","0","0"
"650050","0.03125","0.03125","0.03125"
"660001","0","0","0"
"660005","0","0","0"
"660011","0","0","0"
"660015","0","0","0"
"660040","0","0","0"
"660058","0","0","0"
"670016","0","0","0"
"670025","0","0","0"
"670027","0","0","0"
"670030","0","0","0"
"670050","0","0","0"
"670053","0","0","0"
"680012","0.03125","0.03125","0.03125"
"680013","0","0","0"
"680014","0","0","0"
"680048","0","0","0"
"680050","0","0","0"
"690014","0","0","0"
"690016","0","0","0"
"690023","0.03125","0.03125","0.03125"
"690026","0","0","0"
"690027","0","0","0"
"690035","0.03125","0.03125","0.03125"
"700011","0","0","0"
"700023","0","0","0"
"700032","0.03125","0.03125","0.03125"
"700046","0","0","0"
"700050","0","0","0"
"700079","0","0","0"
"710007","0","0","0"
"710016","0","0","0"
"710018","0","0","0"
"710033","0.03125","0.03125","0.03125"
"710045","0","0","0"
"710046","0","0","0"
"720001","0","0","0"
"720004","0","0","0"
"720011","0","0","0"
"720025","0","0","0"
"720030","0","0","0"
"720087","0","0","0"
"730004","0","0","0"
"730008","0","0","0"
"730011","0","0","0"
"730024","0","0","0"
"730026","0","0","0"
"730027","0","0","0"
"740011","0","0","0"
"740014","0","0","0"
"740016","0","0","0"
"740024","0","0","0"
"740053","0.03125","0.03125","0.03125"
"740074","0","0","0"
"750015","0","0","0"
"750025","0","0","0"
"750031","0.03125","0.03125","0.03125"
"750039","0","0","0"
"750047","0","0","0"
"750054","0","0","0"
"760000","0","0","0"
"760006","0","0","0"
"760010","0","0","0"
"760022","0","0","0"
"760032","0","0","0"
"760045","0.03125","0.03125","0.03125"
"770009","0","0","0"
"770019","0","0","0"
"770027","0","0","0"
"770045","0","0","0"
"770046","0","0","0"
"770048","0","0","0"
"780000","0","0","0"
"780009","0","0","0"
"780010","0","0","0"
"780027","0","0","0"
"780028","0","0","0"
"790005","0","0","0"
"790019","0","0","0"
"790035","0","0","0"
"790040","0","0","0"
"790042","0.03125","0.03125","0.03125"
"790054","0","0","0"
"800000","0.03125","0.03125","0.03125"
"800004","0","0","0"
"800025","0","0","0"
"800027","0.03125","0.03125","0.03125"
"800033","0","0","0"
"800038","0","0","0"
"810014","0","0","0"
"810031","0.03125","0.03125","0.03125"
"810034","0","0","0"
"810039","0","0","0"
"810041","0","0","0"
"810044","0","0","0"
"820008","0","0","0"
"820023","0.03125","0.03125","0.03125"
"820027","0","0","0"
"820038","0.03125","0.03125","0.03125"
"820041","0","0","0"
"820046","0","0","0"
"830027","0","0","0"
"830036","0","0","0"
"830041","0","0","0"
"830049","0","0","0"
"830050","0.03125","0.03125","0.03125"
"830113","0","0","0"
"840004","0","0","0"
"840014","0","0","0"
"840021","0","0","0"
"840041","0","0","0"
"840047","0","0","0"
"840055","0","0","0"
"850002","0","0","0"
"850015","0","0","0"
"850023","0","0","0"
"850027","0","0","0"
"850035","0","0","0"
"850046","0","0","0"
"860007","0","0","0"
"860012","0","0","0"
"860020","0","0","0"
"860022","0","0","0"
"860023","0","0","0"
"860025","0","0","0"
"870019","0","0","0"
"870025","0","0","0"
"870026","0","0","0"
"870028","0","0","0"
"870031","0","0","0"
"870051","0","0","0"
"880000","0","0","0"
"880012","0.03125","0.03125","0.03125"
"880026","0","0","0"
"880053","0","0","0"
"880065","0","0","0"
"890012","0.03125","0.03125","0.03125"
"890015","0","0","0"
"890020","0.03125","0.03125","0.03125"
"890023","0","0","0"
"890034","0.03125","0.03125","0.03125"
"890052","0","0","0"
"900000","0","0","0"
"900005","0","0","0"
"900008","0","0","0"
"900009","0.03125","0.03125","0.03125"
"900041","0","0","0"
"900046","0","0","0"
"910012","0.03125","0.03125","0.03125"
"910023","0","0","0"
"910029","0","0","0"
"910042","0","0","0"
"910049","0","0","0"
"910067","0","0","0"
"920006","0","0","0"
"920007","0","0","0"
