"Step","Group: protoss_10_vs_11_ACORM - win_rate","Group: protoss_10_vs_11_ACORM - win_rate__MIN","Group: protoss_10_vs_11_ACORM - win_rate__MAX"
"440238","0.03125","0.03125","0.03125"
"440240","0","0","0"
"440246","0","0","0"
"440270","0","0","0"
"440278","0.125","0.125","0.125"
"440279","0","0","0"
"450225","0","0","0"
"450244","0.03125","0.03125","0.03125"
"450249","0.03125","0.03125","0.03125"
"450264","0.03125","0.03125","0.03125"
"450269","0","0","0"
"450276","0","0","0"
"460224","0","0","0"
"460246","0","0","0"
"460272","0","0","0"
"460278","0","0","0"
"460279","0","0","0"
"460281","0.0625","0.0625","0.0625"
"470222","0.03125","0.03125","0.03125"
"470235","0","0","0"
"470243","0.03125","0.03125","0.03125"
"470246","0","0","0"
"470251","0.03125","0.03125","0.03125"
"470267","0.0625","0.0625","0.0625"
"480225","0","0","0"
"480227","0","0","0"
"480229","0","0","0"
"480234","0","0","0"
"480258","0","0","0"
"480264","0","0","0"
"490220","0.03125","0.03125","0.03125"
"490227","0","0","0"
"490230","0","0","0"
"490231","0","0","0"
"490242","0","0","0"
"490250","0.03125","0.03125","0.03125"
"500238","0","0","0"
"500245","0","0","0"
"500253","0.03125","0.03125","0.03125"
"500263","0.0625","0.0625","0.0625"
"500273","0","0","0"
"500275","0","0","0"
"510230","0","0","0"
"510232","0","0","0"
"510241","0.0625","0.0625","0.0625"
"510255","0","0","0"
"510269","0","0","0"
"510279","0.03125","0.03125","0.03125"
"520221","0.03125","0.03125","0.03125"
"520232","0","0","0"
"520239","0","0","0"
"520260","0","0","0"
"520270","0","0","0"
"520281","0.03125","0.03125","0.03125"
"530223","0","0","0"
"530226","0","0","0"
"530234","0.03125","0.03125","0.03125"
"530245","0.03125","0.03125","0.03125"
"530249","0","0","0"
"530270","0","0","0"
"540220","0","0","0"
"540227","0","0","0"
"540243","0.046875","0.03125","0.0625"
"540252","0","0","0"
"540270","0","0","0"
"550229","0","0","0"
"550242","0.03125","0.03125","0.03125"
"550246","0","0","0"
"550259","0","0","0"
"550279","0.09375","0.09375","0.09375"
"560224","0","0","0"
"560229","0.03125","0.03125","0.03125"
"560255","0.03125","0.03125","0.03125"
"560257","0","0","0"
"560259","0.03125","0.03125","0.03125"
"560281","0","0","0"
"570243","0","0","0"
"570251","0","0","0"
"570254","0","0","0"
"570262","0","0","0"
"570263","0","0","0"
"570266","0","0","0"
"580226","0","0","0"
"580233","0.03125","0.03125","0.03125"
"580234","0","0","0"
"580243","0","0","0"
"580259","0","0","0"
"580265","0.03125","0.03125","0.03125"
"590223","0.03125","0.03125","0.03125"
"590235","0.03125","0.03125","0.03125"
"590240","0.03125","0.03125","0.03125"
"590247","0","0","0"
"590265","0","0","0"
"590269","0.09375","0.09375","0.09375"
"600227","0.0625","0.0625","0.0625"
"600228","0.0625","0.0625","0.0625"
"600245","0.03125","0.03125","0.03125"
"600247","0","0","0"
"600261","0","0","0"
"600280","0.03125","0.03125","0.03125"
"610221","0","0","0"
"610229","0.03125","0.03125","0.03125"
"610231","0","0","0"
"610243","0","0","0"
"610260","0","0","0"
"610262","0.0625","0.0625","0.0625"
"620227","0","0","0"
"620241","0","0","0"
"620243","0.03125","0.03125","0.03125"
"620245","0.03125","0.03125","0.03125"
"620259","0.0625","0.0625","0.0625"
"620266","0.03125","0.03125","0.03125"
"630236","0.03125","0.03125","0.03125"
"630243","0","0","0"
"630244","0.0625","0.0625","0.0625"
"630247","0.0625","0.0625","0.0625"
"630254","0","0","0"
"630278","0","0","0"
"640241","0.015625","0","0.03125"
"640257","0","0","0"
"640263","0.0625","0.0625","0.0625"
"640273","0","0","0"
"640305","0.03125","0.03125","0.03125"
"650232","0.03125","0.03125","0.03125"
"650238","0.09375","0.09375","0.09375"
"650239","0.0625","0.0625","0.0625"
"650245","0","0","0"
"650261","0.03125","0","0.0625"
"660221","0.03125","0.03125","0.03125"
"660222","0","0","0"
"660232","0","0","0"
"660236","0","0","0"
"660246","0.03125","0.03125","0.03125"
"660270","0","0","0"
"670223","0","0","0"
"670225","0","0","0"
"670251","0","0","0"
"670261","0.03125","0.03125","0.03125"
"670264","0.03125","0.03125","0.03125"
"670274","0","0","0"
"680230","0","0","0"
"680234","0","0","0"
"680241","0","0","0"
"680242","0","0","0"
"680248","0.03125","0.03125","0.03125"
"680266","0.03125","0.03125","0.03125"
"690230","0.0625","0.0625","0.0625"
"690231","0.03125","0.03125","0.03125"
"690238","0.0625","0.0625","0.0625"
"690240","0.03125","0.03125","0.03125"
"690245","0","0","0"
"690249","0","0","0"
"700226","0","0","0"
"700230","0.03125","0.03125","0.03125"
"700239","0.0625","0.0625","0.0625"
"700251","0.03125","0.03125","0.03125"
"700262","0","0","0"
"700271","0","0","0"
"710223","0","0","0"
"710229","0","0","0"
"710235","0","0","0"
"710251","0","0","0"
"710273","0.03125","0.03125","0.03125"
"710288","0.03125","0.03125","0.03125"
"720235","0","0","0"
"720240","0.0625","0.0625","0.0625"
"720241","0.03125","0.03125","0.03125"
"720242","0","0","0"
"720258","0.03125","0.03125","0.03125"
"720275","0.03125","0.03125","0.03125"
"730224","0","0","0"
"730225","0.0625","0.0625","0.0625"
"730226","0.03125","0.03125","0.03125"
"730235","0.03125","0.03125","0.03125"
"730261","0","0","0"
"730282","0","0","0"
"740239","0","0","0"
"740258","0","0","0"
"740259","0","0","0"
"740269","0.0625","0.0625","0.0625"
"740274","0.03125","0.03125","0.03125"
"740294","0.03125","0.03125","0.03125"
"750221","0.03125","0.03125","0.03125"
"750228","0.0625","0.0625","0.0625"
"750245","0.03125","0.03125","0.03125"
"750247","0.03125","0.03125","0.03125"
"750255","0.03125","0.03125","0.03125"
"750287","0","0","0"
"760253","0.03125","0.03125","0.03125"
"760258","0","0","0"
"760260","0","0","0"
"760265","0","0","0"
"760275","0","0","0"
"760295","0.09375","0.09375","0.09375"
"770221","0.03125","0.03125","0.03125"
"770226","0","0","0"
"770259","0","0","0"
"770261","0","0","0"
"770277","0","0","0"
"770296","0","0","0"
"780223","0.03125","0.03125","0.03125"
"780234","0.03125","0.03125","0.03125"
"780248","0.03125","0.03125","0.03125"
"780249","0.03125","0.03125","0.03125"
"780269","0.0625","0.0625","0.0625"
"780270","0","0","0"
"790238","0.03125","0.03125","0.03125"
"790248","0.0625","0.0625","0.0625"
"790253","0","0","0"
"790261","0.03125","0.03125","0.03125"
"790267","0","0","0"
"790286","0.03125","0.03125","0.03125"
"800221","0.15625","0.15625","0.15625"
"800223","0","0","0"
"800238","0.0625","0.0625","0.0625"
"800240","0","0","0"
"800263","0","0","0"
"800274","0.0625","0.0625","0.0625"
"810224","0.03125","0.03125","0.03125"
"810227","0","0","0"
"810228","0","0","0"
"810252","0.0625","0.0625","0.0625"
"810258","0.03125","0.03125","0.03125"
"810293","0","0","0"
"820228","0","0","0"
"820231","0","0","0"
"820232","0.125","0.09375","0.15625"
"820244","0","0","0"
"820278","0.0625","0.0625","0.0625"
"830241","0","0","0"
"830246","0.03125","0.03125","0.03125"
"830254","0","0","0"
"830260","0","0","0"
"830261","0.03125","0.03125","0.03125"
"840233","0.03125","0.03125","0.03125"
"840250","0.125","0.125","0.125"
"840256","0","0","0"
"840263","0","0","0"
"840269","0","0","0"
"840279","0.03125","0.03125","0.03125"
"850225","0","0","0"
"850228","0","0","0"
"850248","0.03125","0.03125","0.03125"
"850249","0","0","0"
"850253","0.03125","0.03125","0.03125"
"850338","0.03125","0.03125","0.03125"
"860242","0.015625","0","0.03125"
"860252","0.0625","0.0625","0.0625"
"860253","0.0625","0.0625","0.0625"
"860254","0","0","0"
"860267","0.03125","0.03125","0.03125"
"870224","0","0","0"
"870230","0","0","0"
"870247","0.03125","0.03125","0.03125"
"870261","0.03125","0.03125","0.03125"
"870263","0","0","0"
"870304","0.09375","0.09375","0.09375"
"880220","0","0","0"
"880234","0","0","0"
"880239","0","0","0"
"880241","0.0625","0.0625","0.0625"
"880256","0.03125","0.03125","0.03125"
"880257","0","0","0"
"890235","0.09375","0.09375","0.09375"
"890242","0","0","0"
"890245","0","0","0"
"890250","0.03125","0.03125","0.03125"
"890272","0","0","0"
"890294","0.125","0.125","0.125"
"900228","0.0625","0.0625","0.0625"
"900237","0.03125","0.03125","0.03125"
"900241","0","0","0"
"900247","0.03125","0.03125","0.03125"
"900259","0","0","0"
"900273","0.03125","0.03125","0.03125"
"910221","0","0","0"
"910243","0","0","0"
"910247","0","0","0"
"910250","0.03125","0.03125","0.03125"
"910253","0.03125","0.03125","0.03125"
"910271","0.0625","0.0625","0.0625"
"920225","0","0","0"
"920230","0.03125","0.03125","0.03125"
