"Step","Group: protoss_10_vs_11_ACORM_WM - win_rate","Group: protoss_10_vs_11_ACORM_WM - win_rate__MIN","Group: protoss_10_vs_11_ACORM_WM - win_rate__MAX"
"460285","0.0625","0.0625","0.0625"
"460327","0.03125","0.03125","0.03125"
"470224","0.09375","0.09375","0.09375"
"470230","0","0","0"
"470254","0.0625","0.0625","0.0625"
"470260","0.09375","0.09375","0.09375"
"470273","0.0625","0.0625","0.0625"
"480238","0","0","0"
"480241","0.0625","0.0625","0.0625"
"480245","0","0","0"
"480250","0.15625","0.15625","0.15625"
"480266","0","0","0"
"490227","0.03125","0.03125","0.03125"
"490232","0.09375","0.09375","0.09375"
"490247","0.09375","0.09375","0.09375"
"490250","0.0625","0.0625","0.0625"
"490268","0","0","0"
"500223","0.03125","0.03125","0.03125"
"500227","0.21875","0.21875","0.21875"
"500244","0.03125","0.03125","0.03125"
"500245","0.03125","0.03125","0.03125"
"500313","0.125","0.125","0.125"
"510227","0","0","0"
"510234","0.09375","0.09375","0.09375"
"510247","0.03125","0.03125","0.03125"
"510267","0.1875","0.1875","0.1875"
"510271","0.09375","0.09375","0.09375"
"520243","0.125","0.125","0.125"
"520249","0.0625","0.0625","0.0625"
"520252","0.09375","0.09375","0.09375"
"520314","0.03125","0.03125","0.03125"
"530230","0.09375","0.09375","0.09375"
"530231","0.0625","0.0625","0.0625"
"530244","0.0625","0.0625","0.0625"
"530266","0.09375","0.09375","0.09375"
"530275","0.09375","0.09375","0.09375"
"540220","0.09375","0.09375","0.09375"
"540228","0.03125","0.03125","0.03125"
"540242","0.125","0.125","0.125"
"540250","0.125","0.125","0.125"
"540256","0","0","0"
"550225","0.03125","0.03125","0.03125"
"550243","0.03125","0.03125","0.03125"
"550244","0.125","0.125","0.125"
"550263","0.09375","0.09375","0.09375"
"550274","0.03125","0.03125","0.03125"
"560220","0.125","0.125","0.125"
"560232","0.21875","0.21875","0.21875"
"560243","0.125","0.125","0.125"
"560261","0.125","0.125","0.125"
"560281","0.03125","0.03125","0.03125"
"570227","0.09375","0.09375","0.09375"
"570228","0.09375","0.09375","0.09375"
"570232","0.0625","0.0625","0.0625"
"570235","0.0625","0.0625","0.0625"
"570239","0.15625","0.15625","0.15625"
"580234","0.03125","0.03125","0.03125"
"580249","0.03125","0.03125","0.03125"
"580251","0.09375","0.09375","0.09375"
"580254","0.09375","0.09375","0.09375"
"580259","0.1875","0.1875","0.1875"
"590236","0.0625","0.0625","0.0625"
"590245","0.0625","0.0625","0.0625"
"590254","0.09375","0.09375","0.09375"
"590275","0.125","0.125","0.125"
"590280","0.09375","0.09375","0.09375"
"600222","0.1875","0.1875","0.1875"
"600228","0.09375","0.09375","0.09375"
"600230","0.15625","0.15625","0.15625"
"600240","0.03125","0.03125","0.03125"
"600253","0.09375","0.09375","0.09375"
"610227","0","0","0"
"610238","0.09375","0.03125","0.15625"
"610276","0.09375","0.09375","0.09375"
"610342","0.0625","0.0625","0.0625"
"620225","0.0625","0.0625","0.0625"
"620235","0.0625","0.0625","0.0625"
"620266","0.125","0.125","0.125"
"620283","0.09375","0.09375","0.09375"
"620288","0.15625","0.15625","0.15625"
"630242","0.09375","0.09375","0.09375"
"630248","0.0625","0.0625","0.0625"
"630260","0.0625","0.0625","0.0625"
"630263","0.125","0.125","0.125"
"630341","0","0","0"
"640229","0.125","0.125","0.125"
"640254","0.15625","0.15625","0.15625"
"640257","0.09375","0.09375","0.09375"
"640259","0.03125","0.03125","0.03125"
"640278","0.0625","0.0625","0.0625"
"650226","0.15625","0.15625","0.15625"
"650237","0.15625","0.15625","0.15625"
"650252","0.125","0.125","0.125"
"650276","0.09375","0.09375","0.09375"
"650287","0.09375","0.09375","0.09375"
"660223","0.09375","0.09375","0.09375"
"660229","0.03125","0.03125","0.03125"
"660265","0.125","0.125","0.125"
"660280","0.09375","0.09375","0.09375"
"660296","0.0625","0.0625","0.0625"
"670222","0.09375","0.09375","0.09375"
"670225","0.03125","0.03125","0.03125"
"670228","0.15625","0.15625","0.15625"
"670234","0.0625","0.0625","0.0625"
"670280","0.125","0.125","0.125"
"680220","0.15625","0.15625","0.15625"
"680234","0.09375","0.09375","0.09375"
"680266","0.125","0.125","0.125"
"680269","0.125","0.125","0.125"
"680281","0.09375","0.09375","0.09375"
"690225","0.0625","0.0625","0.0625"
"690233","0.0625","0.0625","0.0625"
"690254","0.0625","0.0625","0.0625"
"690266","0.09375","0.09375","0.09375"
"690278","0.15625","0.15625","0.15625"
"700223","0.03125","0.03125","0.03125"
"700245","0.09375","0.09375","0.09375"
"700267","0.1875","0.1875","0.1875"
"700278","0.03125","0.03125","0.03125"
"700294","0.125","0.125","0.125"
"710223","0.15625","0.15625","0.15625"
"710224","0.1875","0.1875","0.1875"
"710245","0.09375","0.09375","0.09375"
"710262","0.125","0.125","0.125"
"710302","0.09375","0.09375","0.09375"
"720239","0.1875","0.1875","0.1875"
"720243","0.0625","0.0625","0.0625"
"720247","0.09375","0.09375","0.09375"
"720266","0.09375","0.09375","0.09375"
"720391","0.125","0.125","0.125"
"730225","0.0625","0.0625","0.0625"
"730230","0.09375","0.09375","0.09375"
"730259","0.15625","0.15625","0.15625"
"730267","0.1875","0.1875","0.1875"
"730288","0.125","0.125","0.125"
"740221","0.1875","0.1875","0.1875"
"740228","0.140625","0.125","0.15625"
"740246","0.125","0.125","0.125"
"740264","0","0","0"
"750250","0.0625","0.0625","0.0625"
"750253","0.109375","0.09375","0.125"
"750255","0.21875","0.21875","0.21875"
"750262","0.1875","0.1875","0.1875"
"760220","0.0625","0.0625","0.0625"
"760227","0.125","0.125","0.125"
"760241","0.09375","0.09375","0.09375"
"760249","0.15625","0.15625","0.15625"
"760301","0.125","0.125","0.125"
"770232","0.0625","0.0625","0.0625"
"770247","0.125","0.125","0.125"
"770250","0.09375","0.09375","0.09375"
"770266","0.125","0.125","0.125"
"770283","0.0625","0.0625","0.0625"
"780231","0.0625","0.03125","0.09375"
"780257","0.0625","0.0625","0.0625"
"780267","0.21875","0.21875","0.21875"
"780280","0.09375","0.09375","0.09375"
"790235","0.125","0.125","0.125"
"790245","0.1875","0.1875","0.1875"
"790248","0.125","0.125","0.125"
"790273","0.21875","0.21875","0.21875"
"790300","0.09375","0.09375","0.09375"
"800222","0.09375","0.09375","0.09375"
"800253","0","0","0"
"800259","0.109375","0.09375","0.125"
"800263","0.25","0.25","0.25"
