"Step","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MIN","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MAX"
"0","0","0","0"
"10227","0","0","0"
"10232","0","0","0"
"10236","0","0","0"
"10242","0","0","0"
"10263","0","0","0"
"20226","0","0","0"
"20236","0","0","0"
"20237","0","0","0"
"20240","0","0","0"
"20253","0","0","0"
"30225","0","0","0"
"30226","0","0","0"
"30228","0","0","0"
"30231","0","0","0"
"30233","0","0","0"
"40220","0","0","0"
"40235","0","0","0"
"40236","0","0","0"
"40248","0","0","0"
"40261","0","0","0"
"50220","0","0","0"
"50229","0","0","0"
"50235","0","0","0"
"50239","0","0","0"
"50243","0","0","0"
"60221","0","0","0"
"60224","0","0","0"
"60229","0","0","0"
"60234","0","0","0"
"60252","0","0","0"
"70227","0","0","0"
"70238","0","0","0"
"70252","0","0","0"
"70257","0","0","0"
"70264","0","0","0"
"80221","0","0","0"
"80237","0","0","0"
"80250","0","0","0"
"80255","0","0","0"
"80260","0","0","0"
"90224","0","0","0"
"90233","0","0","0"
"90234","0","0","0"
"90238","0","0","0"
"90247","0","0","0"
"100221","0","0","0"
"100233","0","0","0"
"100246","0","0","0"
"100265","0","0","0"
"110220","0","0","0"
"110229","0","0","0"
"110236","0","0","0"
"110266","0","0","0"
"110284","0","0","0"
"120228","0","0","0"
"120245","0","0","0"
"120251","0","0","0"
"120268","0","0","0"
"120319","0","0","0"
"130223","0","0","0"
"130224","0","0","0"
"130226","0","0","0"
"130233","0","0","0"
"130248","0","0","0"
"140239","0","0","0"
"140241","0","0","0"
"140261","0","0","0"
"140267","0","0","0"
"150233","0","0","0"
"150240","0","0","0"
"150254","0","0","0"
"150318","0","0","0"
"150384","0","0","0"
"160221","0","0","0"
"160252","0","0","0"
"160258","0","0","0"
"160261","0","0","0"
"160262","0","0","0"
"170225","0","0","0"
"170249","0","0","0"
"170256","0","0","0"
"170279","0","0","0"
"170372","0","0","0"
"180240","0","0","0"
"180247","0","0","0"
"180254","0","0","0"
"180262","0","0","0"
"180283","0","0","0"
"190221","0","0","0"
"190234","0","0","0"
"190250","0","0","0"
"190256","0","0","0"
"190312","0","0","0"
"200222","0","0","0"
"200229","0","0","0"
"200254","0","0","0"
"200268","0","0","0"
"200276","0","0","0"
"210227","0","0","0"
"210237","0","0","0"
"210245","0","0","0"
"210274","0","0","0"
"220220","0","0","0"
"220225","0","0","0"
"220232","0","0","0"
"220234","0","0","0"
"220248","0","0","0"
"230232","0","0","0"
"230240","0","0","0"
"230265","0","0","0"
"230270","0","0","0"
"230273","0","0","0"
"240247","0","0","0"
"240254","0","0","0"
"240262","0","0","0"
"240265","0","0","0"
"240322","0","0","0"
"250221","0","0","0"
"250241","0","0","0"
"250251","0","0","0"
"250275","0","0","0"
"250276","0","0","0"
"260235","0","0","0"
"260261","0","0","0"
"260274","0","0","0"
"260295","0","0","0"
"260358","0","0","0"
"270229","0","0","0"
"270233","0","0","0"
"270244","0","0","0"
"270245","0","0","0"
"270294","0","0","0"
"280226","0","0","0"
"280236","0","0","0"
"280240","0","0","0"
"280268","0","0","0"
"280269","0","0","0"
"290220","0","0","0"
"290228","0","0","0"
"290238","0","0","0"
"290253","0","0","0"
"290259","0","0","0"
"300230","0","0","0"
"300245","0","0","0"
"300253","0","0","0"
"300328","0","0","0"
"300366","0","0","0"
"310224","0","0","0"
"310261","0","0","0"
"310291","0","0","0"
"310330","0","0","0"
"320228","0","0","0"
"320230","0","0","0"
"320248","0","0","0"
"320281","0","0","0"
"320359","0","0","0"
"330223","0","0","0"
"330245","0","0","0"
"330258","0","0","0"
"330294","0","0","0"
"330345","0","0","0"
"340227","0","0","0"
"340262","0","0","0"
"340267","0","0","0"
"340316","0","0","0"
"340328","0","0","0"
"350234","0","0","0"
"350237","0","0","0"
"350245","0","0","0"
"350253","0","0","0"
"350309","0","0","0"
"360260","0","0","0"
"360307","0","0","0"
"360365","0","0","0"
"360376","0","0","0"
"360387","0","0","0"
"370242","0","0","0"
"370266","0","0","0"
"370301","0","0","0"
"370319","0","0","0"
"370322","0","0","0"
"380250","0","0","0"
"380251","0","0","0"
"380252","0","0","0"
"380274","0","0","0"
"380332","0","0","0"
"390244","0","0","0"
"390246","0","0","0"
"390266","0","0","0"
"390349","0","0","0"
"390377","0","0","0"
"400232","0","0","0"
"400281","0","0","0"
"400293","0","0","0"
"400333","0","0","0"
"400368","0","0","0"
"410237","0","0","0"
"410244","0","0","0"
"410278","0.03125","0.03125","0.03125"
"410304","0","0","0"
"410389","0","0","0"
"420221","0","0","0"
"420236","0","0","0"
"420238","0","0","0"
"420321","0","0","0"
"430244","0","0","0"
"430299","0","0","0"
"430348","0","0","0"
