"Step","Group: terran_10_vs_11_ACORM_WM - win_rate","Group: terran_10_vs_11_ACORM_WM - win_rate__MIN","Group: terran_10_vs_11_ACORM_WM - win_rate__MAX"
"0","0","0","0"
"10224","0","0","0"
"10236","0","0","0"
"10240","0","0","0"
"10241","0","0","0"
"20230","0","0","0"
"20245","0","0","0"
"20252","0","0","0"
"20256","0","0","0"
"20271","0","0","0"
"30233","0","0","0"
"30240","0.03125","0.03125","0.03125"
"30244","0","0","0"
"30254","0.03125","0.03125","0.03125"
"30266","0.03125","0.03125","0.03125"
"40221","0","0","0"
"40239","0","0","0"
"40253","0","0","0"
"40263","0","0","0"
"40327","0","0","0"
"50229","0.03125","0.03125","0.03125"
"50232","0","0","0"
"50233","0","0","0"
"50235","0","0","0"
"50271","0","0","0"
"60229","0","0","0"
"60240","0","0","0"
"60245","0","0","0"
"60247","0","0","0"
"60249","0","0","0"
"70224","0","0","0"
"70232","0","0","0"
"70236","0.03125","0.03125","0.03125"
"70271","0","0","0"
"70279","0","0","0"
"80221","0","0","0"
"80226","0.0625","0.0625","0.0625"
"80246","0","0","0"
"80285","0","0","0"
"80286","0","0","0"
"90222","0","0","0"
"90233","0","0","0"
"90234","0.03125","0.03125","0.03125"
"90266","0","0","0"
"90271","0","0","0"
"100222","0","0","0"
"100224","0","0","0"
"100249","0","0","0"
"100253","0","0","0"
"110221","0","0","0"
"110226","0","0","0"
"110234","0","0","0"
"110235","0.0625","0.0625","0.0625"
"110250","0","0","0"
"120228","0.03125","0.03125","0.03125"
"120235","0.015625","0","0.03125"
"120240","0","0","0"
"120260","0","0","0"
"130225","0.03125","0.03125","0.03125"
"130231","0.0625","0.0625","0.0625"
"130240","0.0625","0.0625","0.0625"
"130243","0.015625","0","0.03125"
"140222","0.015625","0","0.03125"
"140234","0","0","0"
"140244","0","0","0"
"140264","0","0","0"
"150228","0","0","0"
"150236","0.03125","0.03125","0.03125"
"150243","0","0","0"
"150260","0.03125","0.03125","0.03125"
"150277","0.03125","0.03125","0.03125"
"160250","0","0","0"
"160254","0","0","0"
"160255","0","0","0"
"160258","0.03125","0.03125","0.03125"
"160261","0","0","0"
"170221","0.03125","0.03125","0.03125"
"170229","0.0625","0.0625","0.0625"
"170246","0","0","0"
"170253","0","0","0"
"170285","0.03125","0.03125","0.03125"
"180224","0","0","0"
"180229","0.0625","0.0625","0.0625"
"180240","0.03125","0.03125","0.03125"
"180244","0","0","0"
"190238","0","0","0"
"190240","0","0","0"
"190242","0","0","0"
"190249","0","0","0"
"190252","0","0","0"
"200239","0","0","0"
"200244","0","0","0"
"200249","0","0","0"
"200263","0.03125","0.03125","0.03125"
"200270","0","0","0"
"210239","0.03125","0.03125","0.03125"
"210240","0","0","0"
"210253","0","0","0"
"210261","0","0","0"
"210285","0.03125","0.03125","0.03125"
"220232","0","0","0"
"220238","0","0","0"
"220246","0","0","0"
"220248","0","0","0"
"220264","0","0","0"
"230238","0","0","0"
"230239","0","0","0"
"230242","0.03125","0.03125","0.03125"
"230252","0.03125","0.03125","0.03125"
"230257","0","0","0"
"240220","0","0","0"
"240224","0.03125","0.03125","0.03125"
"240227","0","0","0"
"240238","0.0625","0.0625","0.0625"
"240263","0.03125","0.03125","0.03125"
"250225","0","0","0"
"250239","0","0","0"
"250249","0.03125","0","0.0625"
"250255","0","0","0"
"260231","0.03125","0.03125","0.03125"
"260232","0.03125","0.03125","0.03125"
"260240","0.03125","0.03125","0.03125"
"260243","0.0625","0.0625","0.0625"
"260265","0","0","0"
"270232","0","0","0"
"270246","0","0","0"
"270247","0.03125","0.03125","0.03125"
"270261","0.0625","0.0625","0.0625"
"270268","0","0","0"
"280221","0","0","0"
"280229","0.03125","0.03125","0.03125"
"280239","0.03125","0.03125","0.03125"
"280246","0","0","0"
"280249","0.03125","0.03125","0.03125"
"290231","0","0","0"
"290235","0.03125","0","0.0625"
"290239","0.03125","0.03125","0.03125"
"290248","0","0","0"
"300221","0","0","0"
"300225","0.0625","0.0625","0.0625"
"300228","0.03125","0.03125","0.03125"
"300238","0","0","0"
"300261","0","0","0"
"310221","0","0","0"
"310225","0.03125","0.03125","0.03125"
"310233","0","0","0"
"310248","0.0625","0.0625","0.0625"
"310295","0.03125","0.03125","0.03125"
"320221","0","0","0"
"320234","0","0","0"
"320239","0.03125","0.03125","0.03125"
"320253","0","0","0"
