"Step","Group: terran_10_vs_11_ACORM - win_rate","Group: terran_10_vs_11_ACORM - win_rate__MIN","Group: terran_10_vs_11_ACORM - win_rate__MAX"
"400621","0.03125","0.03125","0.03125"
"410605","0.0625","0.0625","0.0625"
"410607","0.09375","0.09375","0.09375"
"410616","0.03125","0.03125","0.03125"
"410625","0","0","0"
"410629","0","0","0"
"410636","0","0","0"
"420609","0.03125","0.03125","0.03125"
"420618","0","0","0"
"420624","0","0","0"
"420631","0","0","0"
"420632","0","0","0"
"420665","0","0","0"
"430605","0","0","0"
"430607","0.03125","0.03125","0.03125"
"430618","0.0625","0.0625","0.0625"
"430622","0.03125","0.03125","0.03125"
"430627","0.03125","0.03125","0.03125"
"430632","0.03125","0.03125","0.03125"
"440601","0","0","0"
"440605","0.0625","0.0625","0.0625"
"440608","0","0","0"
"440614","0","0","0"
"440619","0","0","0"
"440627","0.03125","0.03125","0.03125"
"450607","0","0","0"
"450621","0","0","0"
"450627","0.03125","0.03125","0.03125"
"450632","0.0625","0.0625","0.0625"
"450655","0.03125","0.03125","0.03125"
"450663","0.03125","0.03125","0.03125"
"460614","0.09375","0.09375","0.09375"
"460618","0.03125","0.03125","0.03125"
"460622","0","0","0"
"460632","0","0","0"
"460633","0.0625","0.0625","0.0625"
"460642","0.03125","0.03125","0.03125"
"470600","0","0","0"
"470616","0.0625","0.0625","0.0625"
"470617","0.0625","0.0625","0.0625"
"470621","0","0","0"
"470623","0.0625","0.0625","0.0625"
"470629","0.03125","0.03125","0.03125"
"480631","0.0625","0.0625","0.0625"
"480634","0","0","0"
"480638","0.03125","0.03125","0.03125"
"480641","0","0","0"
"480656","0.125","0.125","0.125"
"480670","0.0625","0.0625","0.0625"
"490604","0.03125","0.03125","0.03125"
"490605","0.0625","0.0625","0.0625"
"490608","0.09375","0.09375","0.09375"
"490615","0","0","0"
"490652","0","0","0"
"490726","0.125","0.125","0.125"
"500603","0.03125","0.03125","0.03125"
"500623","0","0","0"
"500624","0.03125","0.03125","0.03125"
"500625","0","0","0"
"500633","0.03125","0.03125","0.03125"
"500678","0.03125","0.03125","0.03125"
"510606","0","0","0"
"510609","0.03125","0","0.0625"
"510631","0","0","0"
"510633","0","0","0"
"510652","0.15625","0.15625","0.15625"
"520602","0.03125","0.03125","0.03125"
"520604","0.09375","0.09375","0.09375"
"520613","0.03125","0.03125","0.03125"
"520614","0.015625","0","0.03125"
"520643","0.03125","0.03125","0.03125"
"530604","0","0","0"
"530606","0","0","0"
"530615","0","0","0"
"530620","0","0","0"
"530622","0.03125","0.03125","0.03125"
"530634","0.09375","0.09375","0.09375"
"540609","0","0","0"
"540618","0.09375","0.09375","0.09375"
"540619","0","0","0"
"540622","0.0625","0","0.125"
"540642","0.03125","0.03125","0.03125"
"550606","0.03125","0.03125","0.03125"
"550610","0.03125","0.03125","0.03125"
"550612","0","0","0"
"550617","0","0","0"
"550625","0.03125","0.03125","0.03125"
"550636","0","0","0"
"560607","0.0625","0.0625","0.0625"
"560612","0.125","0.125","0.125"
"560622","0.0625","0.0625","0.0625"
"560624","0.0625","0.0625","0.0625"
"560627","0.03125","0.03125","0.03125"
"560628","0.03125","0.03125","0.03125"
"570605","0.03125","0.03125","0.03125"
"570625","0","0","0"
"570630","0.03125","0.03125","0.03125"
"570643","0","0","0"
"570650","0.03125","0.03125","0.03125"
"570681","0.1875","0.1875","0.1875"
"580606","0.03125","0.03125","0.03125"
"580612","0.03125","0.03125","0.03125"
"580613","0","0","0"
"580629","0.0625","0.0625","0.0625"
"580630","0.125","0.125","0.125"
"580647","0.0625","0.0625","0.0625"
"590612","0.09375","0.09375","0.09375"
"590630","0.03125","0","0.0625"
"590641","0.0625","0.0625","0.0625"
"590668","0.09375","0.09375","0.09375"
"590690","0.03125","0.03125","0.03125"
"600620","0.1875","0.1875","0.1875"
"600621","0","0","0"
"600623","0.0625","0.0625","0.0625"
"600625","0.0625","0.0625","0.0625"
"600629","0.0625","0.0625","0.0625"
"600729","0","0","0"
"610602","0.0625","0.0625","0.0625"
"610617","0.0625","0.0625","0.0625"
"610633","0.0625","0.0625","0.0625"
"610642","0.03125","0.03125","0.03125"
"610645","0.0625","0.0625","0.0625"
"610678","0.25","0.25","0.25"
"620611","0.09375","0.09375","0.09375"
"620616","0.0625","0.0625","0.0625"
"620624","0","0","0"
"620627","0","0","0"
"620631","0","0","0"
"620633","0","0","0"
"630600","0.020833333333333332","0","0.03125"
"630604","0.03125","0.03125","0.03125"
"630605","0.03125","0.03125","0.03125"
"630659","0.125","0.125","0.125"
"640602","0","0","0"
"640606","0.03125","0.03125","0.03125"
"640610","0.0625","0.0625","0.0625"
"640612","0.09375","0.09375","0.09375"
"640625","0","0","0"
"640639","0.03125","0.03125","0.03125"
"650604","0","0","0"
"650616","0.15625","0.15625","0.15625"
"650618","0","0","0"
"650629","0.09375","0.09375","0.09375"
"650638","0.03125","0.03125","0.03125"
"650709","0.03125","0.03125","0.03125"
"660608","0.0625","0.0625","0.0625"
"660616","0.09375","0.09375","0.09375"
"660625","0.03125","0.03125","0.03125"
"660642","0","0","0"
"660665","0","0","0"
"660672","0.125","0.125","0.125"
"670609","0.03125","0.03125","0.03125"
"670629","0","0","0"
"670631","0.09375","0.09375","0.09375"
"670642","0.03125","0.03125","0.03125"
"670644","0.1875","0.1875","0.1875"
"670645","0.03125","0.03125","0.03125"
"680607","0.09375","0.09375","0.09375"
"680608","0.0625","0.0625","0.0625"
"680610","0.0625","0.0625","0.0625"
"680611","0.03125","0.03125","0.03125"
"680617","0.125","0.125","0.125"
"680652","0","0","0"
"690602","0","0","0"
"690604","0.09375","0.09375","0.09375"
"690610","0.03125","0.03125","0.03125"
"690631","0.3125","0.3125","0.3125"
"690636","0","0","0"
"690646","0","0","0"
"700601","0.03125","0.03125","0.03125"
"700603","0","0","0"
"700613","0.15625","0.15625","0.15625"
"700618","0","0","0"
"700624","0","0","0"
"700631","0.21875","0.21875","0.21875"
"710601","0","0","0"
"710605","0","0","0"
"710606","0.09375","0.09375","0.09375"
"710612","0.0625","0.0625","0.0625"
"710617","0.0625","0.0625","0.0625"
"710647","0.1875","0.1875","0.1875"
"720600","0.03125","0.03125","0.03125"
"720603","0.125","0.125","0.125"
"720606","0.0625","0.0625","0.0625"
"720617","0.0625","0.0625","0.0625"
"720639","0.0625","0.0625","0.0625"
"720653","0.21875","0.21875","0.21875"
"730601","0.03125","0.03125","0.03125"
"730616","0.09375","0.09375","0.09375"
"730624","0.03125","0.03125","0.03125"
"730630","0.09375","0.09375","0.09375"
"730633","0.28125","0.28125","0.28125"
"730673","0.03125","0.03125","0.03125"
"740602","0.1875","0.1875","0.1875"
"740611","0.03125","0.03125","0.03125"
"740612","0.09375","0.09375","0.09375"
"740615","0.09375","0.09375","0.09375"
"740645","0.0625","0.0625","0.0625"
