"Step","Group: terran_10_vs_11_QMIX - win_rate","Group: terran_10_vs_11_QMIX - win_rate__MIN","Group: terran_10_vs_11_QMIX - win_rate__MAX"
"450029","0","0","0"
"460007","0.09375","0.09375","0.09375"
"460023","0.015625","0","0.03125"
"460025","0","0","0"
"460057","0","0","0"
"460093","0","0","0"
"470011","0","0","0"
"470018","0.010416666666666666","0","0.03125"
"470026","0.03125","0.03125","0.03125"
"470062","0","0","0"
"480010","0","0","0"
"480016","0","0","0"
"480027","0.03125","0.03125","0.03125"
"480029","0","0","0"
"480044","0","0","0"
"480067","0","0","0"
"490002","0","0","0"
"490014","0.03125","0.03125","0.03125"
"490017","0","0","0"
"490018","0","0","0"
"490031","0","0","0"
"490066","0","0","0"
"500002","0.03125","0.03125","0.03125"
"500006","0","0","0"
"500027","0","0","0"
"500036","0","0","0"
"500044","0.0625","0.0625","0.0625"
"510000","0.03125","0.03125","0.03125"
"510007","0.03125","0.03125","0.03125"
"510014","0","0","0"
"510015","0","0","0"
"510031","0","0","0"
"510038","0.03125","0.03125","0.03125"
"520021","0","0","0"
"520024","0","0","0"
"520028","0","0","0"
"520042","0","0","0"
"520046","0","0","0"
"520060","0","0","0"
"530015","0","0","0"
"530018","0.03125","0.03125","0.03125"
"530022","0","0","0"
"530023","0","0","0"
"530030","0.03125","0.03125","0.03125"
"530038","0","0","0"
"540015","0","0","0"
"540024","0.03125","0.03125","0.03125"
"540025","0.015625","0","0.03125"
"540027","0.03125","0.03125","0.03125"
"540034","0","0","0"
"550001","0","0","0"
"550003","0","0","0"
"550008","0.03125","0.03125","0.03125"
"550014","0","0","0"
"550017","0","0","0"
"550047","0","0","0"
"560000","0","0","0"
"560002","0","0","0"
"560007","0.03125","0.03125","0.03125"
"560012","0","0","0"
"560018","0","0","0"
"560026","0","0","0"
"570024","0","0","0"
"570027","0","0","0"
"570028","0","0","0"
"570063","0","0","0"
"570125","0","0","0"
"570196","0","0","0"
"580001","0.03125","0.03125","0.03125"
"580002","0","0","0"
"580004","0","0","0"
"580014","0","0","0"
"580016","0","0","0"
"580040","0.0625","0.0625","0.0625"
"590000","0","0","0"
"590020","0","0","0"
"590023","0.03125","0.03125","0.03125"
"590031","0","0","0"
"590035","0","0","0"
"590062","0","0","0"
"600006","0.0625","0.0625","0.0625"
"600014","0","0","0"
"600019","0","0","0"
"600040","0.03125","0.03125","0.03125"
"600055","0.0625","0.0625","0.0625"
