"Step","Group: corridor_QMIX - win_rate","Group: corridor_QMIX - win_rate__MIN","Group: corridor_QMIX - win_rate__MAX"
"520033","0","0","0"
"520034","0","0","0"
"530004","0","0","0"
"530011","0","0","0"
"530016","0","0","0"
"530024","0","0","0"
"530035","0","0","0"
"540017","0","0","0"
"540022","0","0","0"
"540025","0","0","0"
"540030","0","0","0"
"540032","0","0","0"
"550005","0","0","0"
"550010","0","0","0"
"550015","0","0","0"
"550018","0","0","0"
"550022","0","0","0"
"560005","0","0","0"
"560015","0","0","0"
"560020","0","0","0"
"560025","0","0","0"
"560026","0","0","0"
"570006","0","0","0"
"570010","0","0","0"
"570012","0","0","0"
"570018","0","0","0"
"570024","0","0","0"
"570032","0","0","0"
"580009","0","0","0"
"580011","0","0","0"
"580014","0","0","0"
"580017","0","0","0"
"580025","0","0","0"
"590001","0","0","0"
"590004","0","0","0"
"590007","0","0","0"
"590010","0","0","0"
"590025","0","0","0"
"590033","0","0","0"
"600002","0","0","0"
"600007","0","0","0"
"600008","0","0","0"
"600015","0","0","0"
"600024","0","0","0"
"600027","0","0","0"
"610003","0","0","0"
"610005","0","0","0"
"610006","0","0","0"
"610023","0","0","0"
"610025","0","0","0"
"620001","0","0","0"
"620016","0","0","0"
"620025","0","0","0"
"620029","0","0","0"
"620031","0","0","0"
"620032","0","0","0"
"630003","0","0","0"
"630010","0","0","0"
"630013","0","0","0"
"630016","0","0","0"
"630029","0","0","0"
"630031","0","0","0"
"640000","0","0","0"
"640017","0","0","0"
"640029","0","0","0"
"640030","0","0","0"
"640038","0","0","0"
"650000","0","0","0"
"650011","0","0","0"
"650017","0","0","0"
"650023","0","0","0"
"650027","0","0","0"
"650032","0","0","0"
"660000","0","0","0"
"660012","0","0","0"
"660019","0","0","0"
"660030","0","0","0"
"660031","0","0","0"
"660032","0","0","0"
"670007","0","0","0"
"670008","0","0","0"
"670011","0","0","0"
"670015","0","0","0"
"670017","0","0","0"
"680003","0","0","0"
"680005","0","0","0"
"680011","0","0","0"
"680027","0","0","0"
"680035","0","0","0"
"680115","0","0","0"
"690004","0","0","0"
"690006","0","0","0"
"690012","0","0","0"
"690013","0","0","0"
"690026","0","0","0"
"690029","0","0","0"
"700004","0","0","0"
"700009","0","0","0"
"700016","0","0","0"
"700025","0","0","0"
"700028","0","0","0"
"700029","0","0","0"
"710001","0","0","0"
"710006","0","0","0"
"710016","0","0","0"
"710025","0","0","0"
"710028","0","0","0"
"720006","0","0","0"
"720007","0","0","0"
"720020","0","0","0"
"720023","0","0","0"
"720024","0","0","0"
"720029","0","0","0"
"730000","0","0","0"
"730007","0","0","0"
"730012","0","0","0"
"730025","0","0","0"
"730032","0","0","0"
"730033","0","0","0"
"740006","0","0","0"
"740015","0","0","0"
"740017","0","0","0"
"740021","0","0","0"
"740022","0","0","0"
"740029","0","0","0"
"750001","0","0","0"
"750011","0","0","0"
"750014","0","0","0"
"750027","0","0","0"
"750033","0","0","0"
"760002","0","0","0"
"760013","0","0","0"
"760021","0","0","0"
"760025","0","0","0"
"760035","0","0","0"
"770019","0","0","0"
"770020","0","0","0"
"770022","0","0","0"
"770024","0","0","0"
"770026","0","0","0"
"770034","0","0","0"
"780002","0","0","0"
"780014","0","0","0"
"780020","0","0","0"
"780021","0","0","0"
"780032","0","0","0"
"790016","0","0","0"
"790018","0","0","0"
"790019","0","0","0"
"790021","0","0","0"
"800001","0","0","0"
"800016","0","0","0"
"800019","0","0","0"
"800022","0","0","0"
"800023","0","0","0"
"800025","0","0","0"
"810000","0","0","0"
"810004","0","0","0"
"810010","0","0","0"
"810014","0","0","0"
"810022","0","0","0"
"810024","0","0","0"
"820003","0","0","0"
"820005","0","0","0"
"820015","0","0","0"
"820028","0","0","0"
"820037","0","0","0"
"820039","0","0","0"
"830010","0","0","0"
"830019","0","0","0"
"830024","0","0","0"
"830033","0","0","0"
"830034","0","0","0"
"840010","0","0","0"
"840015","0","0","0"
