"Step","Group: 3s5z_vs_3s6z_ACORM_WMnocl - win_rate","Group: 3s5z_vs_3s6z_ACORM_WMnocl - win_rate__MIN","Group: 3s5z_vs_3s6z_ACORM_WMnocl - win_rate__MAX"
"470384","0","0","0"
"480223","0","0","0"
"480230","0","0","0"
"480240","0","0","0"
"480241","0","0","0"
"480243","0","0","0"
"480270","0","0","0"
"490228","0","0","0"
"490256","0","0","0"
"490261","0","0","0"
"490265","0","0","0"
"490344","0","0","0"
"490348","0","0","0"
"500223","0","0","0"
"500228","0","0","0"
"500248","0","0","0"
"500252","0","0","0"
"500261","0","0","0"
"500266","0","0","0"
"510237","0","0","0"
"510241","0","0","0"
"510267","0","0","0"
"510334","0","0","0"
"510340","0","0","0"
"510371","0.0625","0.0625","0.0625"
"520229","0","0","0"
"520265","0","0","0"
"520290","0.03125","0.03125","0.03125"
"520292","0","0","0"
"520321","0","0","0"
"520379","0","0","0"
"530223","0","0","0"
"530234","0","0","0"
"530243","0","0","0"
"530253","0","0","0"
"530274","0","0","0"
"530357","0","0","0"
"540223","0","0","0"
"540241","0","0","0"
"540277","0","0","0"
"540283","0","0","0"
"540294","0","0","0"
"540348","0","0","0"
"550220","0","0","0"
"550223","0.03125","0.03125","0.03125"
"550230","0","0","0"
"550255","0","0","0"
"550353","0","0","0"
"550355","0","0","0"
"560247","0","0","0"
"560259","0.0625","0.0625","0.0625"
"560268","0","0","0"
"560330","0","0","0"
"560344","0","0","0"
"570234","0","0","0"
"570241","0","0","0"
"570244","0","0","0"
"570258","0","0","0"
"570263","0","0","0"
"570292","0","0","0"
"580228","0","0","0"
"580275","0","0","0"
"580293","0","0","0"
"580296","0","0","0"
"580305","0","0","0"
"580314","0.0625","0.0625","0.0625"
"590230","0","0","0"
"590245","0","0","0"
"590271","0","0","0"
"590319","0","0","0"
"590367","0","0","0"
"590386","0","0","0"
"600224","0","0","0"
"600233","0.03125","0.03125","0.03125"
"600244","0","0","0"
"600263","0","0","0"
"600377","0.03125","0.03125","0.03125"
"600378","0","0","0"
"610223","0","0","0"
"610236","0","0","0"
"610247","0","0","0"
"610256","0","0","0"
"610261","0","0","0"
"610363","0","0","0"
"620221","0.03125","0.03125","0.03125"
"620239","0","0","0"
"620252","0","0","0"
"620258","0","0","0"
"620272","0","0","0"
"620361","0","0","0"
"630228","0","0","0"
"630255","0.03125","0.03125","0.03125"
"630281","0.03125","0.03125","0.03125"
"630320","0","0","0"
"630356","0","0","0"
"630371","0.03125","0.03125","0.03125"
"640226","0","0","0"
"640236","0.0625","0.0625","0.0625"
"640259","0","0","0"
"640290","0","0","0"
"640319","0","0","0"
"640358","0","0","0"
"650236","0","0","0"
"650238","0.03125","0.03125","0.03125"
"650250","0","0","0"
"650282","0","0","0"
"650337","0","0","0"
"660225","0.03125","0.03125","0.03125"
"660231","0","0","0"
"660238","0","0","0"
"660255","0.03125","0.03125","0.03125"
"660280","0.03125","0.03125","0.03125"
"660322","0","0","0"
"670221","0","0","0"
"670235","0","0","0"
"670241","0","0","0"
"670286","0","0","0"
"670297","0","0","0"
"670317","0","0","0"
"680226","0","0","0"
"680235","0.03125","0.03125","0.03125"
"680260","0","0","0"
"680277","0","0","0"
"680284","0","0","0"
"680328","0","0","0"
"690220","0","0","0"
"690240","0","0","0"
"690317","0","0","0"
"690365","0.03125","0.03125","0.03125"
"690375","0.0625","0.0625","0.0625"
"690387","0","0","0"
"700229","0.0625","0.0625","0.0625"
"700235","0.03125","0.03125","0.03125"
"700240","0.03125","0.03125","0.03125"
"700261","0","0","0"
"700324","0","0","0"
"700369","0","0","0"
"710234","0","0","0"
"710243","0","0","0"
"710245","0","0","0"
"710269","0","0","0"
"710318","0","0","0"
"710366","0.03125","0.03125","0.03125"
"720237","0","0","0"
"720246","0","0","0"
"720264","0.03125","0.03125","0.03125"
"720274","0","0","0"
"720299","0","0","0"
"720332","0","0","0"
"730244","0","0","0"
"730255","0","0","0"
"730264","0.0625","0.0625","0.0625"
"730280","0","0","0"
"730336","0","0","0"
"730351","0","0","0"
"740226","0","0","0"
"740233","0","0","0"
"740248","0","0","0"
"740252","0","0","0"
"740287","0.0625","0.0625","0.0625"
"740349","0","0","0"
"750249","0","0","0"
"750263","0.3125","0.3125","0.3125"
"750280","0.0625","0.0625","0.0625"
"750300","0","0","0"
"750322","0","0","0"
"750388","0","0","0"
"760232","0","0","0"
"760251","0","0","0"
"760268","0.0625","0.03125","0.09375"
"760288","0","0","0"
"760323","0","0","0"
"770227","0.03125","0.03125","0.03125"
"770229","0","0","0"
"770234","0.03125","0.03125","0.03125"
"770246","0","0","0"
"770259","0.0625","0.0625","0.0625"
"770322","0","0","0"
"780232","0.0625","0.0625","0.0625"
"780236","0","0","0"
"780270","0","0","0"
"780306","0","0","0"
"780341","0","0","0"
"780351","0","0","0"
"790226","0","0","0"
"790227","0.125","0.125","0.125"
"790236","0.125","0.125","0.125"
"790266","0","0","0"
"790297","0","0","0"
"790358","0.09375","0.09375","0.09375"
"800224","0","0","0"
"800231","0","0","0"
"800233","0.03125","0.03125","0.03125"
"800268","0.15625","0.15625","0.15625"
"800273","0.03125","0.03125","0.03125"
"800371","0","0","0"
"810222","0","0","0"
"810268","0","0","0"
"810272","0","0","0"
"810274","0","0","0"
"810285","0","0","0"
"810315","0.28125","0.28125","0.28125"
"820223","0","0","0"
"820234","0.4375","0.4375","0.4375"
"820241","0","0","0"
