"Step","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MIN","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MAX"
"480247","0","0","0"
"480252","0","0","0"
"480268","0","0","0"
"480318","0","0","0"
"480380","0","0","0"
"490251","0","0","0"
"490261","0","0","0"
"490285","0","0","0"
"490325","0.03125","0.03125","0.03125"
"490329","0","0","0"
"490341","0","0","0"
"500229","0","0","0"
"500239","0","0","0"
"500255","0","0","0"
"500265","0","0","0"
"500311","0","0","0"
"500386","0","0","0"
"510223","0","0","0"
"510246","0.03125","0.03125","0.03125"
"510251","0","0","0"
"510252","0.03125","0.03125","0.03125"
"510364","0","0","0"
"520226","0","0","0"
"520290","0","0","0"
"520295","0","0","0"
"520317","0","0","0"
"520340","0","0","0"
"520351","0","0","0"
"530221","0","0","0"
"530239","0","0","0"
"530266","0","0","0"
"530279","0.03125","0.03125","0.03125"
"530298","0","0","0"
"530305","0","0","0"
"540227","0.1875","0.1875","0.1875"
"540232","0","0","0"
"540243","0","0","0"
"540245","0","0","0"
"540260","0","0","0"
"540277","0","0","0"
"550221","0","0","0"
"550230","0","0","0"
"550260","0.125","0.125","0.125"
"550321","0","0","0"
"550353","0","0","0"
"550376","0","0","0"
"560230","0.03125","0.03125","0.03125"
"560267","0","0","0"
"560274","0","0","0"
"560303","0.03125","0.03125","0.03125"
"560381","0","0","0"
"570236","0","0","0"
"570244","0.03125","0.03125","0.03125"
"570256","0.09375","0.09375","0.09375"
"570272","0","0","0"
"570274","0.03125","0.03125","0.03125"
"570303","0","0","0"
"580239","0.0625","0.0625","0.0625"
"580264","0","0","0"
"580283","0.0625","0.0625","0.0625"
"580313","0","0","0"
"580316","0","0","0"
"580383","0","0","0"
"590225","0.0625","0.0625","0.0625"
"590238","0.0625","0.0625","0.0625"
"590256","0","0","0"
"590263","0.03125","0.03125","0.03125"
"590314","0.03125","0.03125","0.03125"
"590350","0.03125","0.03125","0.03125"
"600263","0","0","0"
"600271","0.0625","0.0625","0.0625"
"600301","0.03125","0.03125","0.03125"
"600307","0","0","0"
"600309","0","0","0"
"600375","0","0","0"
"610228","0","0","0"
"610243","0","0","0"
"610271","0.03125","0.03125","0.03125"
"610288","0","0","0"
"610290","0","0","0"
"610380","0","0","0"
"620223","0","0","0"
"620285","0.09375","0.09375","0.09375"
"620289","0.0625","0.0625","0.0625"
"620309","0","0","0"
"620361","0","0","0"
"620374","0.03125","0.03125","0.03125"
"630239","0","0","0"
"630246","0","0","0"
"630278","0","0","0"
"630281","0","0","0"
"630334","0.0625","0.0625","0.0625"
"630344","0","0","0"
"640220","0","0","0"
"640263","0.09375","0.09375","0.09375"
"640275","0.03125","0.03125","0.03125"
"640290","0.0625","0.0625","0.0625"
"640292","0.03125","0.03125","0.03125"
"640314","0.03125","0.03125","0.03125"
"650220","0.0625","0.0625","0.0625"
"650261","0.03125","0.03125","0.03125"
"650272","0","0","0"
"650291","0.09375","0.09375","0.09375"
"650308","0","0","0"
"650358","0","0","0"
"660249","0","0","0"
"660256","0","0","0"
"660266","0.03125","0.03125","0.03125"
"660298","0.125","0.125","0.125"
"660324","0","0","0"
"660383","0","0","0"
"670231","0.03125","0.03125","0.03125"
"670246","0.0625","0.0625","0.0625"
"670250","0.03125","0.03125","0.03125"
"670280","0","0","0"
"670357","0.125","0.125","0.125"
"670386","0","0","0"
"680220","0.0625","0.0625","0.0625"
"680232","0.03125","0.03125","0.03125"
"680240","0.1875","0.1875","0.1875"
"680329","0","0","0"
"680364","0","0","0"
"680368","0.0625","0.0625","0.0625"
"690241","0.0625","0.0625","0.0625"
"690243","0","0","0"
"690262","0.0625","0.0625","0.0625"
"690296","0.375","0.375","0.375"
"690324","0","0","0"
"690364","0.03125","0.03125","0.03125"
"700270","0.03125","0.03125","0.03125"
"700292","0","0","0"
"700302","0","0","0"
"700331","0.34375","0.34375","0.34375"
"700367","0","0","0"
"700375","0","0","0"
"710261","0","0","0"
"710280","0","0","0"
"710294","0","0","0"
"710297","0.1875","0.1875","0.1875"
"710304","0.09375","0.09375","0.09375"
"710374","0.09375","0.09375","0.09375"
"720249","0","0","0"
"720262","0","0","0"
"720272","0.125","0.125","0.125"
"720300","0","0","0"
"720301","0.1875","0.1875","0.1875"
"720344","0.15625","0.15625","0.15625"
"730260","0.15625","0.15625","0.15625"
"730266","0.125","0.125","0.125"
"730285","0.1875","0.1875","0.1875"
"730309","0","0","0"
"730316","0","0","0"
"730320","0","0","0"
"740247","0.03125","0.03125","0.03125"
"740257","0","0","0"
"740275","0","0","0"
"740281","0.5","0.5","0.5"
"740283","0.03125","0.03125","0.03125"
"740340","0","0","0"
"750264","0.15625","0.15625","0.15625"
"750274","0.34375","0.34375","0.34375"
"750275","0","0","0"
"750298","0.0625","0.0625","0.0625"
"750341","0","0","0"
"750387","0","0","0"
"760264","0.03125","0.03125","0.03125"
"760285","0.15625","0.15625","0.15625"
"760310","0","0","0"
"760342","0","0","0"
"760343","0.40625","0.40625","0.40625"
"760344","0.1875","0.1875","0.1875"
"770270","0.34375","0.34375","0.34375"
"770271","0.21875","0.21875","0.21875"
"770279","0.09375","0.09375","0.09375"
"770290","0","0","0"
"770302","0","0","0"
"770371","0","0","0"
"780263","0","0","0"
"780274","0.46875","0.46875","0.46875"
"780284","0.0625","0.0625","0.0625"
"780300","0.46875","0.46875","0.46875"
"780302","0.25","0.25","0.25"
"780365","0","0","0"
"790237","0.03125","0.03125","0.03125"
"790277","0.4375","0.4375","0.4375"
"790291","0","0","0"
"790310","0.03125","0.03125","0.03125"
"790366","0.375","0.375","0.375"
"790380","0.03125","0.03125","0.03125"
"800230","0.03125","0.03125","0.03125"
"800236","0.0625","0.0625","0.0625"
"800237","0.71875","0.71875","0.71875"
"800256","0.625","0.625","0.625"
"800305","0","0","0"
"800337","0","0","0"
"810248","0","0","0"
"810273","0","0","0"
"810305","0.0625","0.0625","0.0625"
"810306","0.0625","0.0625","0.0625"
"810329","0.375","0.375","0.375"
"810357","0.375","0.375","0.375"
"820261","0","0","0"
"820269","0.59375","0.59375","0.59375"
"820283","0","0","0"
"820290","0","0","0"
"820296","0.59375","0.59375","0.59375"
"820327","0","0","0"
"830228","0","0","0"
"830234","0.65625","0.65625","0.65625"
"830262","0.03125","0.03125","0.03125"
"830269","0.46875","0.46875","0.46875"
"830279","0","0","0"
"830284","0.0625","0.0625","0.0625"
"840223","0.375","0.375","0.375"
"840228","0.03125","0.03125","0.03125"
"840248","0.34375","0.34375","0.34375"
"840267","0.625","0.625","0.625"
"840356","0","0","0"
"840384","0.0625","0.0625","0.0625"
"850223","0.65625","0.65625","0.65625"
"850248","0.359375","0.125","0.59375"
"850277","0.0625","0.0625","0.0625"
"850280","0","0","0"
"850336","0.125","0.125","0.125"
"860226","0.53125","0.53125","0.53125"
"860235","0.40625","0.40625","0.40625"
"860277","0","0","0"
"860297","0.03125","0.03125","0.03125"
"860370","0.0625","0.0625","0.0625"
"860376","0.09375","0.09375","0.09375"
"870233","0.0625","0.0625","0.0625"
"870244","0.75","0.75","0.75"
"870260","0.03125","0.03125","0.03125"
"870263","0","0","0"
"870271","0.6875","0.6875","0.6875"
"870289","0","0","0"
"880236","0.0625","0.0625","0.0625"
"880245","0.28125","0.28125","0.28125"
"880261","0.84375","0.84375","0.84375"
"880276","0.09375","0.09375","0.09375"
"880288","0.71875","0.71875","0.71875"
"880326","0.0625","0.0625","0.0625"
"890220","0.625","0.625","0.625"
"890228","0.15625","0.15625","0.15625"
"890263","0.09375","0.09375","0.09375"
"890266","0.40625","0.40625","0.40625"
"890267","0","0","0"
"890271","0.21875","0.21875","0.21875"
"900243","0.5625","0.5625","0.5625"
"900257","0.03125","0.03125","0.03125"
"900270","0.375","0.1875","0.5625"
"900289","0","0","0"
"900292","0.03125","0.03125","0.03125"
"910228","0.125","0.125","0.125"
"910254","0.0625","0.0625","0.0625"
"910271","0.75","0.75","0.75"
"910272","0.15625","0.15625","0.15625"
"910282","0.53125","0.53125","0.53125"
"910388","0.09375","0.09375","0.09375"
"920241","0.3125","0.3125","0.3125"
"920248","0.34375","0.03125","0.65625"
"920269","0.09375","0.09375","0.09375"
"920296","0.09375","0.09375","0.09375"
"920315","0.8125","0.8125","0.8125"
"930224","0.1875","0.1875","0.1875"
"930235","0.46875","0.46875","0.46875"
"930239","0.90625","0.90625","0.90625"
"930252","0","0","0"
"930278","0.09375","0.09375","0.09375"
"930359","0.09375","0.09375","0.09375"
"940242","0.84375","0.84375","0.84375"
"940243","0.03125","0.03125","0.03125"
"940249","0.09375","0.09375","0.09375"
"940307","0.09375","0.09375","0.09375"
"940309","0.59375","0.59375","0.59375"
"940385","0","0","0"
"950241","0.34375","0.34375","0.34375"
"950271","0.15625","0.15625","0.15625"
"950279","0","0","0"
"950303","0","0","0"
"950305","0.71875","0.71875","0.71875"
"950364","0.375","0.375","0.375"
"960220","0.6875","0.6875","0.6875"
"960252","0.25","0.0625","0.4375"
"960287","0.53125","0.53125","0.53125"
"960347","0.0625","0.0625","0.0625"
"960349","0.15625","0.15625","0.15625"
"970265","0.46875","0.46875","0.46875"
"970276","0.6875","0.6875","0.6875"
"970279","0.03125","0.03125","0.03125"
"970289","0.5625","0.5625","0.5625"
"970297","0","0","0"
"970325","0.375","0.375","0.375"
"980220","0.6875","0.6875","0.6875"
"980241","0.0625","0.0625","0.0625"
"980253","0.375","0.375","0.375"
"980280","0.6875","0.6875","0.6875"
"980283","0.0625","0.0625","0.0625"
"980301","0.4375","0.4375","0.4375"
"990225","0.6875","0.6875","0.6875"
"990242","0.625","0.625","0.625"
"990248","0","0","0"
"990293","0.6875","0.6875","0.6875"
"990295","0.25","0.25","0.25"
"990382","0.125","0.125","0.125"
"1000224","0.34375","0.34375","0.34375"
"1000287","0.5","0.5","0.5"
"1000298","0","0","0"
"1000308","0.5","0.5","0.5"
"1000311","0.375","0.0625","0.6875"
"1010222","0.59375","0.59375","0.59375"
"1010271","0.3125","0.3125","0.3125"
"1010283","0.65625","0.59375","0.71875"
"1010346","0.0625","0.0625","0.0625"
"1010353","0.0625","0.0625","0.0625"
"1020260","0.375","0.375","0.375"
"1020283","0.75","0.75","0.75"
"1020295","0.59375","0.59375","0.59375"
"1020309","0.03125","0.03125","0.03125"
"1020362","0.28125","0.28125","0.28125"
