"Step","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MIN","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MAX"
"0","0","0","0"
"10220","0","0","0"
"10234","0","0","0"
"10245","0","0","0"
"10254","0","0","0"
"10258","0","0","0"
"10268","0","0","0"
"20222","0","0","0"
"20231","0","0","0"
"20233","0","0","0"
"20244","0","0","0"
"20253","0","0","0"
"20262","0","0","0"
"30220","0","0","0"
"30227","0","0","0"
"30228","0","0","0"
"30249","0","0","0"
"30262","0","0","0"
"30274","0","0","0"
"40226","0","0","0"
"40231","0","0","0"
"40233","0","0","0"
"40238","0","0","0"
"40243","0","0","0"
"40245","0","0","0"
"50221","0","0","0"
"50223","0","0","0"
"50228","0","0","0"
"50236","0","0","0"
"50254","0","0","0"
"50261","0","0","0"
"60226","0","0","0"
"60228","0","0","0"
"60235","0","0","0"
"60241","0","0","0"
"60251","0","0","0"
"60263","0","0","0"
"70232","0","0","0"
"70240","0","0","0"
"70245","0","0","0"
"70247","0","0","0"
"70260","0","0","0"
"70266","0","0","0"
"80224","0","0","0"
"80233","0","0","0"
"80236","0","0","0"
"80240","0","0","0"
"80256","0","0","0"
"80261","0","0","0"
"90225","0","0","0"
"90237","0","0","0"
"90246","0","0","0"
"90255","0","0","0"
"90257","0","0","0"
"100226","0","0","0"
"100227","0","0","0"
"100230","0","0","0"
"100236","0","0","0"
"100242","0","0","0"
"100339","0","0","0"
"110236","0","0","0"
"110238","0","0","0"
"110240","0","0","0"
"110241","0","0","0"
"110242","0","0","0"
"110254","0","0","0"
"120230","0","0","0"
"120237","0","0","0"
"120240","0","0","0"
"120241","0","0","0"
"120243","0","0","0"
"120257","0","0","0"
"130231","0","0","0"
"130235","0","0","0"
"130239","0","0","0"
"130251","0","0","0"
"130291","0","0","0"
"140234","0","0","0"
"140245","0","0","0"
"140253","0","0","0"
"140296","0","0","0"
"140340","0","0","0"
"140386","0","0","0"
"150230","0","0","0"
"150236","0","0","0"
"150256","0","0","0"
"150322","0","0","0"
"150382","0","0","0"
"150388","0","0","0"
"160225","0","0","0"
"160239","0","0","0"
"160250","0","0","0"
"160262","0","0","0"
"160375","0","0","0"
"160384","0","0","0"
"170251","0","0","0"
"170258","0","0","0"
"170261","0","0","0"
"170262","0","0","0"
"170334","0","0","0"
"180233","0","0","0"
"180235","0","0","0"
"180236","0","0","0"
"180240","0","0","0"
"180242","0","0","0"
"180274","0","0","0"
"190222","0","0","0"
"190223","0","0","0"
"190226","0","0","0"
"190229","0","0","0"
"190244","0","0","0"
"190265","0","0","0"
"200231","0","0","0"
"200236","0","0","0"
"200251","0","0","0"
"200264","0","0","0"
"200300","0","0","0"
"200373","0","0","0"
"210240","0","0","0"
"210242","0","0","0"
"210250","0","0","0"
"210256","0","0","0"
"210262","0","0","0"
"210270","0","0","0"
"220225","0","0","0"
"220236","0","0","0"
"220248","0","0","0"
"220250","0","0","0"
"220259","0","0","0"
"220262","0","0","0"
"230237","0","0","0"
"230246","0","0","0"
"230258","0","0","0"
"230271","0","0","0"
"230308","0","0","0"
"230375","0","0","0"
"240225","0","0","0"
"240229","0","0","0"
"240259","0","0","0"
"240381","0","0","0"
"250222","0","0","0"
"250234","0","0","0"
"250262","0","0","0"
"250301","0","0","0"
"250303","0","0","0"
"250339","0","0","0"
"260221","0","0","0"
"260249","0","0","0"
"260260","0","0","0"
"260283","0","0","0"
"260298","0","0","0"
"260317","0","0","0"
"270225","0","0","0"
"270232","0","0","0"
"270241","0","0","0"
"270270","0","0","0"
"270304","0","0","0"
"270324","0","0","0"
"280223","0","0","0"
"280224","0","0","0"
"280247","0","0","0"
"280249","0","0","0"
"280253","0","0","0"
"280283","0","0","0"
"290225","0","0","0"
"290248","0","0","0"
"290254","0","0","0"
"290265","0","0","0"
"290298","0","0","0"
"290346","0","0","0"
"300230","0","0","0"
"300231","0","0","0"
"300236","0","0","0"
