"Step","Group: zerg_10_vs_11_ACORM - win_rate","Group: zerg_10_vs_11_ACORM - win_rate__MIN","Group: zerg_10_vs_11_ACORM - win_rate__MAX"
"410225","0.03125","0.03125","0.03125"
"410236","0","0","0"
"410239","0","0","0"
"410241","0","0","0"
"410243","0.03125","0.03125","0.03125"
"410244","0","0","0"
"420223","0.0625","0.0625","0.0625"
"420227","0.03125","0.03125","0.03125"
"420231","0","0","0"
"420240","0","0","0"
"420243","0","0","0"
"420245","0.0625","0.0625","0.0625"
"430226","0","0","0"
"430231","0","0","0"
"430236","0.0625","0.0625","0.0625"
"430237","0","0","0"
"430241","0.03125","0.03125","0.03125"
"430253","0","0","0"
"440226","0","0","0"
"440230","0.09375","0.09375","0.09375"
"440234","0.09375","0.09375","0.09375"
"440237","0","0","0"
"440240","0","0","0"
"450220","0.0625","0.0625","0.0625"
"450230","0","0","0"
"450239","0","0","0"
"450240","0.03125","0.03125","0.03125"
"450269","0","0","0"
"460222","0.03125","0.03125","0.03125"
"460234","0.046875","0.03125","0.0625"
"460237","0.0625","0.0625","0.0625"
"460245","0","0","0"
"470220","0.015625","0","0.03125"
"470222","0","0","0"
"470247","0.125","0.125","0.125"
"470261","0","0","0"
"480221","0.03125","0","0.0625"
"480226","0.03125","0.03125","0.03125"
"480241","0","0","0"
"480244","0","0","0"
"490225","0","0","0"
"490227","0","0","0"
"490236","0.03125","0.03125","0.03125"
"490237","0","0","0"
"490259","0","0","0"
"500220","0","0","0"
"500223","0","0","0"
"500229","0.03125","0.03125","0.03125"
"500230","0","0","0"
"500250","0","0","0"
"510229","0.0625","0.0625","0.0625"
"510230","0.03125","0.03125","0.03125"
"510241","0","0","0"
"510246","0.03125","0.03125","0.03125"
"510251","0","0","0"
"520221","0","0","0"
"520228","0","0","0"
"520236","0.03125","0.03125","0.03125"
"520237","0","0","0"
"520243","0","0","0"
"530228","0","0","0"
"530232","0.0625","0.0625","0.0625"
"530235","0.0625","0.0625","0.0625"
"530253","0.03125","0.03125","0.03125"
"530255","0.03125","0.03125","0.03125"
"540223","0","0","0"
"540244","0.0625","0.0625","0.0625"
"540248","0","0","0"
"540276","0","0","0"
"550222","0.09375","0.09375","0.09375"
"550234","0.03125","0","0.0625"
"550236","0","0","0"
"550257","0","0","0"
"560229","0.03125","0.03125","0.03125"
"560231","0","0","0"
"560242","0.03125","0.03125","0.03125"
"560243","0","0","0"
"560245","0.0625","0.0625","0.0625"
"570220","0.03125","0.03125","0.03125"
"570221","0.03125","0.03125","0.03125"
"570229","0","0","0"
"570240","0","0","0"
"570247","0","0","0"
"580223","0.03125","0.03125","0.03125"
"580225","0.0625","0.0625","0.0625"
"580228","0.03125","0.03125","0.03125"
"580229","0","0","0"
"580235","0.09375","0.09375","0.09375"
"590227","0","0","0"
"590234","0.09375","0.09375","0.09375"
"590235","0","0","0"
"590242","0.0625","0.0625","0.0625"
"590279","0.03125","0.03125","0.03125"
"600222","0.0625","0.0625","0.0625"
"600232","0.0625","0.0625","0.0625"
"600240","0","0","0"
"600243","0.03125","0.03125","0.03125"
"600245","0","0","0"
"610224","0","0","0"
"610234","0.03125","0.03125","0.03125"
"610239","0.03125","0.03125","0.03125"
"610241","0.0625","0.0625","0.0625"
"610244","0.03125","0.03125","0.03125"
"620225","0.015625","0","0.03125"
"620227","0.03125","0.03125","0.03125"
"620230","0.03125","0.03125","0.03125"
"620232","0","0","0"
"630221","0","0","0"
"630223","0","0","0"
"630224","0.09375","0.09375","0.09375"
"630231","0.0625","0.0625","0.0625"
"630244","0","0","0"
"640221","0.03125","0.03125","0.03125"
"640226","0","0","0"
"640236","0.03125","0.03125","0.03125"
"640237","0","0","0"
"640241","0.0625","0.0625","0.0625"
"650229","0.015625","0","0.03125"
"650235","0.03125","0.03125","0.03125"
"650237","0.03125","0.03125","0.03125"
"650242","0.03125","0.03125","0.03125"
"660223","0","0","0"
"660225","0.03125","0.03125","0.03125"
"660227","0.0625","0.0625","0.0625"
"660228","0.0625","0.0625","0.0625"
"660229","0.0625","0.0625","0.0625"
"670225","0.03125","0.03125","0.03125"
"670226","0.0625","0.0625","0.0625"
"670240","0","0","0"
"670241","0","0","0"
"670242","0.09375","0.09375","0.09375"
"680227","0.03125","0.03125","0.03125"
"680230","0","0","0"
"680234","0","0","0"
"680237","0.03125","0.03125","0.03125"
"680240","0.03125","0.03125","0.03125"
"690224","0.125","0.125","0.125"
"690232","0","0","0"
"690237","0.03125","0.03125","0.03125"
"690239","0.09375","0.09375","0.09375"
"690254","0.03125","0.03125","0.03125"
"700227","0","0","0"
"700231","0","0","0"
"700232","0.03125","0.03125","0.03125"
"700238","0.03125","0.03125","0.03125"
"700242","0.03125","0.03125","0.03125"
"710221","0","0","0"
"710230","0","0","0"
"710232","0","0","0"
"710235","0.03125","0.03125","0.03125"
"710242","0","0","0"
"720222","0.03125","0.03125","0.03125"
"720234","0.015625","0","0.03125"
"720242","0.03125","0.03125","0.03125"
"720247","0.09375","0.09375","0.09375"
"730221","0.03125","0.03125","0.03125"
"730225","0.09375","0.09375","0.09375"
"730230","0.03125","0.03125","0.03125"
"730239","0.03125","0.03125","0.03125"
"730243","0.0625","0.0625","0.0625"
"740220","0","0","0"
"740228","0.0625","0.0625","0.0625"
"740230","0","0","0"
"740244","0","0","0"
"740262","0.03125","0.03125","0.03125"
"750225","0.03125","0.03125","0.03125"
"750234","0","0","0"
"750239","0.03125","0.03125","0.03125"
"750246","0.09375","0.09375","0.09375"
"750259","0.09375","0.09375","0.09375"
"760226","0.0625","0.0625","0.0625"
"760234","0.03125","0.03125","0.03125"
"760254","0.0625","0.0625","0.0625"
"760265","0.03125","0.03125","0.03125"
"770225","0.03125","0.03125","0.03125"
"770227","0","0","0"
"770235","0","0","0"
"770241","0.03125","0.03125","0.03125"
"770242","0","0","0"
"780233","0.125","0.125","0.125"
"780236","0","0","0"
"780238","0.03125","0.03125","0.03125"
"780245","0.0625","0.0625","0.0625"
"780249","0","0","0"
"790229","0","0","0"
"790231","0.0625","0.0625","0.0625"
"790237","0.03125","0.03125","0.03125"
"790251","0","0","0"
"800223","0.09375","0.09375","0.09375"
"800231","0.0625","0.0625","0.0625"
"800235","0.0625","0.0625","0.0625"
"800238","0.03125","0.03125","0.03125"
"800241","0","0","0"
"810221","0","0","0"
"810223","0.0625","0.0625","0.0625"
"810226","0","0","0"
"810229","0.09375","0.09375","0.09375"
"810232","0.03125","0.03125","0.03125"
"820220","0.0625","0.0625","0.0625"
"820226","0.0625","0.0625","0.0625"
"820229","0.0625","0.0625","0.0625"
"820235","0.09375","0.09375","0.09375"
"820241","0.0625","0.0625","0.0625"
"830220","0","0","0"
"830231","0","0","0"
"830237","0.03125","0.03125","0.03125"
"830240","0.03125","0.03125","0.03125"
"830245","0.03125","0.03125","0.03125"
"840222","0.125","0.125","0.125"
"840228","0.046875","0.03125","0.0625"
"840232","0.0625","0.0625","0.0625"
"840268","0.0625","0.0625","0.0625"
"850222","0","0","0"
"850224","0","0","0"
"850225","0.125","0.125","0.125"
"850232","0.15625","0.15625","0.15625"
"850254","0.03125","0.03125","0.03125"
"860221","0.09375","0.09375","0.09375"
"860234","0","0","0"
"860240","0.09375","0.09375","0.09375"
"860266","0.03125","0.03125","0.03125"
"860292","0","0","0"
"870224","0.03125","0.03125","0.03125"
"870231","0.03125","0.03125","0.03125"
"870232","0","0","0"
"870238","0.03125","0.03125","0.03125"
"870255","0.09375","0.09375","0.09375"
"880225","0.09375","0.09375","0.09375"
"880228","0","0","0"
"880245","0","0","0"
"880246","0.0625","0.0625","0.0625"
"880280","0","0","0"
"890230","0.03125","0.03125","0.03125"
"890231","0.03125","0.03125","0.03125"
"890233","0.15625","0.15625","0.15625"
"890235","0","0","0"
"900220","0.03125","0","0.0625"
"900224","0.03125","0.03125","0.03125"
"900243","0.0625","0.0625","0.0625"
"900244","0.0625","0.0625","0.0625"
"910223","0.03125","0.03125","0.03125"
"910233","0.09375","0.09375","0.09375"
"910235","0.0625","0.0625","0.0625"
"910251","0","0","0"
"910265","0.09375","0.09375","0.09375"
"920222","0.03125","0.03125","0.03125"
"920228","0.0625","0.0625","0.0625"
"920229","0.09375","0.09375","0.09375"
"920230","0.03125","0.03125","0.03125"
"920233","0.03125","0.03125","0.03125"
"930220","0.03125","0.03125","0.03125"
"930221","0.125","0.125","0.125"
"930230","0","0","0"
"930233","0","0","0"
"930234","0.0625","0.0625","0.0625"
"940228","0.03125","0.03125","0.03125"
"940236","0","0","0"
"940240","0.03125","0.03125","0.03125"
"940244","0.125","0.125","0.125"
"940246","0.03125","0.03125","0.03125"
"950226","0.09375","0.09375","0.09375"
"950231","0.0625","0.0625","0.0625"
"950244","0.09375","0.09375","0.09375"
"950248","0.0625","0.0625","0.0625"
"950251","0","0","0"
"960227","0.03125","0.03125","0.03125"
"960243","0.0625","0.0625","0.0625"
"960251","0.0625","0.0625","0.0625"
"960280","0.03125","0.03125","0.03125"
"960286","0.09375","0.09375","0.09375"
"970226","0.15625","0.15625","0.15625"
"970227","0","0","0"
"970232","0.09375","0.09375","0.09375"
"970262","0.09375","0.09375","0.09375"
"980228","0","0","0"
"980229","0.03125","0.03125","0.03125"
"980231","0.046875","0.03125","0.0625"
"980242","0","0","0"
"990233","0.125","0.125","0.125"
"990234","0","0","0"
"990236","0.0625","0.0625","0.0625"
"990245","0.0625","0.0625","0.0625"
"990254","0.125","0.125","0.125"
"1000222","0.0625","0.0625","0.0625"
"1000227","0","0","0"
"1000230","0","0","0"
"1000243","0.09375","0.09375","0.09375"
"1010221","0","0","0"
"1010225","0","0","0"
"1010229","0","0","0"
"1010230","0.0625","0.0625","0.0625"
"1010234","0","0","0"
"1020223","0","0","0"
"1020226","0.09375","0.09375","0.09375"
"1020232","0.0625","0.0625","0.0625"
"1020235","0.0625","0.0625","0.0625"
"1030225","0","0","0"
"1030227","0.03125","0.03125","0.03125"
"1030230","0.09375","0.09375","0.09375"
"1030248","0.0625","0.0625","0.0625"
"1040230","0.09375","0.09375","0.09375"
"1040233","0","0","0"
"1040236","0.125","0.125","0.125"
"1040237","0","0","0"
"1050221","0.03125","0.03125","0.03125"
"1050228","0.09375","0.09375","0.09375"
"1050234","0.03125","0.03125","0.03125"
"1050241","0.125","0.125","0.125"
"1060220","0.03125","0.03125","0.03125"
"1060238","0","0","0"
"1060252","0.0625","0.0625","0.0625"
"1060256","0.0625","0.0625","0.0625"
"1070223","0.09375","0.09375","0.09375"
"1070231","0","0","0"
"1070234","0.09375","0.09375","0.09375"
"1070238","0.0625","0.0625","0.0625"
"1080238","0.03125","0.03125","0.03125"
"1080239","0.125","0.125","0.125"
"1080245","0.0625","0.0625","0.0625"
"1090244","0","0","0"
"1090247","0.125","0.125","0.125"
"1090249","0.09375","0.09375","0.09375"
"1090253","0.09375","0.09375","0.09375"
"1100221","0.0625","0.0625","0.0625"
"1100222","0.09375","0.09375","0.09375"
"1100226","0.03125","0.03125","0.03125"
"1100229","0.0625","0.0625","0.0625"
"1110220","0.03125","0.03125","0.03125"
"1110228","0.03125","0.03125","0.03125"
"1110232","0.0625","0.0625","0.0625"
"1110238","0.125","0.125","0.125"
"1120222","0.03125","0.03125","0.03125"
"1120224","0.03125","0.03125","0.03125"
"1120247","0.21875","0.21875","0.21875"
"1120253","0.09375","0.09375","0.09375"
"1130228","0.125","0.125","0.125"
"1130235","0.0625","0.0625","0.0625"
"1130237","0.0625","0.0625","0.0625"
"1130240","0.09375","0.09375","0.09375"
"1140226","0.03125","0.03125","0.03125"
"1140229","0.0625","0.0625","0.0625"
"1140252","0.09375","0.09375","0.09375"
"1140256","0.09375","0.09375","0.09375"
"1150221","0","0","0"
"1150235","0.09375","0.09375","0.09375"
"1150238","0.09375","0.09375","0.09375"
"1150252","0.21875","0.21875","0.21875"
"1160231","0.21875","0.21875","0.21875"
"1160243","0.09375","0.09375","0.09375"
"1160245","0","0","0"
"1160249","0.21875","0.21875","0.21875"
"1170231","0.03125","0.03125","0.03125"
"1170249","0.09375","0.09375","0.09375"
"1170252","0.21875","0.21875","0.21875"
"1170264","0.0625","0.0625","0.0625"
"1180221","0.1875","0.1875","0.1875"
"1180231","0.0625","0.0625","0.0625"
"1180256","0.15625","0.15625","0.15625"
"1180274","0.125","0.125","0.125"
"1190221","0","0","0"
"1190232","0.09375","0.09375","0.09375"
"1190246","0.09375","0.09375","0.09375"
"1190253","0.1875","0.1875","0.1875"
"1200229","0.1875","0.1875","0.1875"
"1200232","0.09375","0.09375","0.09375"
"1200235","0.03125","0.03125","0.03125"
"1200240","0.09375","0.09375","0.09375"
"1210223","0.125","0.125","0.125"
"1210232","0.125","0.125","0.125"
"1210247","0.03125","0.03125","0.03125"
"1210265","0.125","0.125","0.125"
"1220228","0.09375","0.09375","0.09375"
"1220229","0.125","0.125","0.125"
"1220241","0.03125","0.03125","0.03125"
"1220246","0.15625","0.15625","0.15625"
"1230228","0","0","0"
"1230243","0.140625","0","0.28125"
"1230250","0.09375","0.09375","0.09375"
"1240229","0","0","0"
"1240230","0.15625","0.15625","0.15625"
"1240237","0.09375","0.09375","0.09375"
"1240256","0.25","0.25","0.25"
"1250221","0.125","0.125","0.125"
"1250226","0.03125","0.03125","0.03125"
"1250243","0.09375","0.09375","0.09375"
"1250272","0.09375","0.09375","0.09375"
"1260227","0.09375","0.09375","0.09375"
"1260228","0.03125","0.03125","0.03125"
"1260229","0.09375","0.09375","0.09375"
"1260253","0.03125","0.03125","0.03125"
"1270220","0","0","0"
"1270229","0.09375","0.09375","0.09375"
"1270235","0.1875","0.1875","0.1875"
"1270238","0","0","0"
"1280226","0.09375","0.09375","0.09375"
"1280229","0.15625","0.15625","0.15625"
"1280230","0.03125","0.03125","0.03125"
"1280238","0.1875","0.1875","0.1875"
"1290237","0.09375","0.09375","0.09375"
"1290248","0.03125","0","0.0625"
"1290258","0.21875","0.21875","0.21875"
"1300223","0.03125","0.03125","0.03125"
"1300240","0.1875","0.1875","0.1875"
"1300241","0.09375","0.09375","0.09375"
"1300267","0.0625","0.0625","0.0625"
"1310220","0","0","0"
"1310224","0.25","0.25","0.25"
"1310246","0.0625","0.0625","0.0625"
"1310256","0.125","0.125","0.125"
"1320227","0.28125","0.28125","0.28125"
"1320232","0.1875","0.1875","0.1875"
"1320248","0.0625","0.0625","0.0625"
"1320249","0.0625","0.0625","0.0625"
"1330225","0","0","0"
"1330227","0.0625","0.0625","0.0625"
"1330235","0.09375","0.09375","0.09375"
"1330245","0.125","0.125","0.125"
"1340224","0.03125","0.03125","0.03125"
"1340237","0.09375","0.09375","0.09375"
"1340240","0.1875","0.1875","0.1875"
"1340299","0.09375","0.09375","0.09375"
"1350220","0.21875","0.21875","0.21875"
"1350238","0.03125","0.03125","0.03125"
"1350239","0.15625","0.15625","0.15625"
"1350244","0.0625","0.0625","0.0625"
"1360224","0.09375","0.09375","0.09375"
"1360240","0.03125","0.03125","0.03125"
"1360242","0.125","0.125","0.125"
"1360247","0.28125","0.28125","0.28125"
"1370241","0","0","0"
"1370242","0.1875","0.1875","0.1875"
"1370243","0.1875","0.1875","0.1875"
"1370260","0.1875","0.1875","0.1875"
"1380239","0.21875","0.21875","0.21875"
"1380242","0.09375","0.09375","0.09375"
"1380253","0.03125","0.03125","0.03125"
"1380273","0.1875","0.1875","0.1875"
"1390242","0.125","0.125","0.125"
"1390245","0.03125","0.03125","0.03125"
"1390248","0.125","0.125","0.125"
"1390257","0.25","0.25","0.25"
"1400228","0.09375","0.09375","0.09375"
"1400231","0.15625","0.15625","0.15625"
"1400240","0.15625","0.15625","0.15625"
"1400243","0.1875","0.1875","0.1875"
"1410237","0","0","0"
"1410245","0.15625","0.15625","0.15625"
"1410254","0.25","0.25","0.25"
"1410258","0.28125","0.28125","0.28125"
"1420231","0.09375","0.09375","0.09375"
"1420236","0.1875","0.1875","0.1875"
"1420252","0.09375","0.09375","0.09375"
"1420263","0.1875","0.1875","0.1875"
"1430223","0.21875","0.21875","0.21875"
"1430238","0.21875","0.21875","0.21875"
"1430251","0.0625","0.0625","0.0625"
"1430270","0.1875","0.1875","0.1875"
"1440227","0.15625","0.15625","0.15625"
"1440240","0.1875","0.1875","0.1875"
"1440251","0.3125","0.3125","0.3125"
"1440256","0.0625","0.0625","0.0625"
"1450220","0.21875","0.21875","0.21875"
"1450234","0.1875","0.1875","0.1875"
"1450255","0.09375","0.09375","0.09375"
"1450272","0.03125","0.03125","0.03125"
