"Step","Group: zerg_10_vs_11_QMIX - win_rate","Group: zerg_10_vs_11_QMIX - win_rate__MIN","Group: zerg_10_vs_11_QMIX - win_rate__MAX"
"0","0","0","0"
"10006","0","0","0"
"10012","0","0","0"
"10013","0","0","0"
"10014","0","0","0"
"10021","0.03125","0.03125","0.03125"
"10025","0","0","0"
"20008","0.03125","0.03125","0.03125"
"20016","0","0","0"
"20018","0","0","0"
"20021","0.03125","0.03125","0.03125"
"20028","0.03125","0.03125","0.03125"
"20031","0","0","0"
"30000","0","0","0"
"30007","0","0","0"
"30008","0","0","0"
"30010","0","0","0"
"30012","0","0","0"
"40001","0","0","0"
"40019","0","0","0"
"40022","0","0","0"
"40023","0","0","0"
"50008","0","0","0"
"50024","0","0","0"
"50026","0","0","0"
"50027","0","0","0"
"50028","0","0","0"
"60001","0","0","0"
"60004","0","0","0"
"60017","0","0","0"
"60025","0","0","0"
"60029","0","0","0"
"60043","0","0","0"
"70003","0","0","0"
"70005","0","0","0"
"70007","0","0","0"
"70012","0","0","0"
"70015","0","0","0"
"70018","0","0","0"
"80010","0","0","0"
"80022","0","0","0"
"80025","0.03125","0.03125","0.03125"
"80029","0","0","0"
"80032","0","0","0"
"90003","0","0","0"
"90010","0","0","0"
"90019","0","0","0"
"90022","0","0","0"
"90029","0","0","0"
"90040","0","0","0"
"100000","0","0","0"
"100003","0","0","0"
"100010","0","0","0"
"100011","0","0","0"
"100025","0","0","0"
"100034","0","0","0"
"110004","0","0","0"
"110013","0","0","0"
"110014","0","0","0"
"110019","0","0","0"
"110030","0.015625","0","0.03125"
"120002","0","0","0"
"120005","0","0","0"
"120015","0","0","0"
"120027","0","0","0"
"120032","0","0","0"
"120051","0","0","0"
"130005","0","0","0"
"130016","0","0","0"
"130017","0","0","0"
"130031","0","0","0"
"130034","0.03125","0.03125","0.03125"
"140005","0.03125","0.03125","0.03125"
"140010","0","0","0"
"140015","0","0","0"
"140022","0","0","0"
"140027","0","0","0"
"140035","0","0","0"
"150005","0","0","0"
"150007","0","0","0"
"150016","0","0","0"
"150026","0","0","0"
"150027","0","0","0"
"150030","0","0","0"
"160005","0","0","0"
"160015","0.03125","0.03125","0.03125"
"160024","0","0","0"
"160027","0.03125","0.03125","0.03125"
"160029","0","0","0"
"160031","0","0","0"
"170001","0.03125","0.03125","0.03125"
"170002","0","0","0"
"170008","0","0","0"
"170016","0","0","0"
"170023","0","0","0"
"170034","0","0","0"
"180001","0","0","0"
"180003","0","0","0"
"180004","0","0","0"
"180012","0","0","0"
"180016","0","0","0"
"180022","0","0","0"
"190001","0","0","0"
"190011","0","0","0"
"190013","0","0","0"
"190021","0","0","0"
"190027","0","0","0"
"190028","0","0","0"
"200001","0","0","0"
"200007","0.03125","0.03125","0.03125"
"200014","0","0","0"
"200029","0.03125","0.03125","0.03125"
"200046","0","0","0"
"200064","0","0","0"
"210002","0","0","0"
"210012","0","0","0"
"210014","0","0","0"
"210023","0","0","0"
"210029","0","0","0"
"210035","0","0","0"
"220009","0.03125","0.03125","0.03125"
"220013","0","0","0"
"220018","0","0","0"
"220029","0","0","0"
"220034","0","0","0"
"220039","0","0","0"
"230000","0.03125","0.03125","0.03125"
"230002","0","0","0"
"230009","0.03125","0.03125","0.03125"
"230010","0.03125","0.03125","0.03125"
"230016","0","0","0"
"230023","0","0","0"
"240011","0","0","0"
"240013","0","0","0"
"240022","0","0","0"
"240028","0.03125","0.03125","0.03125"
"240029","0","0","0"
"240033","0.03125","0.03125","0.03125"
"250006","0","0","0"
"250016","0","0","0"
"250017","0","0","0"
"250029","0","0","0"
"250035","0","0","0"
"250040","0","0","0"
"260001","0","0","0"
"260006","0.03125","0.03125","0.03125"
"260012","0.03125","0.03125","0.03125"
"260023","0","0","0"
"260027","0.03125","0.03125","0.03125"
"260029","0","0","0"
"270002","0","0","0"
"270003","0","0","0"
"270005","0.03125","0.03125","0.03125"
"270030","0","0","0"
"270054","0","0","0"
"280010","0","0","0"
"280011","0","0","0"
"280013","0","0","0"
"280017","0.03125","0.03125","0.03125"
"280028","0","0","0"
"290011","0","0","0"
"290017","0","0","0"
"290024","0","0","0"
"290036","0","0","0"
"290042","0","0","0"
"290048","0","0","0"
"300001","0","0","0"
"300004","0.03125","0.03125","0.03125"
"300007","0","0","0"
"300009","0","0","0"
"300030","0.03125","0.03125","0.03125"
"300045","0.03125","0.03125","0.03125"
"310005","0","0","0"
"310007","0","0","0"
"310010","0","0","0"
"310014","0","0","0"
"310030","0","0","0"
"320012","0","0","0"
"320013","0.0625","0.0625","0.0625"
"320026","0","0","0"
"320036","0.03125","0.03125","0.03125"
"320038","0","0","0"
"320042","0","0","0"
"330010","0.03125","0.03125","0.03125"
"330011","0","0","0"
"330029","0","0","0"
