"Step","Group: zerg_10_vs_11_ACORM_WM - win_rate","Group: zerg_10_vs_11_ACORM_WM - win_rate__MIN","Group: zerg_10_vs_11_ACORM_WM - win_rate__MAX"
"430235","0.0625","0.0625","0.0625"
"430251","0.03125","0.03125","0.03125"
"440222","0.0625","0.0625","0.0625"
"440228","0","0","0"
"440233","0.03125","0.03125","0.03125"
"440237","0.15625","0.15625","0.15625"
"440260","0.15625","0.15625","0.15625"
"450221","0.15625","0.15625","0.15625"
"450223","0.1875","0.1875","0.1875"
"450248","0.1875","0.1875","0.1875"
"450258","0.125","0.125","0.125"
"450272","0.15625","0.15625","0.15625"
"460225","0.1875","0.09375","0.28125"
"460239","0.1875","0.1875","0.1875"
"460259","0.15625","0.15625","0.15625"
"460261","0.21875","0.21875","0.21875"
"470226","0.25","0.25","0.25"
"470230","0.125","0.125","0.125"
"470246","0.15625","0.15625","0.15625"
"470255","0.125","0.125","0.125"
"470256","0.15625","0.15625","0.15625"
"480225","0.09375","0.09375","0.09375"
"480239","0.15625","0.15625","0.15625"
"480244","0.09375","0.09375","0.09375"
"480247","0.0625","0.0625","0.0625"
"480252","0.21875","0.21875","0.21875"
"490231","0.125","0.125","0.125"
"490243","0.09375","0.09375","0.09375"
"490244","0.125","0.125","0.125"
"490256","0.28125","0.28125","0.28125"
"490280","0.0625","0.0625","0.0625"
"500223","0.0625","0.0625","0.0625"
"500225","0.1875","0.1875","0.1875"
"500243","0.1875","0.1875","0.1875"
"500256","0.09375","0.09375","0.09375"
"500260","0.15625","0.15625","0.15625"
"510222","0.28125","0.28125","0.28125"
"510227","0.09375","0.09375","0.09375"
"510233","0.0625","0.0625","0.0625"
"510239","0.0625","0.0625","0.0625"
"510258","0.15625","0.15625","0.15625"
"520224","0.25","0.25","0.25"
"520235","0.09375","0.09375","0.09375"
"520237","0.0625","0.0625","0.0625"
"520243","0.09375","0.09375","0.09375"
"520252","0.1875","0.1875","0.1875"
"530220","0.109375","0.09375","0.125"
"530225","0.21875","0.21875","0.21875"
"530236","0.1875","0.1875","0.1875"
"530281","0.0625","0.0625","0.0625"
"540233","0.21875","0.21875","0.21875"
"540234","0.15625","0.15625","0.15625"
"540236","0.125","0.125","0.125"
"540240","0.125","0.125","0.125"
"540241","0.09375","0.09375","0.09375"
"550221","0.125","0.125","0.125"
"550235","0.21875","0.21875","0.21875"
"550243","0.15625","0.15625","0.15625"
"550244","0.15625","0.15625","0.15625"
"550262","0.3125","0.3125","0.3125"
"560220","0.15625","0.15625","0.15625"
"560223","0.1875","0.1875","0.1875"
"560237","0.3125","0.3125","0.3125"
"560244","0.25","0.25","0.25"
"560248","0.25","0.25","0.25"
"570225","0.1875","0.1875","0.1875"
"570231","0.15625","0.15625","0.15625"
"570242","0.21875","0.21875","0.21875"
"570243","0.1875","0.1875","0.1875"
"570254","0.125","0.125","0.125"
"580225","0.25","0.25","0.25"
"580244","0.1875","0.1875","0.1875"
"580246","0.0625","0.0625","0.0625"
"580247","0.15625","0.15625","0.15625"
"580267","0.15625","0.15625","0.15625"
"590220","0.15625","0.15625","0.15625"
"590228","0.1875","0.1875","0.1875"
"590231","0.125","0.125","0.125"
"590247","0.0625","0.0625","0.0625"
"590273","0.21875","0.21875","0.21875"
"600233","0.09375","0.09375","0.09375"
"600238","0.1875","0.1875","0.1875"
"600245","0.1875","0.1875","0.1875"
"600266","0.15625","0.15625","0.15625"
"600291","0.125","0.125","0.125"
"610230","0.125","0","0.25"
"610234","0.21875","0.21875","0.21875"
"610235","0.15625","0.15625","0.15625"
"610237","0.21875","0.21875","0.21875"
"620224","0.21875","0.21875","0.21875"
"620226","0","0","0"
"620233","0.1875","0.1875","0.1875"
"620237","0.1875","0.1875","0.1875"
"620238","0.125","0.125","0.125"
"630224","0.1875","0.1875","0.1875"
"630233","0.125","0.125","0.125"
"630242","0.125","0.125","0.125"
"630243","0.21875","0.21875","0.21875"
"630245","0.15625","0.15625","0.15625"
"640238","0.125","0.125","0.125"
"640239","0.125","0.125","0.125"
"640243","0.125","0.125","0.125"
"640244","0.15625","0.15625","0.15625"
"640259","0.21875","0.21875","0.21875"
"650234","0.21875","0.15625","0.28125"
"650238","0.125","0.125","0.125"
"650245","0.15625","0.15625","0.15625"
