"Step","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MIN","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MAX"
"410272","0","0","0"
"410630","0","0","0"
"420232","0","0","0"
"420241","0","0","0"
"420245","0","0","0"
"420273","0","0","0"
"420274","0","0","0"
"420385","0","0","0"
"420626","0","0","0"
"430243","0","0","0"
"430262","0","0","0"
"430268","0","0","0"
"430270","0","0","0"
"430307","0.03125","0.03125","0.03125"
"430323","0","0","0"
"430707","0","0","0"
"440244","0","0","0"
"440252","0","0","0"
"440258","0","0","0"
"440267","0.03125","0.03125","0.03125"
"440335","0","0","0"
"440352","0","0","0"
"440720","0","0","0"
"450242","0","0","0"
"450245","0","0","0"
"450255","0.0625","0.0625","0.0625"
"450262","0","0","0"
"450263","0","0","0"
"450286","0","0","0"
"450611","0","0","0"
"460224","0.03125","0.03125","0.03125"
"460246","0","0","0"
"460257","0","0","0"
"460306","0","0","0"
"460334","0","0","0"
"460345","0","0","0"
"460643","0","0","0"
"470236","0","0","0"
"470251","0","0","0"
"470253","0","0","0"
"470254","0","0","0"
"470381","0","0","0"
"470386","0","0","0"
"470622","0","0","0"
"480224","0","0","0"
"480260","0","0","0"
"480314","0.03125","0.03125","0.03125"
"480320","0","0","0"
"480352","0","0","0"
"480354","0","0","0"
"480633","0","0","0"
"490241","0.03125","0.03125","0.03125"
"490252","0","0","0"
"490287","0","0","0"
"490304","0","0","0"
"490327","0","0","0"
"490382","0","0","0"
"490623","0","0","0"
"500229","0","0","0"
"500232","0","0","0"
"500250","0.03125","0.03125","0.03125"
"500305","0","0","0"
"500383","0","0","0"
"500649","0","0","0"
"510224","0","0","0"
"510242","0","0","0"
"510244","0","0","0"
"510263","0","0","0"
"510383","0","0","0"
"510623","0","0","0"
"520238","0","0","0"
"520247","0","0","0"
"520256","0","0","0"
"520277","0.0625","0.0625","0.0625"
"520278","0","0","0"
"520284","0","0","0"
"520639","0","0","0"
"530250","0","0","0"
"530262","0.03125","0.03125","0.03125"
"530266","0","0","0"
"530268","0","0","0"
"530296","0","0","0"
"530310","0.03125","0.03125","0.03125"
"530641","0","0","0"
"540229","0","0","0"
"540248","0","0","0"
"540253","0","0","0"
"540276","0","0","0"
"540314","0","0","0"
"540351","0","0","0"
"540608","0","0","0"
"550220","0","0","0"
"550258","0","0","0"
"550275","0","0","0"
"550338","0.0625","0.0625","0.0625"
"550362","0","0","0"
"550366","0","0","0"
"550616","0","0","0"
"560245","0.0625","0.0625","0.0625"
"560257","0","0","0"
"560306","0","0","0"
"560364","0.015625","0","0.03125"
"560374","0","0","0"
"560638","0","0","0"
"570234","0","0","0"
"570241","0.03125","0.03125","0.03125"
"570321","0","0","0"
"570347","0","0","0"
"570373","0","0","0"
"570622","0","0","0"
"580251","0","0","0"
"580275","0","0","0"
"580278","0.125","0.125","0.125"
"580340","0.03125","0.03125","0.03125"
"580348","0.125","0.125","0.125"
"580381","0","0","0"
"580659","0","0","0"
"590265","0","0","0"
"590300","0.03125","0.03125","0.03125"
"590312","0","0","0"
"590330","0.1875","0.1875","0.1875"
"590342","0.125","0.125","0.125"
"590377","0","0","0"
"590604","0","0","0"
"600226","0.0625","0.0625","0.0625"
"600254","0","0","0"
"600259","0","0","0"
"600277","0","0","0"
"600287","0","0","0"
