"Step","Group: 5m_vs_6m_ACORM_WM - win_rate","Group: 5m_vs_6m_ACORM_WM - win_rate__MIN","Group: 5m_vs_6m_ACORM_WM - win_rate__MAX"
"350616","0.625","0.625","0.625"
"350625","0.59375","0.59375","0.59375"
"360602","0.46875","0.46875","0.46875"
"360607","0.78125","0.78125","0.78125"
"360614","0.5625","0.5625","0.5625"
"360617","0.625","0.625","0.625"
"360627","0.5","0.5","0.5"
"370605","0.53125","0.53125","0.53125"
"370612","0.625","0.625","0.625"
"370621","0.578125","0.46875","0.6875"
"370626","0.6875","0.6875","0.6875"
"380601","0.5625","0.5625","0.5625"
"380611","0.65625","0.65625","0.65625"
"380612","0.65625","0.65625","0.65625"
"380616","0.53125","0.53125","0.53125"
"380621","0.5625","0.5625","0.5625"
"390604","0.53125","0.53125","0.53125"
"390608","0.5","0.5","0.5"
"390613","0.53125","0.53125","0.53125"
"390615","0.4375","0.4375","0.4375"
"390621","0.75","0.75","0.75"
"400604","0.78125","0.78125","0.78125"
"400613","0.578125","0.5625","0.59375"
"400618","0.53125","0.53125","0.53125"
"400622","0.5625","0.5625","0.5625"
"410600","0.5625","0.5625","0.5625"
"410604","0.46875","0.46875","0.46875"
"410609","0.65625","0.65625","0.65625"
"410610","0.53125","0.53125","0.53125"
"410621","0.65625","0.65625","0.65625"
"420600","0.4375","0.4375","0.4375"
"420606","0.65625","0.65625","0.65625"
"420610","0.625","0.625","0.625"
"420621","0.5","0.5","0.5"
"420622","0.59375","0.59375","0.59375"
"430605","0.46875","0.46875","0.46875"
"430608","0.59375","0.59375","0.59375"
"430612","0.625","0.625","0.625"
"430616","0.46875","0.46875","0.46875"
"430620","0.40625","0.40625","0.40625"
"440606","0.71875","0.71875","0.71875"
"440610","0.53125","0.53125","0.53125"
"440616","0.5625","0.5625","0.5625"
"440617","0.40625","0.40625","0.40625"
"440624","0.6875","0.6875","0.6875"
"450600","0.53125","0.53125","0.53125"
"450602","0.625","0.625","0.625"
"450606","0.71875","0.71875","0.71875"
"450608","0.84375","0.84375","0.84375"
"450617","0.625","0.625","0.625"
"460612","0.6458333333333334","0.59375","0.6875"
"460616","0.6875","0.6875","0.6875"
"460626","0.53125","0.53125","0.53125"
"470608","0.625","0.625","0.625"
"470616","0.65625","0.65625","0.65625"
"470617","0.4375","0.4375","0.4375"
"470619","0.6875","0.6875","0.6875"
"470622","0.53125","0.53125","0.53125"
"480607","0.53125","0.4375","0.625"
"480610","0.75","0.75","0.75"
"480617","0.6875","0.6875","0.6875"
"480619","0.6875","0.6875","0.6875"
"490603","0.59375","0.59375","0.59375"
"490605","0.75","0.75","0.75"
"490612","0.59375","0.59375","0.59375"
"490618","0.6875","0.6875","0.6875"
"490633","0.59375","0.59375","0.59375"
"500600","0.46875","0.46875","0.46875"
"500613","0.671875","0.65625","0.6875"
"500614","0.5625","0.5625","0.5625"
"500625","0.625","0.625","0.625"
"510601","0.4375","0.4375","0.4375"
"510603","0.5625","0.5625","0.5625"
"510608","0.625","0.625","0.625"
"510611","0.6875","0.6875","0.6875"
"510626","0.625","0.625","0.625"
"520606","0.78125","0.78125","0.78125"
"520608","0.625","0.625","0.625"
"520614","0.53125","0.53125","0.53125"
"520622","0.53125","0.46875","0.59375"
"530604","0.34375","0.34375","0.34375"
"530608","0.46875","0.46875","0.46875"
"530621","0.625","0.625","0.625"
"530622","0.78125","0.78125","0.78125"
"530627","0.5625","0.5625","0.5625"
"540609","0.625","0.5625","0.6875"
"540610","0.53125","0.53125","0.53125"
"540612","0.5625","0.5625","0.5625"
"540620","0.46875","0.46875","0.46875"
"550603","0.5","0.5","0.5"
"550605","0.59375","0.59375","0.59375"
"550606","0.5625","0.5625","0.5625"
"550611","0.71875","0.71875","0.71875"
"550613","0.75","0.75","0.75"
"560605","0.34375","0.34375","0.34375"
"560608","0.6875","0.6875","0.6875"
"560620","0.5625","0.5625","0.5625"
"560622","0.375","0.375","0.375"
"560624","0.65625","0.65625","0.65625"
"570602","0.6875","0.6875","0.6875"
"570612","0.5","0.5","0.5"
"570614","0.5625","0.5625","0.5625"
"570617","0.5625","0.5625","0.5625"
"570624","0.5625","0.5625","0.5625"
"580602","0.65625","0.65625","0.65625"
"580610","0.6875","0.6875","0.6875"
"580611","0.8125","0.8125","0.8125"
"580613","0.65625","0.65625","0.65625"
"580618","0.59375","0.59375","0.59375"
"590606","0.40625","0.40625","0.40625"
"590618","0.6458333333333334","0.53125","0.71875"
"590624","0.59375","0.59375","0.59375"
"600610","0.625","0.625","0.625"
"600612","0.65625","0.65625","0.65625"
"600618","0.5","0.5","0.5"
"600619","0.6875","0.6875","0.6875"
"600623","0.5625","0.5625","0.5625"
"610608","0.625","0.625","0.625"
"610611","0.6875","0.6875","0.6875"
"610623","0.6770833333333334","0.59375","0.8125"
"620602","0.71875","0.71875","0.71875"
"620606","0.5625","0.53125","0.59375"
"620614","0.59375","0.59375","0.59375"
"620623","0.59375","0.59375","0.59375"
"630601","0.59375","0.59375","0.59375"
"630612","0.75","0.75","0.75"
"630614","0.5625","0.5625","0.5625"
"630621","0.78125","0.78125","0.78125"
"630623","0.625","0.625","0.625"
"640607","0.53125","0.53125","0.53125"
"640612","0.5","0.5","0.5"
"640615","0.671875","0.59375","0.75"
"640617","0.6875","0.6875","0.6875"
"650616","0.625","0.625","0.625"
"650619","0.75","0.75","0.75"
"650627","0.578125","0.3125","0.84375"
"650629","0.5625","0.5625","0.5625"
"660612","0.71875","0.71875","0.71875"
"660613","0.59375","0.59375","0.59375"
"660615","0.6875","0.65625","0.71875"
"660616","0.75","0.75","0.75"
"670605","0.625","0.625","0.625"
"670606","0.75","0.75","0.75"
"670609","0.71875","0.71875","0.71875"
"670617","0.65625","0.65625","0.65625"
"670620","0.625","0.625","0.625"
"680601","0.59375","0.59375","0.59375"
"680605","0.8125","0.8125","0.8125"
"680607","0.75","0.75","0.75"
"680609","0.625","0.625","0.625"
"680621","0.46875","0.46875","0.46875"
"690605","0.5","0.5","0.5"
"690608","0.78125","0.78125","0.78125"
"690610","0.65625","0.65625","0.65625"
"690617","0.59375","0.59375","0.59375"
"690618","0.625","0.625","0.625"
"700608","0.6875","0.6875","0.6875"
"700611","0.6666666666666666","0.59375","0.8125"
"700624","0.8125","0.8125","0.8125"
"710607","0.78125","0.78125","0.78125"
"710612","0.5625","0.5625","0.5625"
"710615","0.53125","0.53125","0.53125"
"710621","0.5625","0.5625","0.5625"
"710624","0.65625","0.65625","0.65625"
"720604","0.6875","0.65625","0.71875"
"720607","0.8125","0.8125","0.8125"
"720612","0.53125","0.53125","0.53125"
"720621","0.71875","0.71875","0.71875"
"730604","0.4375","0.4375","0.4375"
"730605","0.6875","0.6875","0.6875"
"730612","0.65625","0.65625","0.65625"
"730616","0.6875","0.6875","0.6875"
"730620","0.53125","0.53125","0.53125"
"740607","0.625","0.46875","0.78125"
"740609","0.71875","0.71875","0.71875"
"740611","0.59375","0.59375","0.59375"
"740615","0.65625","0.65625","0.65625"
"750606","0.75","0.75","0.75"
"750607","0.65625","0.65625","0.65625"
"750612","0.734375","0.6875","0.78125"
"750617","0.65625","0.65625","0.65625"
"760604","0.71875","0.71875","0.71875"
"760607","0.78125","0.78125","0.78125"
"760610","0.8125","0.8125","0.8125"
"760619","0.78125","0.78125","0.78125"
"760627","0.65625","0.65625","0.65625"
"770600","0.75","0.75","0.75"
"770602","0.71875","0.71875","0.71875"
"770604","0.625","0.625","0.625"
"770613","0.5625","0.5625","0.5625"
"770615","0.71875","0.71875","0.71875"
"780602","0.625","0.625","0.625"
"780610","0.59375","0.59375","0.59375"
"780611","0.78125","0.78125","0.78125"
"780617","0.78125","0.78125","0.78125"
"780622","0.53125","0.53125","0.53125"
"790605","0.5625","0.5625","0.5625"
"790615","0.59375","0.59375","0.59375"
"790616","0.59375","0.5","0.6875"
"790621","0.75","0.75","0.75"
"800605","0.6875","0.6875","0.6875"
"800606","0.8125","0.8125","0.8125"
"800611","0.4375","0.4375","0.4375"
"800621","0.65625","0.65625","0.65625"
"800626","0.59375","0.59375","0.59375"
"810601","0.75","0.75","0.75"
"810605","0.6875","0.6875","0.6875"
"810606","0.75","0.75","0.75"
"810612","0.53125","0.53125","0.53125"
"810619","0.78125","0.78125","0.78125"
"820601","0.71875","0.71875","0.71875"
"820604","0.5625","0.5625","0.5625"
"820608","0.6875","0.6875","0.6875"
"820623","0.765625","0.75","0.78125"
"830600","0.796875","0.78125","0.8125"
