"Step","Group: protoss_5_vs_5_ACORM_WM - win_rate","Group: protoss_5_vs_5_ACORM_WM - win_rate__MIN","Group: protoss_5_vs_5_ACORM_WM - win_rate__MAX"
"340623","0.21875","0.21875","0.21875"
"340624","0.125","0.125","0.125"
"340626","0.46875","0.46875","0.46875"
"350602","0.21875","0.21875","0.21875"
"350619","0.25","0.25","0.25"
"350624","0.4375","0.4375","0.4375"
"350643","0.40625","0.40625","0.40625"
"350665","0.53125","0.53125","0.53125"
"360616","0.34375","0.34375","0.34375"
"360618","0.34375","0.34375","0.34375"
"360654","0.46875","0.46875","0.46875"
"360655","0.09375","0.09375","0.09375"
"360662","0.34375","0.34375","0.34375"
"370601","0.0625","0.0625","0.0625"
"370620","0.28125","0.28125","0.28125"
"370637","0.34375","0.34375","0.34375"
"370648","0.3125","0.3125","0.3125"
"370655","0.34375","0.34375","0.34375"
"380604","0.375","0.375","0.375"
"380611","0.46875","0.46875","0.46875"
"380614","0.34375","0.34375","0.34375"
"380637","0.34375","0.34375","0.34375"
"380638","0.15625","0.15625","0.15625"
"390609","0.40625","0.40625","0.40625"
"390612","0.3125","0.3125","0.3125"
"390615","0.21875","0.21875","0.21875"
"390621","0.34375","0.34375","0.34375"
"390646","0.46875","0.46875","0.46875"
"400635","0.40625","0.375","0.4375"
"400642","0.359375","0.25","0.46875"
"400687","0.1875","0.1875","0.1875"
"410624","0.1875","0.1875","0.1875"
"410625","0.34375","0.34375","0.34375"
"410628","0.4375","0.4375","0.4375"
"410631","0.375","0.375","0.375"
"410633","0.375","0.375","0.375"
"420605","0.5","0.5","0.5"
"420628","0.46875","0.46875","0.46875"
"420637","0.3125","0.3125","0.3125"
"420644","0.3125","0.3125","0.3125"
"420672","0.40625","0.40625","0.40625"
"430605","0.5","0.5","0.5"
"430607","0.3125","0.3125","0.3125"
"430609","0.34375","0.34375","0.34375"
"430614","0.4375","0.4375","0.4375"
"430621","0.25","0.25","0.25"
"440626","0.4375","0.4375","0.4375"
"440632","0.15625","0.15625","0.15625"
"440642","0.34375","0.34375","0.34375"
"440643","0.34375","0.34375","0.34375"
"440644","0.34375","0.34375","0.34375"
"450611","0.53125","0.53125","0.53125"
"450647","0.28125","0.28125","0.28125"
"450649","0.375","0.375","0.375"
"450652","0.15625","0.15625","0.15625"
"450657","0.53125","0.53125","0.53125"
"460626","0.4375","0.4375","0.4375"
"460637","0.21875","0.21875","0.21875"
"460638","0.5","0.5","0.5"
"460658","0.4375","0.4375","0.4375"
"460668","0.4375","0.4375","0.4375"
"470610","0.34375","0.34375","0.34375"
"470620","0.40625","0.40625","0.40625"
"470621","0.15625","0.15625","0.15625"
"470635","0.34375","0.34375","0.34375"
"470677","0.3125","0.3125","0.3125"
"480604","0.28125","0.28125","0.28125"
"480622","0.40625","0.375","0.4375"
"480656","0.359375","0.28125","0.4375"
"490601","0.4375","0.4375","0.4375"
"490605","0.34375","0.34375","0.34375"
"490651","0.4375","0.4375","0.4375"
"490661","0.4375","0.4375","0.4375"
"490690","0.5625","0.5625","0.5625"
"500605","0.46875","0.46875","0.46875"
"500608","0.4375","0.4375","0.4375"
"500618","0.34375","0.34375","0.34375"
"500626","0.46875","0.46875","0.46875"
"500639","0.28125","0.28125","0.28125"
"510609","0.25","0.25","0.25"
"510642","0.375","0.375","0.375"
"510649","0.34375","0.34375","0.34375"
"510655","0.4375","0.4375","0.4375"
"510657","0.375","0.375","0.375"
"520607","0.40625","0.40625","0.40625"
"520632","0.46875","0.46875","0.46875"
"520656","0.4375","0.4375","0.4375"
"520663","0.40625","0.40625","0.40625"
"520667","0.46875","0.46875","0.46875"
"530608","0.375","0.375","0.375"
"530609","0.375","0.375","0.375"
"530635","0.5625","0.5625","0.5625"
"530637","0.625","0.625","0.625"
"530651","0.25","0.25","0.25"
"540627","0.46875","0.46875","0.46875"
"540636","0.5625","0.5625","0.5625"
"540641","0.34375","0.34375","0.34375"
"540652","0.34375","0.34375","0.34375"
"540658","0.4375","0.4375","0.4375"
"550600","0.40625","0.40625","0.40625"
"550605","0.3125","0.3125","0.3125"
"550629","0.328125","0.25","0.40625"
"550655","0.40625","0.40625","0.40625"
"560641","0.4375","0.4375","0.4375"
"560649","0.28125","0.28125","0.28125"
"560659","0.5625","0.5625","0.5625"
"560661","0.28125","0.28125","0.28125"
"560663","0.28125","0.28125","0.28125"
"570600","0.5625","0.5625","0.5625"
"570601","0.59375","0.59375","0.59375"
"570614","0.5625","0.5625","0.5625"
"570673","0.375","0.375","0.375"
"570683","0.40625","0.40625","0.40625"
"580620","0.3125","0.3125","0.3125"
"580621","0.5","0.5","0.5"
"580630","0.40625","0.40625","0.40625"
"580652","0.5625","0.5625","0.5625"
"580657","0.5","0.5","0.5"
"590628","0.375","0.375","0.375"
"590633","0.5625","0.5625","0.5625"
"590635","0.53125","0.53125","0.53125"
"590642","0.1875","0.1875","0.1875"
"590708","0.3125","0.3125","0.3125"
"600600","0.5","0.5","0.5"
"600616","0.5","0.5","0.5"
"600625","0.53125","0.53125","0.53125"
"600645","0.4375","0.4375","0.4375"
"600646","0.40625","0.40625","0.40625"
"610605","0.4375","0.4375","0.4375"
"610634","0.359375","0.34375","0.375"
"610641","0.375","0.375","0.375"
"610643","0.375","0.375","0.375"
"620609","0.5","0.5","0.5"
"620614","0.4375","0.4375","0.4375"
"620646","0.625","0.625","0.625"
"620660","0.40625","0.40625","0.40625"
"620719","0.5625","0.5625","0.5625"
"630638","0.625","0.625","0.625"
"630649","0.46875","0.46875","0.46875"
"630651","0.375","0.375","0.375"
"630663","0.4375","0.4375","0.4375"
"630685","0.375","0.375","0.375"
"640608","0.46875","0.46875","0.46875"
"640647","0.34375","0.3125","0.375"
"640652","0.5","0.5","0.5"
"640699","0.5","0.5","0.5"
"650612","0.53125","0.53125","0.53125"
"650630","0.40625","0.40625","0.40625"
"650636","0.40625","0.40625","0.40625"
"650637","0.4375","0.4375","0.4375"
"650653","0.625","0.625","0.625"
"660607","0.375","0.375","0.375"
"660609","0.5","0.5","0.5"
"660622","0.4375","0.4375","0.4375"
"660642","0.46875","0.46875","0.46875"
"660655","0.46875","0.46875","0.46875"
"670617","0.53125","0.53125","0.53125"
"670622","0.46875","0.46875","0.46875"
"670628","0.5625","0.5625","0.5625"
"670647","0.53125","0.53125","0.53125"
"670651","0.6875","0.6875","0.6875"
"680600","0.53125","0.53125","0.53125"
"680606","0.5625","0.5625","0.5625"
"680628","0.46875","0.46875","0.46875"
"680649","0.625","0.625","0.625"
"680653","0.4375","0.4375","0.4375"
"690623","0.5625","0.5625","0.5625"
"690648","0.4375","0.4375","0.4375"
"690650","0.46875","0.46875","0.46875"
"690652","0.4375","0.4375","0.4375"
"690663","0.40625","0.40625","0.40625"
