"Step","Group: protoss_5_vs_5_QMIX - win_rate","Group: protoss_5_vs_5_QMIX - win_rate__MIN","Group: protoss_5_vs_5_QMIX - win_rate__MAX"
"290078","0.15625","0.15625","0.15625"
"300018","0","0","0"
"300027","0.0625","0.0625","0.0625"
"300028","0.125","0.125","0.125"
"300029","0.03125","0.03125","0.03125"
"300030","0.0625","0.0625","0.0625"
"300053","0.03125","0.03125","0.03125"
"310000","0","0","0"
"310005","0.21875","0.21875","0.21875"
"310006","0","0","0"
"310024","0.09375","0.09375","0.09375"
"310033","0.125","0.125","0.125"
"310060","0.21875","0.21875","0.21875"
"320004","0.09375","0.09375","0.09375"
"320023","0.0625","0.0625","0.0625"
"320025","0.0625","0.0625","0.0625"
"320035","0.09375","0.09375","0.09375"
"320043","0.09375","0.09375","0.09375"
"320063","0.0625","0.0625","0.0625"
"330001","0.140625","0.09375","0.1875"
"330004","0.09375","0.09375","0.09375"
"330035","0.125","0.125","0.125"
"330040","0.09375","0.09375","0.09375"
"330050","0.0625","0.0625","0.0625"
"340007","0.1875","0.1875","0.1875"
"340022","0.09375","0.09375","0.09375"
"340024","0.28125","0.28125","0.28125"
"340045","0.140625","0.09375","0.1875"
"340082","0.09375","0.09375","0.09375"
"350025","0.109375","0.09375","0.125"
"350032","0.09375","0.09375","0.09375"
"350034","0.25","0.25","0.25"
"350043","0.09375","0.09375","0.09375"
"350045","0.1875","0.1875","0.1875"
"360008","0.0625","0.0625","0.0625"
"360025","0.21875","0.21875","0.21875"
"360026","0.09375","0.09375","0.09375"
"360027","0.0625","0.0625","0.0625"
"360033","0.15625","0.15625","0.15625"
"360046","0.03125","0.03125","0.03125"
"370023","0.15625","0.15625","0.15625"
"370030","0.125","0.125","0.125"
"370035","0.09375","0.09375","0.09375"
"370044","0.09375","0.09375","0.09375"
"370053","0.09375","0.09375","0.09375"
"370056","0.1875","0.1875","0.1875"
"380000","0.03125","0.03125","0.03125"
"380006","0.125","0.125","0.125"
"380007","0.0625","0.0625","0.0625"
"380015","0.03125","0.03125","0.03125"
"380038","0.1875","0.1875","0.1875"
"380100","0.1875","0.1875","0.1875"
"390003","0.15625","0.15625","0.15625"
"390004","0.09375","0.09375","0.09375"
"390024","0.125","0.125","0.125"
"390040","0.125","0.125","0.125"
"390041","0.125","0.125","0.125"
"390165","0.125","0.125","0.125"
"400002","0.125","0.125","0.125"
"400019","0.125","0.125","0.125"
"400021","0.09375","0.09375","0.09375"
"400026","0.0625","0.0625","0.0625"
"400045","0.1875","0.1875","0.1875"
"400051","0.03125","0.03125","0.03125"
"410021","0.125","0.125","0.125"
"410026","0.1875","0.1875","0.1875"
"410039","0.15625","0.15625","0.15625"
"410051","0.1875","0.1875","0.1875"
"410053","0.125","0.125","0.125"
"410065","0.25","0.25","0.25"
"420001","0.1875","0.1875","0.1875"
"420009","0.0625","0.0625","0.0625"
"420023","0.09375","0.09375","0.09375"
"420026","0.0625","0.0625","0.0625"
"420027","0.375","0.375","0.375"
"420048","0.15625","0.15625","0.15625"
"430003","0.1875","0.1875","0.1875"
"430028","0.125","0.125","0.125"
"430029","0.03125","0.03125","0.03125"
"430030","0.125","0.125","0.125"
"430034","0.09375","0.09375","0.09375"
"430037","0.03125","0.03125","0.03125"
"440002","0.1875","0.1875","0.1875"
"440012","0.21875","0.21875","0.21875"
"440016","0.15625","0.15625","0.15625"
"440036","0.125","0.125","0.125"
"440041","0.15625","0.15625","0.15625"
"440053","0","0","0"
"450001","0.203125","0.09375","0.3125"
"450020","0.09375","0.09375","0.09375"
"450023","0.0625","0.0625","0.0625"
"450037","0","0","0"
"450040","0.125","0.125","0.125"
"460013","0.28125","0.28125","0.28125"
"460025","0.15625","0.15625","0.15625"
"460029","0.125","0.125","0.125"
"460036","0.09375","0.09375","0.09375"
"460042","0.125","0.125","0.125"
"460053","0.09375","0.09375","0.09375"
"470006","0.125","0.125","0.125"
"470008","0.21875","0.21875","0.21875"
"470015","0.1875","0.1875","0.1875"
"470028","0.1875","0.1875","0.1875"
"470029","0.21875","0.21875","0.21875"
"470041","0.125","0.125","0.125"
"480002","0.1875","0.1875","0.1875"
"480006","0.28125","0.28125","0.28125"
"480018","0.09375","0.09375","0.09375"
"480029","0.15625","0.15625","0.15625"
"480039","0.09375","0.09375","0.09375"
"480053","0.25","0.25","0.25"
"490002","0.21875","0.21875","0.21875"
"490012","0.03125","0.03125","0.03125"
"490015","0.1875","0.1875","0.1875"
"490016","0","0","0"
"490024","0.0625","0.0625","0.0625"
"490066","0.03125","0.03125","0.03125"
"500012","0.15625","0.15625","0.15625"
"500029","0.21875","0.21875","0.21875"
"500039","0.09375","0.09375","0.09375"
"500047","0.0625","0.0625","0.0625"
"500052","0.1875","0.1875","0.1875"
"500060","0.15625","0.15625","0.15625"
"510011","0.0625","0.0625","0.0625"
"510026","0.15625","0.15625","0.15625"
"510042","0.1875","0.1875","0.1875"
"510048","0.09375","0.09375","0.09375"
"510052","0.15625","0.15625","0.15625"
"510055","0.1875","0.1875","0.1875"
"520009","0.125","0.125","0.125"
"520014","0.125","0.125","0.125"
"520031","0.15625","0.15625","0.15625"
"520032","0.25","0.25","0.25"
"520035","0.125","0.125","0.125"
"520059","0.09375","0.09375","0.09375"
"530000","0.03125","0.03125","0.03125"
"530011","0.21875","0.21875","0.21875"
"530012","0.09375","0.09375","0.09375"
"530013","0.21875","0.21875","0.21875"
"530021","0.125","0.125","0.125"
"530046","0.125","0.125","0.125"
"540003","0.09375","0.09375","0.09375"
"540015","0.28125","0.28125","0.28125"
"540019","0.125","0.125","0.125"
"540024","0.28125","0.28125","0.28125"
"540025","0.15625","0.15625","0.15625"
"540038","0.25","0.25","0.25"
"550005","0.21875","0.21875","0.21875"
"550009","0.125","0.125","0.125"
"550015","0.21875","0.21875","0.21875"
"550026","0.1875","0.1875","0.1875"
"550062","0.1875","0.1875","0.1875"
"550065","0.1875","0.1875","0.1875"
"560019","0.0625","0.0625","0.0625"
"560026","0.21875","0.21875","0.21875"
"560032","0.1875","0.1875","0.1875"
"560041","0.1875","0.1875","0.1875"
"560060","0.03125","0.03125","0.03125"
"560063","0.125","0.125","0.125"
"570008","0.15625","0.125","0.1875"
"570025","0.09375","0.09375","0.09375"
"570030","0.21875","0.21875","0.21875"
"570042","0.15625","0.15625","0.15625"
"570052","0.15625","0.15625","0.15625"
"580001","0.15625","0.15625","0.15625"
"580005","0.21875","0.21875","0.21875"
"580017","0.25","0.25","0.25"
"580026","0.125","0.125","0.125"
"580029","0.125","0.125","0.125"
"580044","0.15625","0.15625","0.15625"
"590015","0.125","0.125","0.125"
"590030","0.25","0.25","0.25"
"590036","0.09375","0.09375","0.09375"
"590040","0.15625","0.15625","0.15625"
"590048","0.03125","0.03125","0.03125"
"590054","0.125","0.125","0.125"
"600003","0.21875","0.21875","0.21875"
"600007","0.09375","0.09375","0.09375"
"600012","0.1875","0.1875","0.1875"
"600037","0.15625","0.15625","0.15625"
"600055","0.1875","0.1875","0.1875"
"600056","0.15625","0.15625","0.15625"
"610009","0.0625","0.0625","0.0625"
"610012","0.09375","0.09375","0.09375"
"610020","0.25","0.25","0.25"
"610054","0.25","0.25","0.25"
"610060","0.21875","0.21875","0.21875"
"610085","0.28125","0.28125","0.28125"
"620009","0.1875","0.1875","0.1875"
"620014","0.0625","0.0625","0.0625"
"620022","0.09375","0.09375","0.09375"
"620027","0.21875","0.21875","0.21875"
"620036","0.34375","0.34375","0.34375"
"620046","0.25","0.25","0.25"
"630002","0.03125","0.03125","0.03125"
"630007","0.3125","0.3125","0.3125"
"630019","0.1875","0.1875","0.1875"
"630029","0.15625","0.15625","0.15625"
"630047","0.09375","0.09375","0.09375"
"630064","0.15625","0.15625","0.15625"
"640001","0.09375","0.09375","0.09375"
"640002","0.09375","0.09375","0.09375"
"640006","0.1875","0.1875","0.1875"
"640022","0.15625","0.15625","0.15625"
"640033","0.125","0.125","0.125"
"640037","0.25","0.25","0.25"
"650017","0.3125","0.3125","0.3125"
"650033","0.15625","0.15625","0.15625"
"650039","0.15625","0.15625","0.15625"
"650044","0.125","0.125","0.125"
"650053","0.15625","0.15625","0.15625"
"650055","0.15625","0.15625","0.15625"
"660006","0.25","0.25","0.25"
"660018","0.21875","0.21875","0.21875"
"660020","0.28125","0.28125","0.28125"
"660021","0.15625","0.15625","0.15625"
"660034","0.15625","0.15625","0.15625"
"660053","0.25","0.25","0.25"
"670003","0.21875","0.21875","0.21875"
"670006","0.21875","0.21875","0.21875"
"670015","0.15625","0.15625","0.15625"
"670016","0.15625","0.15625","0.15625"
"670037","0.09375","0.09375","0.09375"
"670045","0.21875","0.21875","0.21875"
"680001","0.125","0.125","0.125"
"680011","0.1875","0.1875","0.1875"
"680036","0.140625","0.125","0.15625"
"680044","0.09375","0.09375","0.09375"
"680072","0.09375","0.09375","0.09375"
"690003","0.25","0.25","0.25"
"690006","0.21875","0.21875","0.21875"
"690013","0.1875","0.1875","0.1875"
"690016","0.25","0.25","0.25"
"690036","0.125","0.125","0.125"
"690043","0.21875","0.21875","0.21875"
"700008","0.34375","0.34375","0.34375"
"700028","0.0625","0.0625","0.0625"
"700030","0.21875","0.21875","0.21875"
"700043","0.125","0.125","0.125"
"700069","0.0625","0.0625","0.0625"
"700085","0.34375","0.34375","0.34375"
"710001","0.15625","0.15625","0.15625"
"710010","0.15625","0.15625","0.15625"
"710027","0.15625","0.15625","0.15625"
"710046","0.09375","0.09375","0.09375"
"710052","0.125","0.125","0.125"
"710055","0.1875","0.1875","0.1875"
"720018","0.21875","0.21875","0.21875"
"720030","0.25","0.25","0.25"
"720031","0.15625","0.15625","0.15625"
"720032","0.15625","0.15625","0.15625"
"720060","0.3125","0.3125","0.3125"
"720065","0.125","0.125","0.125"
"730023","0.375","0.375","0.375"
"730033","0.09375","0.09375","0.09375"
"730043","0.125","0.125","0.125"
"730047","0.0625","0.0625","0.0625"
"730054","0.15625","0.15625","0.15625"
"730062","0.25","0.25","0.25"
"740008","0.15625","0.15625","0.15625"
"740009","0.21875","0.21875","0.21875"
"740013","0.1875","0.1875","0.1875"
"740025","0.125","0.125","0.125"
"740034","0.1875","0.1875","0.1875"
"740041","0.25","0.25","0.25"
"750012","0.171875","0.09375","0.25"
"750025","0.15625","0.15625","0.15625"
"750030","0.125","0.125","0.125"
"750032","0.15625","0.15625","0.15625"
"750040","0.25","0.25","0.25"
"760004","0.1875","0.1875","0.1875"
"760022","0.25","0.21875","0.28125"
"760039","0.25","0.25","0.25"
"760045","0.21875","0.21875","0.21875"
"760069","0.34375","0.34375","0.34375"
"770005","0.25","0.25","0.25"
"770018","0.3125","0.3125","0.3125"
"770019","0.40625","0.40625","0.40625"
"770024","0.1875","0.1875","0.1875"
"770029","0.09375","0.09375","0.09375"
"770055","0.25","0.25","0.25"
"780005","0.25","0.25","0.25"
"780019","0.15625","0.15625","0.15625"
"780046","0.15625","0.15625","0.15625"
"780048","0.1875","0.1875","0.1875"
"780061","0.40625","0.40625","0.40625"
"780073","0.25","0.25","0.25"
"790002","0.125","0.125","0.125"
"790006","0.15625","0.15625","0.15625"
"790016","0.1875","0.1875","0.1875"
"790042","0.28125","0.28125","0.28125"
"790043","0.25","0.25","0.25"
"790059","0.1875","0.1875","0.1875"
"800002","0.25","0.25","0.25"
"800008","0.15625","0.15625","0.15625"
"800031","0.25","0.25","0.25"
"800034","0.25","0.25","0.25"
"800037","0.125","0.125","0.125"
"800038","0.21875","0.21875","0.21875"
"810005","0.28125","0.28125","0.28125"
"810011","0.09375","0.09375","0.09375"
"810023","0.25","0.25","0.25"
"810027","0.15625","0.15625","0.15625"
"810028","0.34375","0.34375","0.34375"
"810050","0.15625","0.15625","0.15625"
"820027","0.25","0.25","0.25"
"820029","0.265625","0.15625","0.375"
"820032","0.25","0.25","0.25"
"820049","0.1875","0.1875","0.1875"
"820092","0.1875","0.1875","0.1875"
"830003","0.03125","0.03125","0.03125"
"830011","0.140625","0.125","0.15625"
"830014","0.09375","0.09375","0.09375"
"830071","0.125","0.125","0.125"
"830076","0.21875","0.21875","0.21875"
"840006","0.125","0.125","0.125"
"840023","0.25","0.25","0.25"
"840039","0.125","0.125","0.125"
"840040","0.21875","0.21875","0.21875"
"840043","0.1875","0.1875","0.1875"
"840052","0.15625","0.15625","0.15625"
"850018","0.125","0.125","0.125"
"850023","0.21875","0.21875","0.21875"
"850030","0.28125","0.28125","0.28125"
"850042","0.09375","0.09375","0.09375"
"850052","0.09375","0.09375","0.09375"
"850054","0.21875","0.21875","0.21875"
"860011","0.34375","0.34375","0.34375"
"860016","0.21875","0.21875","0.21875"
"860020","0.25","0.25","0.25"
"860028","0.21875","0.21875","0.21875"
"860031","0.09375","0.09375","0.09375"
"860045","0.40625","0.40625","0.40625"
"870016","0.15625","0.15625","0.15625"
"870033","0.21875","0.21875","0.21875"
"870035","0.28125","0.28125","0.28125"
"870053","0.21875","0.21875","0.21875"
"870060","0.1875","0.1875","0.1875"
"870102","0.25","0.25","0.25"
"880002","0.09375","0.09375","0.09375"
"880003","0.25","0.25","0.25"
"880005","0.40625","0.40625","0.40625"
