"Step","Group: zerg_5_vs_5_ACORM - win_rate","Group: zerg_5_vs_5_ACORM - win_rate__MIN","Group: zerg_5_vs_5_ACORM - win_rate__MAX"
"0","0.010416666666666666","0","0.03125"
"10600","0","0","0"
"10601","0.03125","0.03125","0.03125"
"10604","0","0","0"
"10607","0.03125","0.03125","0.03125"
"10620","0.03125","0","0.0625"
"20602","0.03125","0.03125","0.03125"
"20604","0.0625","0.0625","0.0625"
"20605","0","0","0"
"20616","0.0625","0.0625","0.0625"
"20624","0.09375","0.09375","0.09375"
"20626","0.09375","0.09375","0.09375"
"30621","0.125","0.125","0.125"
"30624","0.109375","0.0625","0.15625"
"30625","0.015625","0","0.03125"
"30628","0","0","0"
"40601","0.0625","0.0625","0.0625"
"40605","0.125","0.125","0.125"
"40608","0.03125","0.03125","0.03125"
"40616","0.09375","0.09375","0.09375"
"40618","0.03125","0.03125","0.03125"
"40620","0","0","0"
"50603","0.03125","0.03125","0.03125"
"50609","0","0","0"
"50614","0","0","0"
"50617","0.046875","0.03125","0.0625"
"50628","0.03125","0.03125","0.03125"
"60600","0","0","0"
"60615","0.125","0.125","0.125"
"60616","0.125","0.125","0.125"
"60621","0.03125","0.03125","0.03125"
"60623","0","0","0"
"60641","0.0625","0.0625","0.0625"
"70600","0.09375","0.0625","0.125"
"70615","0.03125","0.03125","0.03125"
"70633","0.0625","0.0625","0.0625"
"70644","0.125","0.125","0.125"
"80600","0.0625","0.0625","0.0625"
"80609","0.0625","0.0625","0.0625"
"80610","0.03125","0.03125","0.03125"
"80621","0.03125","0.03125","0.03125"
"80622","0.09375","0.09375","0.09375"
"80640","0.15625","0.15625","0.15625"
"90600","0.0625","0.0625","0.0625"
"90601","0.03125","0.03125","0.03125"
"90603","0.03125","0.03125","0.03125"
"90609","0","0","0"
"90612","0.125","0.125","0.125"
"90613","0","0","0"
"100600","0.03125","0.03125","0.03125"
"100606","0.03125","0.03125","0.03125"
"100615","0.03125","0.03125","0.03125"
"100636","0.15625","0.15625","0.15625"
"100643","0.125","0.125","0.125"
"100658","0.0625","0.0625","0.0625"
"110600","0","0","0"
"110607","0","0","0"
"110611","0.125","0.125","0.125"
"110613","0.03125","0.03125","0.03125"
"110625","0.0625","0.0625","0.0625"
"110630","0.125","0.125","0.125"
"120600","0","0","0"
"120610","0.03125","0.03125","0.03125"
"120612","0.0625","0.0625","0.0625"
"120615","0.0625","0.0625","0.0625"
"120616","0.09375","0.09375","0.09375"
"120623","0.125","0.125","0.125"
"130602","0.03125","0.03125","0.03125"
"130603","0.0625","0.0625","0.0625"
"130611","0.09375","0.09375","0.09375"
"130616","0.0625","0.0625","0.0625"
"130623","0.0625","0.0625","0.0625"
"130634","0","0","0"
"140604","0.125","0.125","0.125"
"140615","0.125","0.125","0.125"
"140617","0.09375","0.09375","0.09375"
"140624","0.125","0.125","0.125"
"140627","0.15625","0.15625","0.15625"
"140633","0.0625","0.0625","0.0625"
"150604","0.03125","0.03125","0.03125"
"150609","0.09375","0.09375","0.09375"
"150610","0.125","0.125","0.125"
"150612","0.0625","0.0625","0.0625"
"150619","0.125","0.125","0.125"
"150635","0.0625","0.0625","0.0625"
"160601","0.1875","0.1875","0.1875"
"160602","0.0625","0.0625","0.0625"
"160603","0.0625","0.0625","0.0625"
"160612","0.09375","0.09375","0.09375"
"160640","0.15625","0.15625","0.15625"
"160646","0.0625","0.0625","0.0625"
"170603","0.125","0.125","0.125"
"170605","0.0625","0.0625","0.0625"
"170607","0.03125","0.03125","0.03125"
"170611","0.0625","0.0625","0.0625"
"170613","0.125","0.125","0.125"
"170614","0.125","0.125","0.125"
"180602","0.1875","0.1875","0.1875"
"180608","0.09375","0.09375","0.09375"
"180611","0.125","0.125","0.125"
"180623","0.125","0.125","0.125"
"180625","0.15625","0.15625","0.15625"
"180627","0.03125","0.03125","0.03125"
"190611","0.078125","0.0625","0.09375"
"190614","0.125","0.125","0.125"
"190615","0.15625","0.15625","0.15625"
"190624","0.09375","0.09375","0.09375"
"190640","0.125","0.125","0.125"
"200600","0.109375","0.0625","0.15625"
"200611","0.09375","0.0625","0.125"
"200615","0.09375","0.09375","0.09375"
"200620","0.125","0.125","0.125"
"210600","0.09375","0.09375","0.09375"
"210603","0.1875","0.1875","0.1875"
"210608","0.15625","0.15625","0.15625"
"210615","0.0625","0.0625","0.0625"
"210627","0.15625","0.09375","0.21875"
"220601","0.1875","0.1875","0.1875"
"220613","0.125","0.125","0.125"
"220620","0.15625","0.15625","0.15625"
"220621","0.1875","0.1875","0.1875"
"220622","0.15625","0.15625","0.15625"
"220629","0.25","0.25","0.25"
"230600","0.125","0.09375","0.15625"
"230609","0.15625","0.15625","0.15625"
"230610","0.125","0.125","0.125"
"230615","0.09375","0.09375","0.09375"
"230623","0.09375","0.09375","0.09375"
"240605","0.0625","0.0625","0.0625"
"240606","0.09375","0.09375","0.09375"
"240611","0.1875","0.1875","0.1875"
"240614","0.09375","0.09375","0.09375"
"240625","0.0625","0.0625","0.0625"
"240637","0.1875","0.1875","0.1875"
"250602","0.1875","0.1875","0.1875"
"250611","0.125","0.125","0.125"
"250630","0.15625","0.15625","0.15625"
"250633","0.09375","0.09375","0.09375"
"250643","0.03125","0.03125","0.03125"
"250646","0.09375","0.09375","0.09375"
"260601","0.21875","0.21875","0.21875"
"260607","0.125","0.125","0.125"
"260613","0.125","0.125","0.125"
"260614","0.125","0.125","0.125"
"260615","0.09375","0.09375","0.09375"
"260618","0.15625","0.15625","0.15625"
"270617","0.1875","0.1875","0.1875"
"270624","0.1875","0.1875","0.1875"
"270625","0.15625","0.15625","0.15625"
"270626","0.0625","0.0625","0.0625"
"270633","0.125","0.125","0.125"
"270653","0.3125","0.3125","0.3125"
"280601","0.1875","0.1875","0.1875"
"280614","0.1875","0.1875","0.1875"
"280615","0.15625","0.0625","0.25"
"280617","0.09375","0.09375","0.09375"
"280619","0.15625","0.15625","0.15625"
"290603","0.09375","0.09375","0.09375"
"290607","0.25","0.25","0.25"
"290608","0.203125","0.15625","0.25"
"290627","0.0625","0.0625","0.0625"
"290631","0.09375","0.09375","0.09375"
"300601","0.25","0.25","0.25"
"300604","0.0625","0.0625","0.0625"
"300616","0.21875","0.21875","0.21875"
"300619","0.203125","0.03125","0.375"
"300623","0.125","0.125","0.125"
"310607","0.25","0.25","0.25"
