"Step","Group: zerg_5_vs_5_ACORM_WM - win_rate","Group: zerg_5_vs_5_ACORM_WM - win_rate__MIN","Group: zerg_5_vs_5_ACORM_WM - win_rate__MAX"
"0","0.025","0","0.0625"
"10602","0.03125","0.03125","0.03125"
"10604","0","0","0"
"10608","0.0625","0.0625","0.0625"
"10609","0","0","0"
"10612","0.125","0.125","0.125"
"20602","0.0625","0.0625","0.0625"
"20606","0.046875","0.03125","0.0625"
"20613","0.03125","0.03125","0.03125"
"20636","0","0","0"
"30604","0.0625","0.0625","0.0625"
"30612","0","0","0"
"30615","0.03125","0.03125","0.03125"
"30625","0.0625","0.0625","0.0625"
"30632","0.03125","0.03125","0.03125"
"40616","0.09375","0.09375","0.09375"
"40629","0.15625","0.15625","0.15625"
"40633","0.046875","0.03125","0.0625"
"40636","0.0625","0.0625","0.0625"
"50604","0.109375","0","0.21875"
"50605","0.09375","0.09375","0.09375"
"50614","0.03125","0.03125","0.03125"
"50628","0.03125","0.03125","0.03125"
"60611","0.0625","0.0625","0.0625"
"60616","0.0625","0.0625","0.0625"
"60624","0.0625","0.0625","0.0625"
"60633","0","0","0"
"60634","0.0625","0.0625","0.0625"
"70601","0.0625","0.0625","0.0625"
"70609","0.03125","0","0.0625"
"70629","0.09375","0.09375","0.09375"
"70631","0.0625","0.0625","0.0625"
"80606","0.125","0.125","0.125"
"80614","0.0625","0.0625","0.0625"
"80615","0.03125","0.03125","0.03125"
"80618","0.09375","0.09375","0.09375"
"80625","0.09375","0.09375","0.09375"
"90600","0.03125","0.03125","0.03125"
"90609","0.078125","0.03125","0.125"
"90618","0.03125","0.03125","0.03125"
"90620","0.0625","0.0625","0.0625"
"100611","0.03125","0.03125","0.03125"
"100616","0.09375","0.09375","0.09375"
"100620","0.15625","0.15625","0.15625"
"100631","0.125","0.125","0.125"
"100634","0.0625","0.0625","0.0625"
"110600","0.125","0.125","0.125"
"110601","0.21875","0.21875","0.21875"
"110605","0.03125","0.03125","0.03125"
"110621","0","0","0"
"110656","0.0625","0.0625","0.0625"
"120600","0.0625","0.0625","0.0625"
"120615","0.0625","0.0625","0.0625"
"120616","0.15625","0.15625","0.15625"
"120621","0.0625","0.0625","0.0625"
"120622","0.03125","0.03125","0.03125"
"130602","0.03125","0.03125","0.03125"
"130603","0.15625","0.15625","0.15625"
"130605","0.03125","0.03125","0.03125"
"130616","0.09375","0.09375","0.09375"
"130632","0.0625","0.0625","0.0625"
"140600","0.15625","0.15625","0.15625"
"140607","0.03125","0.03125","0.03125"
"140612","0.21875","0.21875","0.21875"
"140618","0.1875","0.1875","0.1875"
"140637","0.03125","0.03125","0.03125"
"150608","0.09375","0.09375","0.09375"
"150611","0.09375","0.09375","0.09375"
"150615","0.0625","0.0625","0.0625"
"150619","0.03125","0.03125","0.03125"
"150623","0.15625","0.15625","0.15625"
"160606","0.25","0.25","0.25"
"160615","0.03125","0.03125","0.03125"
"160621","0.0625","0.0625","0.0625"
"160628","0.21875","0.21875","0.21875"
"160631","0.09375","0.09375","0.09375"
"170600","0.125","0.125","0.125"
"170601","0","0","0"
"170614","0.03125","0.03125","0.03125"
"170628","0.109375","0.0625","0.15625"
"180600","0.15625","0.15625","0.15625"
"180604","0.09375","0.09375","0.09375"
"180607","0.09375","0.09375","0.09375"
"180619","0.28125","0.28125","0.28125"
"180628","0.09375","0.09375","0.09375"
"190602","0.09375","0.09375","0.09375"
"190606","0.125","0.125","0.125"
"190618","0.1875","0.1875","0.1875"
"190625","0.1875","0.1875","0.1875"
"190630","0.09375","0.09375","0.09375"
"200607","0.15625","0.15625","0.15625"
"200609","0.34375","0.34375","0.34375"
"200617","0.28125","0.28125","0.28125"
"200621","0.125","0.125","0.125"
"200623","0.1875","0.1875","0.1875"
"210610","0.125","0.125","0.125"
"210617","0.25","0.25","0.25"
"210619","0.203125","0.09375","0.3125"
"210625","0.1875","0.1875","0.1875"
"220610","0.25","0.25","0.25"
"220614","0.125","0.125","0.125"
"220625","0.09375","0.09375","0.09375"
"220632","0.15625","0.15625","0.15625"
"220636","0.15625","0.15625","0.15625"
"230600","0.15625","0.15625","0.15625"
"230611","0.21875","0.21875","0.21875"
"230620","0.125","0.09375","0.15625"
"230621","0.34375","0.34375","0.34375"
"240610","0.0625","0.0625","0.0625"
"240612","0.21875","0.21875","0.21875"
"240614","0.28125","0.28125","0.28125"
"240622","0.0625","0.0625","0.0625"
"240627","0.125","0.125","0.125"
"250602","0.125","0.125","0.125"
"250607","0.1875","0.1875","0.1875"
"250608","0.1875","0.1875","0.1875"
"250609","0.1875","0.1875","0.1875"
"250638","0.15625","0.15625","0.15625"
"260605","0.28125","0.28125","0.28125"
"260611","0.375","0.375","0.375"
"260622","0.125","0.125","0.125"
"260629","0.25","0.25","0.25"
"260635","0.25","0.25","0.25"
"270601","0.25","0.25","0.25"
"270609","0.15625","0.15625","0.15625"
"270620","0.28125","0.28125","0.28125"
"270628","0.1875","0.1875","0.1875"
"270631","0.34375","0.34375","0.34375"
"280604","0.34375","0.34375","0.34375"
"280606","0.1875","0.1875","0.1875"
"280615","0.21875","0.21875","0.21875"
"280621","0.09375","0.09375","0.09375"
"280624","0.1875","0.1875","0.1875"
"290617","0.1875","0.1875","0.1875"
"290626","0.375","0.375","0.375"
"290629","0.28125","0.28125","0.28125"
"290636","0.3125","0.3125","0.3125"
"290639","0.25","0.25","0.25"
"300608","0.34375","0.34375","0.34375"
"300615","0.09375","0.09375","0.09375"
"300622","0.28125","0.28125","0.28125"
"300624","0.375","0.375","0.375"
"300636","0.25","0.25","0.25"
"310607","0.09375","0.09375","0.09375"
"310615","0.20833333333333334","0.125","0.3125"
"310627","0.1875","0.1875","0.1875"
"320609","0.28125","0.28125","0.28125"
"320610","0.3125","0.3125","0.3125"
"320611","0.28125","0.28125","0.28125"
"320614","0.15625","0.15625","0.15625"
"320641","0.3125","0.3125","0.3125"
"330608","0.3125","0.3125","0.3125"
"330610","0.15625","0.15625","0.15625"
"330611","0.34375","0.34375","0.34375"
"330633","0.34375","0.34375","0.34375"
"330635","0.21875","0.21875","0.21875"
"340602","0.1875","0.1875","0.1875"
"340603","0.3125","0.3125","0.3125"
"340619","0.46875","0.46875","0.46875"
"340633","0.40625","0.40625","0.40625"
"340637","0.25","0.25","0.25"
"350609","0.3125","0.3125","0.3125"
"350617","0.21875","0.21875","0.21875"
"350620","0.4375","0.4375","0.4375"
"350626","0.15625","0.15625","0.15625"
"350632","0.3125","0.3125","0.3125"
"360600","0.15625","0.15625","0.15625"
"360604","0.3125","0.3125","0.3125"
"360606","0.28125","0.28125","0.28125"
"360618","0.21875","0.21875","0.21875"
"360626","0.21875","0.21875","0.21875"
"370600","0.28125","0.28125","0.28125"
"370628","0.1875","0.1875","0.1875"
"370629","0.34375","0.34375","0.34375"
"370641","0.40625","0.40625","0.40625"
"370646","0.375","0.375","0.375"
"380605","0.234375","0.15625","0.3125"
"380610","0.3125","0.3125","0.3125"
"380628","0.34375","0.34375","0.34375"
"380638","0.34375","0.34375","0.34375"
"390600","0.25","0.25","0.25"
"390604","0.28125","0.28125","0.28125"
"390616","0.3125","0.3125","0.3125"
"390625","0.28125","0.28125","0.28125"
"390628","0.28125","0.28125","0.28125"
"400608","0.3125","0.3125","0.3125"
"400616","0.1875","0.1875","0.1875"
"400617","0.375","0.375","0.375"
"400621","0.25","0.25","0.25"
"400631","0.25","0.25","0.25"
"410602","0.359375","0.28125","0.4375"
"410606","0.375","0.375","0.375"
"410618","0.5","0.5","0.5"
"410620","0.28125","0.28125","0.28125"
"420608","0.4375","0.4375","0.4375"
"420617","0.375","0.375","0.375"
"420623","0.21875","0.21875","0.21875"
"420627","0.28125","0.28125","0.28125"
"420632","0.3125","0.3125","0.3125"
"430608","0.53125","0.53125","0.53125"
"430613","0.40625","0.40625","0.40625"
"430618","0.28125","0.28125","0.28125"
"430623","0.34375","0.34375","0.34375"
"430628","0.3125","0.3125","0.3125"
"440604","0.4375","0.4375","0.4375"
"440605","0.375","0.375","0.375"
"440611","0.1875","0.1875","0.1875"
"440617","0.25","0.25","0.25"
"440636","0.3125","0.3125","0.3125"
"450612","0.34375","0.34375","0.34375"
"450614","0.34375","0.34375","0.34375"
"450617","0.25","0.25","0.25"
"450620","0.40625","0.40625","0.40625"
"450631","0.5","0.5","0.5"
"460605","0.4375","0.4375","0.4375"
"460619","0.46875","0.46875","0.46875"
"460621","0.40625","0.40625","0.40625"
"460625","0.28125","0.28125","0.28125"
"460626","0.3125","0.3125","0.3125"
"470611","0.375","0.375","0.375"
"470613","0.28125","0.28125","0.28125"
"470615","0.53125","0.53125","0.53125"
"470621","0.28125","0.28125","0.28125"
"470627","0.3125","0.3125","0.3125"
"480620","0.5","0.5","0.5"
"480623","0.328125","0.28125","0.375"
"480628","0.25","0.25","0.25"
"480639","0.53125","0.53125","0.53125"
"490607","0.375","0.375","0.375"
"490609","0.25","0.25","0.25"
"490615","0.375","0.375","0.375"
"490617","0.34375","0.34375","0.34375"
"490618","0.3125","0.3125","0.3125"
"500603","0.40625","0.40625","0.40625"
"500608","0.3125","0.25","0.375"
"500618","0.4375","0.4375","0.4375"
"500621","0.21875","0.21875","0.21875"
"510600","0.15625","0.15625","0.15625"
"510602","0.28125","0.28125","0.28125"
"510616","0.28125","0.28125","0.28125"
"510619","0.3125","0.3125","0.3125"
"510626","0.1875","0.1875","0.1875"
"520610","0.4375","0.34375","0.53125"
"520613","0.34375","0.34375","0.34375"
"520620","0.375","0.375","0.375"
"520621","0.28125","0.28125","0.28125"
"530603","0.40625","0.40625","0.40625"
"530608","0.4375","0.4375","0.4375"
"530613","0.40625","0.40625","0.40625"
"530619","0.46875","0.46875","0.46875"
"530627","0.34375","0.34375","0.34375"
"540617","0.25","0.25","0.25"
"540619","0.46875","0.46875","0.46875"
"540620","0.40625","0.40625","0.40625"
"540624","0.34375","0.34375","0.34375"
"540625","0.3125","0.3125","0.3125"
"550605","0.34375","0.34375","0.34375"
"550609","0.3125","0.3125","0.3125"
"550611","0.375","0.375","0.375"
"550630","0.328125","0.28125","0.375"
"560602","0.28125","0.28125","0.28125"
"560613","0.40625","0.40625","0.40625"
"560618","0.375","0.375","0.375"
"560619","0.28125","0.28125","0.28125"
"560639","0.3125","0.3125","0.3125"
"570604","0.375","0.375","0.375"
"570622","0.4375","0.4375","0.4375"
"570623","0.46875","0.46875","0.46875"
"570627","0.46875","0.46875","0.46875"
"570646","0.40625","0.40625","0.40625"
"580603","0.4375","0.4375","0.4375"
"580606","0.40625","0.40625","0.40625"
"580616","0.46875","0.46875","0.46875"
"580621","0.40625","0.40625","0.40625"
"580630","0.40625","0.40625","0.40625"
"590602","0.4375","0.4375","0.4375"
"590612","0.375","0.375","0.375"
"590613","0.375","0.375","0.375"
"590621","0.4375","0.4375","0.4375"
"590626","0.375","0.375","0.375"
"600606","0.3125","0.3125","0.3125"
"600610","0.46875","0.46875","0.46875"
"600619","0.28125","0.28125","0.28125"
"600623","0.34375","0.34375","0.34375"
"600629","0.34375","0.34375","0.34375"
"610607","0.40625","0.40625","0.40625"
"610609","0.5","0.5","0.5"
"610614","0.28125","0.25","0.3125"
"610623","0.5","0.5","0.5"
"620602","0.46875","0.46875","0.46875"
"620619","0.53125","0.53125","0.53125"
"620624","0.359375","0.3125","0.40625"
"620632","0.53125","0.53125","0.53125"
"630619","0.625","0.625","0.625"
"630622","0.28125","0.28125","0.28125"
"630624","0.46875","0.46875","0.46875"
"630625","0.3125","0.3125","0.3125"
"630626","0.375","0.375","0.375"
"640609","0.53125","0.53125","0.53125"
"640611","0.3125","0.3125","0.3125"
"640617","0.40625","0.40625","0.40625"
"640621","0.40625","0.40625","0.40625"
"640633","0.46875","0.46875","0.46875"
"650610","0.46875","0.46875","0.46875"
"650611","0.15625","0.15625","0.15625"
"650624","0.59375","0.59375","0.59375"
"650632","0.34375","0.34375","0.34375"
"650639","0.4375","0.4375","0.4375"
"660601","0.375","0.375","0.375"
"660603","0.5","0.5","0.5"
"660608","0.40625","0.40625","0.40625"
"660613","0.53125","0.53125","0.53125"
"660621","0.5","0.5","0.5"
"670602","0.40625","0.40625","0.40625"
"670608","0.375","0.25","0.5"
"670618","0.3125","0.3125","0.3125"
"670631","0.40625","0.40625","0.40625"
"680601","0.25","0.25","0.25"
"680606","0.40625","0.40625","0.40625"
"680613","0.40625","0.40625","0.40625"
"680622","0.4375","0.4375","0.4375"
"680627","0.4375","0.4375","0.4375"
"690601","0.5625","0.5625","0.5625"
"690606","0.34375","0.34375","0.34375"
"690607","0.34375","0.34375","0.34375"
"690611","0.375","0.375","0.375"
"690626","0.5","0.5","0.5"
"700602","0.46875","0.46875","0.46875"
"700609","0.40625","0.40625","0.40625"
"700611","0.46875","0.46875","0.46875"
"700624","0.375","0.375","0.375"
"700625","0.46875","0.46875","0.46875"
"710602","0.53125","0.53125","0.53125"
"710604","0.5625","0.5625","0.5625"
"710607","0.5","0.5","0.5"
"710621","0.46875","0.46875","0.46875"
"710632","0.40625","0.40625","0.40625"
"720609","0.4375","0.4375","0.4375"
"720611","0.53125","0.53125","0.53125"
"720616","0.28125","0.28125","0.28125"
"720633","0.34375","0.34375","0.34375"
"720649","0.375","0.375","0.375"
"730601","0.40625","0.40625","0.40625"
"730607","0.375","0.375","0.375"
"730610","0.375","0.375","0.375"
"730614","0.40625","0.40625","0.40625"
"730622","0.40625","0.40625","0.40625"
"740603","0.4375","0.4375","0.4375"
"740605","0.453125","0.40625","0.5"
"740615","0.34375","0.34375","0.34375"
"740646","0.53125","0.53125","0.53125"
"750604","0.375","0.28125","0.46875"
"750608","0.25","0.25","0.25"
"750622","0.40625","0.40625","0.40625"
"750624","0.25","0.25","0.25"
"760604","0.53125","0.53125","0.53125"
"760606","0.484375","0.34375","0.625"
"760607","0.34375","0.34375","0.34375"
"760612","0.4375","0.4375","0.4375"
"770602","0.59375","0.59375","0.59375"
"770612","0.4375","0.4375","0.4375"
"770615","0.359375","0.34375","0.375"
"770626","0.34375","0.34375","0.34375"
"780611","0.3125","0.28125","0.34375"
"780615","0.59375","0.59375","0.59375"
"780630","0.375","0.375","0.375"
"780635","0.4375","0.4375","0.4375"
"790619","0.5625","0.5625","0.5625"
"790623","0.375","0.375","0.375"
"790627","0.375","0.375","0.375"
"790631","0.4375","0.4375","0.4375"
"790636","0.3125","0.3125","0.3125"
"800608","0.46875","0.46875","0.46875"
"800609","0.484375","0.375","0.59375"
"800614","0.40625","0.40625","0.40625"
"800649","0.3125","0.3125","0.3125"
"810602","0.40625","0.40625","0.40625"
"810608","0.625","0.625","0.625"
"810609","0.34375","0.34375","0.34375"
"810612","0.5","0.5","0.5"
"810622","0.25","0.25","0.25"
"820600","0.46875","0.46875","0.46875"
"820604","0.46875","0.46875","0.46875"
"820605","0.34375","0.34375","0.34375"
"820615","0.375","0.375","0.375"
"820621","0.375","0.375","0.375"
"830607","0.40625","0.40625","0.40625"
"830614","0.40625","0.40625","0.40625"
"830622","0.34375","0.28125","0.40625"
"830624","0.71875","0.71875","0.71875"
"840600","0.34375","0.34375","0.34375"
"840608","0.25","0.25","0.25"
"840610","0.4375","0.4375","0.4375"
"840632","0.40625","0.40625","0.40625"
"840633","0.34375","0.34375","0.34375"
"850601","0.46875","0.46875","0.46875"
"850610","0.5","0.5","0.5"
"850611","0.59375","0.59375","0.59375"
"850616","0.46875","0.46875","0.46875"
"850623","0.40625","0.40625","0.40625"
"860600","0.34375","0.34375","0.34375"
"860609","0.1875","0.1875","0.1875"
"860622","0.375","0.375","0.375"
