"Step","Group: 6h_vs_8z_ACORM_WM - win_rate","Group: 6h_vs_8z_ACORM_WM - win_rate__MIN","Group: 6h_vs_8z_ACORM_WM - win_rate__MAX","Group: 6h_vs_8z_ACORM_WM_ - win_rate","Group: 6h_vs_8z_ACORM_WM_ - win_rate__MIN","Group: 6h_vs_8z_ACORM_WM_ - win_rate__MAX"
"480228","0","0","0","","",""
"480236","","","","0","0","0"
"480242","0","0","0","","",""
"480254","0","0","0","","",""
"490228","0","0","0","","",""
"490233","0","0","0","","",""
"490234","0","0","0","","",""
"490239","","","","0","0","0"
"490241","0","0","0","","",""
"500224","0","0","0","","",""
"500234","","","","0","0","0"
"500243","0","0","0","","",""
"500245","0","0","0","","",""
"510223","","","","0","0","0"
"510224","0","0","0","","",""
"510241","0","0","0","","",""
"510245","0","0","0","","",""
"510250","0","0","0","","",""
"520224","","","","0","0","0"
"520232","0","0","0","","",""
"520234","0.03125","0.03125","0.03125","","",""
"520236","0","0","0","","",""
"520257","0","0","0","","",""
"530225","0.03125","0.03125","0.03125","","",""
"530233","","","","0","0","0"
"530234","0","0","0","","",""
"530240","0","0","0","","",""
"530251","0","0","0","","",""
"540223","0","0","0","","",""
"540225","","","","0","0","0"
"540228","0","0","0","","",""
"540235","0","0","0","","",""
"540241","0","0","0","","",""
"550224","0","0","0","","",""
"550226","0","0","0","","",""
"550237","0","0","0","","",""
"550244","","","","0","0","0"
"550251","0","0","0","","",""
"560222","0","0","0","","",""
"560223","0","0","0","","",""
"560232","","","","0","0","0"
"560240","0","0","0","","",""
"560250","0","0","0","","",""
"570220","0","0","0","","",""
"570224","0","0","0","","",""
"570235","0","0","0","","",""
"570237","0","0","0","","",""
"570251","","","","0","0","0"
"580239","0","0","0","","",""
"580242","","","","0","0","0"
"580243","0","0","0","","",""
"580246","0","0","0","","",""
"580247","0","0","0","","",""
"590227","0","0","0","","",""
"590238","","","","0","0","0"
"590239","0","0","0","","",""
"590245","0","0","0","","",""
"590247","0","0","0","","",""
"600221","0","0","0","","",""
"600239","0","0","0","","",""
"600244","0","0","0","","",""
"600247","","","","0","0","0"
"600253","0","0","0","","",""
"610221","0","0","0","","",""
"610223","0","0","0","","",""
"610226","0","0","0","","",""
"610228","","","","0","0","0"
"610247","0","0","0","","",""
"620231","0","0","0","","",""
"620232","0","0","0","","",""
"620238","0","0","0","","",""
"620240","","","","0","0","0"
"620246","0","0","0","","",""
"630226","0.03125","0.03125","0.03125","","",""
"630228","","","","0","0","0"
"630230","0","0","0","","",""
"630241","0","0","0","","",""
"630250","0.03125","0.03125","0.03125","","",""
"640225","0","0","0","","",""
"640231","0","0","0","","",""
"640234","0","0","0","","",""
"640236","0.03125","0.03125","0.03125","","",""
"640243","","","","0","0","0"
"650231","0","0","0","","",""
"650234","0","0","0","","",""
"650238","0","0","0","","",""
"650240","0","0","0","","",""
"650241","","","","0","0","0"
"660227","0","0","0","","",""
"660238","0","0","0","","",""
"660241","","","","0","0","0"
"660248","0","0","0","","",""
"660253","0","0","0","","",""
"670229","0","0","0","","",""
"670232","","","","0","0","0"
"670234","0","0","0","","",""
"670248","0","0","0","","",""
