"Step","Group: 6h_vs_8z_QMIX - win_rate","Group: 6h_vs_8z_QMIX - win_rate__MIN","Group: 6h_vs_8z_QMIX - win_rate__MAX"
"540000","0","0","0"
"540008","0","0","0"
"540011","0","0","0"
"540012","0","0","0"
"540020","0","0","0"
"540025","0","0","0"
"550007","0","0","0"
"550009","0","0","0"
"550015","0","0","0"
"550016","0","0","0"
"550017","0","0","0"
"560004","0","0","0"
"560018","0","0","0"
"560019","0","0","0"
"560020","0","0","0"
"560021","0","0","0"
"570000","0","0","0"
"570012","0","0","0"
"570014","0","0","0"
"570015","0","0","0"
"570018","0","0","0"
"570020","0","0","0"
"580000","0","0","0"
"580004","0","0","0"
"580005","0","0","0"
"580011","0","0","0"
"580019","0","0","0"
"590000","0","0","0"
"590001","0","0","0"
"590005","0","0","0"
"590015","0","0","0"
"590017","0","0","0"
"590020","0","0","0"
"600003","0","0","0"
"600006","0","0","0"
"600007","0","0","0"
"600012","0","0","0"
"600013","0","0","0"
"600024","0","0","0"
"610004","0","0","0"
"610006","0","0","0"
"610014","0","0","0"
"610019","0","0","0"
"610020","0","0","0"
"610022","0","0","0"
"620011","0","0","0"
"620013","0","0","0"
"620014","0","0","0"
"620018","0","0","0"
"620021","0","0","0"
"620023","0","0","0"
"630001","0","0","0"
"630003","0","0","0"
"630010","0","0","0"
"630013","0","0","0"
"630018","0","0","0"
"630020","0","0","0"
"640000","0","0","0"
"640004","0","0","0"
"640007","0","0","0"
"640008","0","0","0"
"640018","0","0","0"
"640020","0","0","0"
"650009","0","0","0"
"650017","0","0","0"
"650021","0","0","0"
"650023","0","0","0"
"650024","0","0","0"
"660001","0","0","0"
"660005","0","0","0"
"660006","0","0","0"
"660011","0","0","0"
"660019","0","0","0"
"660022","0","0","0"
"670000","0","0","0"
"670003","0","0","0"
"670009","0","0","0"
"670013","0","0","0"
"670019","0","0","0"
"670025","0","0","0"
"680010","0","0","0"
"680012","0","0","0"
"680020","0","0","0"
"680021","0","0","0"
"680022","0","0","0"
"690006","0","0","0"
"690008","0","0","0"
"690020","0","0","0"
"690024","0","0","0"
"700002","0","0","0"
"700006","0","0","0"
