"Step","Group: MMM2_QMIX - win_rate","Group: MMM2_QMIX - win_rate__MIN","Group: MMM2_QMIX - win_rate__MAX"
"490018","0","0","0"
"490035","0","0","0"
"490052","0","0","0"
"490061","0","0","0"
"490111","0","0","0"
"500027","0.03125","0.03125","0.03125"
"500028","0","0","0"
"500060","0.03125","0.03125","0.03125"
"500088","0","0","0"
"500128","0","0","0"
"500135","0","0","0"
"510017","0","0","0"
"510021","0","0","0"
"510028","0","0","0"
"510033","0.03125","0.03125","0.03125"
"510047","0","0","0"
"510122","0","0","0"
"520016","0","0","0"
"520040","0","0","0"
"520044","0.03125","0.03125","0.03125"
"520059","0","0","0"
"520099","0","0","0"
"520105","0","0","0"
"530017","0","0","0"
"530021","0","0","0"
"530038","0","0","0"
"530047","0.03125","0.03125","0.03125"
"530055","0","0","0"
"530147","0","0","0"
"540000","0.03125","0.03125","0.03125"
"540002","0","0","0"
"540007","0","0","0"
"540015","0.03125","0.03125","0.03125"
"540032","0","0","0"
"540144","0","0","0"
"550005","0","0","0"
"550028","0","0","0"
"550033","0.03125","0.03125","0.03125"
"550036","0","0","0"
"550037","0","0","0"
"550044","0","0","0"
"560002","0","0","0"
"560019","0","0","0"
"560036","0.03125","0.03125","0.03125"
"560039","0","0","0"
"560049","0","0","0"
"560149","0","0","0"
"570015","0.03125","0.03125","0.03125"
"570030","0","0","0"
"570031","0","0","0"
"570032","0","0","0"
"570069","0","0","0"
"570099","0.03125","0.03125","0.03125"
"580004","0","0","0"
"580012","0","0","0"
"580017","0","0","0"
"580038","0.03125","0.03125","0.03125"
"580047","0","0","0"
"580147","0","0","0"
"590000","0.03125","0.03125","0.03125"
"590006","0","0","0"
"590007","0.03125","0.03125","0.03125"
"590025","0","0","0"
"590111","0.09375","0.09375","0.09375"
"590138","0","0","0"
"600001","0","0","0"
"600006","0.03125","0.03125","0.03125"
"600020","0","0","0"
"600033","0.03125","0.03125","0.03125"
"600037","0.125","0.125","0.125"
"600106","0","0","0"
"610001","0.0625","0.0625","0.0625"
"610010","0","0","0"
"610032","0","0","0"
"610033","0","0","0"
"610043","0.0625","0.0625","0.0625"
"610132","0.03125","0.03125","0.03125"
"620010","0.0625","0.0625","0.0625"
"620026","0.03125","0.03125","0.03125"
