"Step","Group: MMM2_ACORM_WM - win_rate","Group: MMM2_ACORM_WM - win_rate__MIN","Group: MMM2_ACORM_WM - win_rate__MAX"
"460227","0.375","0.375","0.375"
"460229","0.4375","0.4375","0.4375"
"460259","0.03125","0.03125","0.03125"
"460263","0.65625","0.65625","0.65625"
"470222","0.71875","0.71875","0.71875"
"470223","0.65625","0.65625","0.65625"
"470245","0.34375","0.34375","0.34375"
"470253","0.53125","0.53125","0.53125"
"470278","0.15625","0.15625","0.15625"
"480231","0.09375","0.09375","0.09375"
"480237","0.6875","0.6875","0.6875"
"480243","0.46875","0.46875","0.46875"
"480256","0.25","0.25","0.25"
"480261","0.3125","0.3125","0.3125"
"490224","0.78125","0.78125","0.78125"
"490243","0.1875","0.1875","0.1875"
"490244","0.53125","0.53125","0.53125"
"490246","0.3125","0.3125","0.3125"
"490255","0.5","0.5","0.5"
"500222","0.53125","0.53125","0.53125"
"500226","0.28125","0.28125","0.28125"
"500234","0.65625","0.65625","0.65625"
"500235","0.53125","0.53125","0.53125"
"500245","0.5625","0.5625","0.5625"
"510233","0.25","0.25","0.25"
"510234","0.6875","0.6875","0.6875"
"510246","0.28125","0.28125","0.28125"
"510250","0.59375","0.59375","0.59375"
"510253","0.53125","0.53125","0.53125"
"520230","0.71875","0.71875","0.71875"
"520243","0.59375","0.59375","0.59375"
"520244","0.40625","0.40625","0.40625"
"520253","0.53125","0.53125","0.53125"
"520259","0.59375","0.59375","0.59375"
"530224","0.375","0.375","0.375"
"530241","0.65625","0.65625","0.65625"
"530245","0.71875","0.71875","0.71875"
"530263","0.09375","0.09375","0.09375"
"530275","0.78125","0.78125","0.78125"
"540222","0.4375","0.4375","0.4375"
"540242","0.390625","0.34375","0.4375"
"540245","0.71875","0.71875","0.71875"
"540263","0.6875","0.6875","0.6875"
"550226","0.5","0.5","0.5"
"550231","0.640625","0.46875","0.8125"
"550253","0.375","0.375","0.375"
"550267","0.78125","0.78125","0.78125"
"560221","0.84375","0.84375","0.84375"
"560232","0.65625","0.65625","0.65625"
"560247","0.53125","0.53125","0.53125"
"560266","0.28125","0.28125","0.28125"
"560278","0.15625","0.15625","0.15625"
"570222","0.34375","0.34375","0.34375"
"570229","0.78125","0.78125","0.78125"
"570244","0.65625","0.65625","0.65625"
"570251","0.75","0.75","0.75"
"570285","0.59375","0.59375","0.59375"
"580241","0.8125","0.8125","0.8125"
"580243","0.4375","0.4375","0.4375"
"580247","0.40625","0.40625","0.40625"
"580254","0.59375","0.59375","0.59375"
"580299","0.84375","0.84375","0.84375"
"590225","0.65625","0.65625","0.65625"
"590239","0.6875","0.6875","0.6875"
"590256","0.875","0.875","0.875"
"590259","0.6875","0.6875","0.6875"
"590351","0.4375","0.4375","0.4375"
"600223","0.4375","0.4375","0.4375"
"600231","0.40625","0.40625","0.40625"
"600233","0.71875","0.71875","0.71875"
"600236","0.6875","0.6875","0.6875"
"600239","0.71875","0.71875","0.71875"
"610247","0.59375","0.59375","0.59375"
"610252","0.34375","0.34375","0.34375"
"610253","0.78125","0.78125","0.78125"
"610274","0.8125","0.8125","0.8125"
"610310","0.25","0.25","0.25"
"620220","0.75","0.75","0.75"
"620222","0.65625","0.65625","0.65625"
"620238","0.59375","0.59375","0.59375"
"620239","0.84375","0.84375","0.84375"
"620265","0.5625","0.5625","0.5625"
"630243","0.8125","0.8125","0.8125"
"630251","0.78125","0.78125","0.78125"
"630257","0.4375","0.4375","0.4375"
"630263","0.28125","0.28125","0.28125"
"630322","0.5","0.5","0.5"
"640226","0.53125","0.53125","0.53125"
"640227","0.9375","0.9375","0.9375"
"640235","0.84375","0.84375","0.84375"
"640242","0.5625","0.5625","0.5625"
"640263","0.6875","0.6875","0.6875"
"650223","0.65625","0.65625","0.65625"
"650259","0.8125","0.8125","0.8125"
"650262","0.90625","0.90625","0.90625"
"650271","0.6875","0.6875","0.6875"
"650308","0.375","0.375","0.375"
"660225","0.65625","0.65625","0.65625"
"660231","0.46875","0.46875","0.46875"
"660237","0.6875","0.6875","0.6875"
"660261","0.90625","0.90625","0.90625"
"660276","0.6875","0.6875","0.6875"
"670220","0.78125","0.78125","0.78125"
"670240","0.875","0.875","0.875"
"670242","0.6875","0.6875","0.6875"
"670254","0.71875","0.71875","0.71875"
"670261","0.53125","0.53125","0.53125"
"680231","0.84375","0.84375","0.84375"
"680242","0.875","0.875","0.875"
"680245","0.40625","0.40625","0.40625"
"680252","0.5625","0.5625","0.5625"
"680265","0.875","0.875","0.875"
"690245","0.8125","0.8125","0.8125"
"690247","0.8125","0.8125","0.8125"
"690249","0.625","0.625","0.625"
"690254","0.53125","0.53125","0.53125"
"690267","0.90625","0.90625","0.90625"
"700221","0.59375","0.59375","0.59375"
"700226","0.6875","0.6875","0.6875"
"700227","0.9375","0.9375","0.9375"
"700264","0.625","0.625","0.625"
"700265","0.3125","0.3125","0.3125"
"710231","0.90625","0.90625","0.90625"
"710232","0.4375","0.4375","0.4375"
"710246","0.8125","0.8125","0.8125"
"710258","0.9375","0.9375","0.9375"
"710279","0.625","0.625","0.625"
"720233","0.875","0.875","0.875"
"720237","0.375","0.375","0.375"
"720252","0.875","0.875","0.875"
"720263","0.84375","0.84375","0.84375"
"720265","0.6875","0.6875","0.6875"
"730230","0.75","0.75","0.75"
"730231","0.4375","0.4375","0.4375"
"730237","0.90625","0.90625","0.90625"
"730263","0.84375","0.84375","0.84375"
"730391","0.875","0.875","0.875"
"740231","0.84375","0.84375","0.84375"
"740249","0.78125","0.78125","0.78125"
"740264","0.875","0.875","0.875"
"740268","0.59375","0.40625","0.78125"
"750240","0.90625","0.90625","0.90625"
"750244","0.4375","0.4375","0.4375"
"750253","0.90625","0.90625","0.90625"
"750254","0.78125","0.78125","0.78125"
"750265","0.71875","0.71875","0.71875"
"760248","0.46875","0.46875","0.46875"
"760258","0.78125","0.78125","0.78125"
"760260","0.90625","0.90625","0.90625"
"760261","0.75","0.75","0.75"
"760262","0.6875","0.6875","0.6875"
"770243","0.75","0.75","0.75"
"770246","0.71875","0.71875","0.71875"
"770247","0.4375","0.4375","0.4375"
"770257","0.875","0.875","0.875"
"770264","0.8125","0.8125","0.8125"
"780220","0.6875","0.6875","0.6875"
"780232","0.875","0.875","0.875"
"780233","0.71875","0.71875","0.71875"
"780243","0.53125","0.53125","0.53125"
"780256","0.84375","0.84375","0.84375"
"790220","0.625","0.625","0.625"
"790232","0.75","0.75","0.75"
"790256","0.84375","0.84375","0.84375"
"790257","0.78125","0.78125","0.78125"
"790265","0.65625","0.65625","0.65625"
"800236","0.84375","0.84375","0.84375"
"800256","0.6875","0.6875","0.6875"
"800259","0.71875","0.71875","0.71875"
"800261","0.96875","0.96875","0.96875"
"800269","0.40625","0.40625","0.40625"
"810230","0.53125","0.53125","0.53125"
"810232","0.65625","0.65625","0.65625"
"810264","0.796875","0.78125","0.8125"
"810384","0.8125","0.8125","0.8125"
"820222","0.53125","0.53125","0.53125"
"820244","0.78125","0.78125","0.78125"
"820250","0.8125","0.8125","0.8125"
"820264","0.75","0.75","0.75"
"820276","0.75","0.75","0.75"
"830228","0.84375","0.84375","0.84375"
"830233","0.875","0.875","0.875"
"830251","0.78125","0.78125","0.78125"
"830254","0.78125","0.78125","0.78125"
"830264","0.40625","0.40625","0.40625"
"840226","0.46875","0.46875","0.46875"
"840233","0.96875","0.96875","0.96875"
"840241","0.9375","0.9375","0.9375"
"840255","0.5625","0.5625","0.5625"
"840288","0.90625","0.90625","0.90625"
"850230","0.75","0.75","0.75"
"850238","0.6875","0.6875","0.6875"
"850239","0.90625","0.90625","0.90625"
"850252","0.75","0.75","0.75"
"850256","0.5625","0.5625","0.5625"
"860235","0.90625","0.90625","0.90625"
"860236","0.40625","0.40625","0.40625"
"860251","0.8125","0.8125","0.8125"
"860264","0.78125","0.75","0.8125"
"870247","0.4375","0.4375","0.4375"
"870251","0.65625","0.65625","0.65625"
"870255","0.78125","0.78125","0.78125"
"870258","0.90625","0.90625","0.90625"
"870262","0.875","0.875","0.875"
"880225","0.8125","0.8125","0.8125"
"880226","0.90625","0.90625","0.90625"
"880230","0.5","0.5","0.5"
"880239","0.9375","0.9375","0.9375"
"880274","0.625","0.625","0.625"
"890237","0.75","0.75","0.75"
"890250","0.5","0.5","0.5"
"890254","0.78125","0.78125","0.78125"
"890261","0.90625","0.90625","0.90625"
"890272","0.875","0.875","0.875"
"900228","0.84375","0.84375","0.84375"
"900237","0.6875","0.6875","0.6875"
"900255","0.6875","0.6875","0.6875"
"900256","0.9375","0.9375","0.9375"
"900265","0.59375","0.59375","0.59375"
"910221","0.96875","0.96875","0.96875"
"910233","0.6875","0.6875","0.6875"
"910238","0.78125","0.78125","0.78125"
"910239","0.5","0.5","0.5"
"910248","0.71875","0.71875","0.71875"
"920221","0.65625","0.65625","0.65625"
"920230","0.46875","0.46875","0.46875"
"920252","0.9375","0.9375","0.9375"
"920270","0.90625","0.90625","0.90625"
"920274","0.625","0.625","0.625"
"930231","0.875","0.875","0.875"
"930237","0.75","0.59375","0.90625"
"930247","0.4375","0.4375","0.4375"
"930249","0.875","0.875","0.875"
"940222","0.84375","0.84375","0.84375"
"940224","0.46875","0.46875","0.46875"
"940228","0.96875","0.96875","0.96875"
"940240","0.8125","0.8125","0.8125"
"940246","0.75","0.75","0.75"
"950232","0.8125","0.8125","0.8125"
"950236","0.6875","0.6875","0.6875"
"950255","0.8125","0.8125","0.8125"
"950257","0.875","0.875","0.875"
"950268","0.5625","0.5625","0.5625"
"960223","0.71875","0.71875","0.71875"
"960226","0.34375","0.34375","0.34375"
"960235","0.875","0.875","0.875"
"960243","0.53125","0.53125","0.53125"
"960251","0.875","0.875","0.875"
"970226","0.84375","0.84375","0.84375"
"970234","0.84375","0.84375","0.84375"
"970260","0.671875","0.5625","0.78125"
"970277","0.875","0.875","0.875"
"980232","0.90625","0.90625","0.90625"
"980233","0.9375","0.9375","0.9375"
"980252","0.71875","0.71875","0.71875"
"980274","0.84375","0.84375","0.84375"
"980283","0.28125","0.28125","0.28125"
"990221","0.5","0.5","0.5"
"990234","0.6875","0.6875","0.6875"
"990249","0.84375","0.84375","0.84375"
"990269","0.875","0.875","0.875"
"990289","0.71875","0.71875","0.71875"
"1000223","0.90625","0.90625","0.90625"
"1000235","0.84375","0.84375","0.84375"
"1000237","0.625","0.625","0.625"
"1000246","0.84375","0.84375","0.84375"
"1000250","0.78125","0.78125","0.78125"
"1010220","0.84375","0.84375","0.84375"
"1010224","0.90625","0.90625","0.90625"
"1010257","0.5625","0.5625","0.5625"
"1010265","0.9375","0.9375","0.9375"
"1010269","0.53125","0.53125","0.53125"
"1020223","0.5625","0.5625","0.5625"
"1020246","0.859375","0.84375","0.875"
"1020248","0.84375","0.84375","0.84375"
"1020252","0.625","0.625","0.625"
"1030221","0.8125","0.8125","0.8125"
"1030226","0.8125","0.8125","0.8125"
"1030229","0.53125","0.53125","0.53125"
"1030254","0.90625","0.90625","0.90625"
"1030271","0.90625","0.90625","0.90625"
"1040231","0.96875","0.96875","0.96875"
"1040232","0.8125","0.8125","0.8125"
"1040258","0.71875","0.71875","0.71875"
"1040269","0.9375","0.9375","0.9375"
"1040275","0.46875","0.46875","0.46875"
"1050228","0.8125","0.8125","0.8125"
"1050235","0.875","0.875","0.875"
"1050254","0.90625","0.90625","0.90625"
"1050274","0.8125","0.8125","0.8125"
"1050387","0.5","0.5","0.5"
"1060232","0.875","0.875","0.875"
"1060241","0.8125","0.8125","0.8125"
"1060244","0.78125","0.78125","0.78125"
"1060247","0.625","0.625","0.625"
"1060269","0.5","0.5","0.5"
"1070222","0.59375","0.59375","0.59375"
"1070224","0.90625","0.90625","0.90625"
"1070225","0.78125","0.78125","0.78125"
"1070252","0.6875","0.6875","0.6875"
"1070268","0.8125","0.8125","0.8125"
"1080228","0.84375","0.84375","0.84375"
"1080260","0.40625","0.40625","0.40625"
"1080265","0.46875","0.46875","0.46875"
"1080269","0.78125","0.78125","0.78125"
"1080275","0.875","0.875","0.875"
"1090241","0.90625","0.90625","0.90625"
"1090250","0.78125","0.78125","0.78125"
"1090263","0.53125","0.53125","0.53125"
"1090268","0.8125","0.8125","0.8125"
"1090278","0.875","0.875","0.875"
"1100239","0.90625","0.90625","0.90625"
"1100242","0.5","0.5","0.5"
"1100263","0.78125","0.78125","0.78125"
"1100281","0.78125","0.78125","0.78125"
"1100283","0.59375","0.59375","0.59375"
"1110223","0.71875","0.71875","0.71875"
"1110229","0.71875","0.71875","0.71875"
"1110245","0.9375","0.9375","0.9375"
"1110249","0.8125","0.8125","0.8125"
"1110257","0.40625","0.40625","0.40625"
"1120220","0.90625","0.90625","0.90625"
"1120226","0.6875","0.6875","0.6875"
"1120234","0.90625","0.90625","0.90625"
"1120236","0.71875","0.71875","0.71875"
"1120252","0.5","0.5","0.5"
"1130225","0.90625","0.90625","0.90625"
"1130229","0.9375","0.9375","0.9375"
"1130239","0.6875","0.6875","0.6875"
"1130253","0.78125","0.78125","0.78125"
"1130270","0.8125","0.8125","0.8125"
"1140221","0.90625","0.90625","0.90625"
"1140231","0.78125","0.78125","0.78125"
"1140240","0.75","0.75","0.75"
"1140249","0.75","0.75","0.75"
"1140275","0.8125","0.8125","0.8125"
"1150222","0.8125","0.8125","0.8125"
"1150228","0.90625","0.90625","0.90625"
"1150235","0.46875","0.46875","0.46875"
"1150259","0.875","0.875","0.875"
"1150269","0.90625","0.90625","0.90625"
"1160221","0.71875","0.71875","0.71875"
"1160224","0.59375","0.59375","0.59375"
"1160230","0.75","0.75","0.75"
"1160237","0.875","0.875","0.875"
"1160240","0.9375","0.9375","0.9375"
"1170226","0.90625","0.90625","0.90625"
"1170231","0.6875","0.6875","0.6875"
"1170262","0.90625","0.90625","0.90625"
"1170265","0.75","0.75","0.75"
"1170273","0.84375","0.84375","0.84375"
"1180229","0.8125","0.8125","0.8125"
"1180238","0.84375","0.84375","0.84375"
"1180244","0.875","0.875","0.875"
"1180248","0.765625","0.625","0.90625"
"1190223","0.84375","0.84375","0.84375"
"1190243","0.78125","0.78125","0.78125"
"1190251","0.75","0.75","0.75"
"1190264","0.90625","0.90625","0.90625"
"1190267","0.65625","0.65625","0.65625"
"1200243","0.875","0.875","0.875"
"1200248","0.84375","0.84375","0.84375"
"1200260","0.90625","0.90625","0.90625"
"1200263","0.875","0.875","0.875"
"1200266","0.59375","0.59375","0.59375"
"1210244","0.75","0.75","0.75"
"1210246","0.71875","0.71875","0.71875"
"1210252","0.84375","0.84375","0.84375"
"1210264","0.84375","0.84375","0.84375"
"1210267","0.65625","0.65625","0.65625"
"1220221","0.8125","0.8125","0.8125"
"1220238","0.78125","0.78125","0.78125"
"1220254","0.84375","0.84375","0.84375"
"1220258","0.9375","0.9375","0.9375"
"1220259","0.90625","0.90625","0.90625"
"1230220","0.8125","0.8125","0.8125"
"1230237","0.9375","0.9375","0.9375"
"1230241","0.59375","0.59375","0.59375"
"1230256","0.9375","0.9375","0.9375"
"1230262","0.78125","0.78125","0.78125"
"1240236","0.8125","0.8125","0.8125"
"1240237","0.71875","0.71875","0.71875"
"1240248","0.625","0.625","0.625"
"1240261","0.84375","0.84375","0.84375"
"1240265","0.84375","0.84375","0.84375"
"1250228","0.84375","0.84375","0.84375"
"1250245","0.78125","0.78125","0.78125"
"1250246","0.5625","0.5625","0.5625"
"1250268","0.921875","0.875","0.96875"
"1260240","0.90625","0.90625","0.90625"
"1260244","0.53125","0.53125","0.53125"
"1260253","0.75","0.75","0.75"
"1260256","0.9375","0.9375","0.9375"
"1260263","0.9375","0.9375","0.9375"
"1270231","0.5","0.5","0.5"
"1270245","0.78125","0.78125","0.78125"
"1270247","0.78125","0.78125","0.78125"
"1270262","0.9375","0.9375","0.9375"
"1270274","0.9375","0.9375","0.9375"
"1280238","0.84375","0.84375","0.84375"
"1280255","0.75","0.75","0.75"
"1280270","0.875","0.875","0.875"
"1280273","0.5625","0.5625","0.5625"
"1280274","0.90625","0.90625","0.90625"
"1290224","0.71875","0.71875","0.71875"
"1290233","0.96875","0.96875","0.96875"
"1290238","0.90625","0.90625","0.90625"
"1290264","0.875","0.875","0.875"
"1290267","0.84375","0.84375","0.84375"
"1300227","0.90625","0.90625","0.90625"
"1300234","0.78125","0.78125","0.78125"
"1300254","0.625","0.625","0.625"
"1300260","0.84375","0.84375","0.84375"
"1300287","0.84375","0.84375","0.84375"
"1310227","0.875","0.875","0.875"
"1310235","0.78125","0.78125","0.78125"
"1310251","0.96875","0.96875","0.96875"
"1310259","0.78125","0.78125","0.78125"
"1310272","1","1","1"
"1320227","0.8125","0.8125","0.8125"
"1320234","0.8125","0.8125","0.8125"
"1320235","0.875","0.875","0.875"
"1320250","0.8125","0.8125","0.8125"
"1320271","0.96875","0.96875","0.96875"
"1330229","0.78125","0.78125","0.78125"
"1330230","0.8125","0.8125","0.8125"
"1330231","0.78125","0.78125","0.78125"
"1330246","0.9375","0.9375","0.9375"
"1330256","0.9375","0.9375","0.9375"
"1340223","0.96875","0.96875","0.96875"
"1340233","0.90625","0.90625","0.90625"
"1340253","0.875","0.875","0.875"
"1340256","0.9375","0.9375","0.9375"
"1340269","0.8125","0.8125","0.8125"
"1350228","0.59375","0.59375","0.59375"
"1350235","0.84375","0.84375","0.84375"
"1350238","0.875","0.875","0.875"
"1350240","0.9375","0.9375","0.9375"
"1350257","0.875","0.875","0.875"
"1360233","0.875","0.875","0.875"
"1360244","0.875","0.875","0.875"
"1360259","0.53125","0.53125","0.53125"
"1360265","0.9375","0.9375","0.9375"
"1360270","0.78125","0.78125","0.78125"
"1370220","0.96875","0.96875","0.96875"
"1370236","0.84375","0.84375","0.84375"
"1370250","0.8125","0.8125","0.8125"
"1370254","0.8125","0.8125","0.8125"
"1370282","0.84375","0.84375","0.84375"
"1380223","0.90625","0.90625","0.90625"
"1380226","0.8125","0.8125","0.8125"
"1380243","0.875","0.875","0.875"
"1380247","0.875","0.875","0.875"
"1380266","0.90625","0.90625","0.90625"
"1390222","0.71875","0.71875","0.71875"
"1390224","0.875","0.875","0.875"
"1390260","0.90625","0.90625","0.90625"
"1390261","0.75","0.75","0.75"
"1390265","0.90625","0.90625","0.90625"
"1400238","0.78125","0.78125","0.78125"
"1400246","0.828125","0.8125","0.84375"
"1400250","0.875","0.875","0.875"
"1400258","1","1","1"
"1410222","0.46875","0.46875","0.46875"
"1410226","0.875","0.875","0.875"
"1410232","0.90625","0.90625","0.90625"
"1410241","0.75","0.75","0.75"
"1410265","0.78125","0.78125","0.78125"
"1420234","0.8125","0.8125","0.8125"
"1420239","0.9375","0.9375","0.9375"
"1420241","0.84375","0.84375","0.84375"
"1420249","0.84375","0.84375","0.84375"
"1420263","0.84375","0.84375","0.84375"
"1430233","0.78125","0.78125","0.78125"
"1430239","0.90625","0.90625","0.90625"
"1430245","0.875","0.875","0.875"
"1430249","0.71875","0.71875","0.71875"
"1430260","0.90625","0.90625","0.90625"
"1440222","0.90625","0.90625","0.90625"
"1440224","0.78125","0.78125","0.78125"
"1440230","0.6875","0.6875","0.6875"
"1440254","0.65625","0.65625","0.65625"
"1440267","0.8125","0.8125","0.8125"
"1450234","0.90625","0.90625","0.90625"
"1450244","1","1","1"
"1450245","0.90625","0.90625","0.90625"
"1450253","0.90625","0.90625","0.90625"
"1450269","0.9375","0.9375","0.9375"
"1460232","0.75","0.75","0.75"
"1460234","0.875","0.875","0.875"
"1460235","0.84375","0.84375","0.84375"
"1460257","0.65625","0.65625","0.65625"
"1460269","0.9375","0.9375","0.9375"
"1470230","0.8125","0.8125","0.8125"
"1470236","0.71875","0.71875","0.71875"
"1470269","0.8125","0.8125","0.8125"
"1470275","0.96875","0.96875","0.96875"
"1470306","0.875","0.875","0.875"
"1480222","0.84375","0.84375","0.84375"
"1480251","0.84375","0.84375","0.84375"
"1480255","0.625","0.625","0.625"
"1480258","0.84375","0.84375","0.84375"
"1480268","0.90625","0.90625","0.90625"
"1490220","0.78125","0.78125","0.78125"
"1490252","0.875","0.875","0.875"
"1490253","0.75","0.75","0.75"
"1490262","0.71875","0.71875","0.71875"
"1490289","0.9375","0.9375","0.9375"
"1500220","0.875","0.875","0.875"
"1500221","0.9375","0.9375","0.9375"
"1500223","0.96875","0.96875","0.96875"
"1500227","0.6875","0.6875","0.6875"
"1500245","0.6875","0.6875","0.6875"
"1510220","0.7604166666666666","0.59375","0.875"
"1510231","0.84375","0.84375","0.84375"
"1510261","0.84375","0.84375","0.84375"
"1520223","0.84375","0.84375","0.84375"
"1520234","0.78125","0.78125","0.78125"
"1520243","0.75","0.75","0.75"
"1520255","0.625","0.625","0.625"
"1520268","0.8125","0.8125","0.8125"
"1530220","0.78125","0.78125","0.78125"
"1530228","0.625","0.625","0.625"
"1530235","0.625","0.625","0.625"
"1530237","0.5625","0.5625","0.5625"
"1530240","0.875","0.875","0.875"
"1540241","0.875","0.8125","0.9375"
"1540254","0.84375","0.84375","0.84375"
"1540255","0.71875","0.71875","0.71875"
"1540266","0.90625","0.90625","0.90625"
"1550224","0.65625","0.65625","0.65625"
"1550232","0.9375","0.9375","0.9375"
"1550239","0.78125","0.78125","0.78125"
"1550244","0.8125","0.8125","0.8125"
"1550266","0.90625","0.90625","0.90625"
"1560240","0.96875","0.96875","0.96875"
