"Step","Group: MMM2_ACORM - win_rate","Group: MMM2_ACORM - win_rate__MIN","Group: MMM2_ACORM - win_rate__MAX"
"390235","0.21875","0.21875","0.21875"
"390244","0.375","0.375","0.375"
"390251","0.375","0.375","0.375"
"390281","0.46875","0.46875","0.46875"
"390326","0.375","0.375","0.375"
"400223","0.40625","0.40625","0.40625"
"400232","0.53125","0.53125","0.53125"
"400261","0.375","0.375","0.375"
"400266","0.5","0.5","0.5"
"400310","0.25","0.25","0.25"
"410224","0.71875","0.71875","0.71875"
"410231","0.21875","0.21875","0.21875"
"410261","0.375","0.375","0.375"
"410291","0.65625","0.65625","0.65625"
"410380","0.0625","0.0625","0.0625"
"420246","0.3125","0.3125","0.3125"
"420251","0.359375","0.34375","0.375"
"420257","0.5","0.5","0.5"
"420313","0.3125","0.3125","0.3125"
"430227","0.6875","0.6875","0.6875"
"430230","0.71875","0.71875","0.71875"
"430355","0.125","0.125","0.125"
"430378","0.40625","0.40625","0.40625"
"430385","0.625","0.625","0.625"
"440222","0.6875","0.6875","0.6875"
"440267","0.40625","0.40625","0.40625"
"440282","0.1875","0.1875","0.1875"
"440335","0.21875","0.21875","0.21875"
"440361","0.34375","0.34375","0.34375"
"450222","0.625","0.625","0.625"
"450242","0.125","0.125","0.125"
"450243","0.34375","0.34375","0.34375"
"450264","0.5","0.5","0.5"
"450346","0.71875","0.71875","0.71875"
"460228","0.65625","0.65625","0.65625"
"460242","0.625","0.625","0.625"
"460243","0.71875","0.71875","0.71875"
"460273","0.4375","0.4375","0.4375"
"460310","0.40625","0.40625","0.40625"
"470241","0.5625","0.5625","0.5625"
"470246","0.5","0.5","0.5"
"470251","0.34375","0.34375","0.34375"
"470252","0.3125","0.3125","0.3125"
"470261","0.59375","0.59375","0.59375"
"480221","0.625","0.625","0.625"
"480224","0.8125","0.8125","0.8125"
"480236","0.5","0.5","0.5"
"480240","0.5","0.40625","0.59375"
"490239","0.375","0.375","0.375"
"490251","0.78125","0.78125","0.78125"
"490263","0.5625","0.5625","0.5625"
"490268","0.3125","0.3125","0.3125"
"490363","0.71875","0.71875","0.71875"
"500230","0.34375","0.34375","0.34375"
"500245","0.71875","0.71875","0.71875"
"500259","0.53125","0.53125","0.53125"
"500270","0.59375","0.59375","0.59375"
"500367","0.34375","0.34375","0.34375"
"510235","0.46875","0.46875","0.46875"
"510236","0.125","0.125","0.125"
"510266","0.71875","0.71875","0.71875"
"510341","0.5625","0.5625","0.5625"
"510388","0.3125","0.3125","0.3125"
"520220","0.53125","0.53125","0.53125"
"520267","0.59375","0.59375","0.59375"
"520276","0.53125","0.53125","0.53125"
"520282","0.375","0.375","0.375"
"520283","0.28125","0.28125","0.28125"
"530233","0.40625","0.40625","0.40625"
"530242","0.375","0.375","0.375"
"530268","0.40625","0.40625","0.40625"
"530276","0.53125","0.53125","0.53125"
"530382","0.34375","0.34375","0.34375"
