"Step","Group: terran_5_vs_5_ACORM_WM - win_rate","Group: terran_5_vs_5_ACORM_WM - win_rate__MIN","Group: terran_5_vs_5_ACORM_WM - win_rate__MAX"
"340620","0.34375","0.34375","0.34375"
"340624","0.28125","0.28125","0.28125"
"340645","0.34375","0.34375","0.34375"
"340710","0.5","0.5","0.5"
"350600","0.28125","0.28125","0.28125"
"350609","0.5625","0.5625","0.5625"
"350616","0.4375","0.4375","0.4375"
"350629","0.15625","0.15625","0.15625"
"350631","0.46875","0.46875","0.46875"
"360602","0.34375","0.34375","0.34375"
"360616","0.3125","0.3125","0.3125"
"360628","0.375","0.375","0.375"
"360634","0.59375","0.59375","0.59375"
"360638","0.40625","0.40625","0.40625"
"370604","0.625","0.625","0.625"
"370609","0.25","0.25","0.25"
"370638","0.5","0.5","0.5"
"370639","0.4375","0.4375","0.4375"
"370651","0.4375","0.4375","0.4375"
"380602","0.46875","0.40625","0.53125"
"380636","0.34375","0.34375","0.34375"
"380666","0.625","0.625","0.625"
"390606","0.375","0.375","0.375"
"390615","0.53125","0.53125","0.53125"
"390617","0.53125","0.53125","0.53125"
"390626","0.5625","0.5625","0.5625"
"390643","0.53125","0.53125","0.53125"
"400601","0.59375","0.59375","0.59375"
"400602","0.5","0.5","0.5"
"400608","0.34375","0.34375","0.34375"
"400623","0.40625","0.40625","0.40625"
"400645","0.46875","0.46875","0.46875"
"410615","0.34375","0.34375","0.34375"
"410630","0.46875","0.46875","0.46875"
"410667","0.46875","0.46875","0.46875"
"410678","0.46875","0.46875","0.46875"
"410718","0.46875","0.46875","0.46875"
"420624","0.375","0.375","0.375"
"420625","0.53125","0.53125","0.53125"
"420634","0.71875","0.71875","0.71875"
"420637","0.40625","0.40625","0.40625"
"420656","0.59375","0.59375","0.59375"
"430614","0.4375","0.375","0.5"
"430617","0.5","0.5","0.5"
"430626","0.59375","0.59375","0.59375"
"430639","0.3125","0.3125","0.3125"
"440602","0.5","0.5","0.5"
"440618","0.59375","0.59375","0.59375"
"440622","0.5","0.5","0.5"
"440627","0.5625","0.5625","0.5625"
"440642","0.46875","0.46875","0.46875"
"450600","0.53125","0.53125","0.53125"
"450604","0.40625","0.40625","0.40625"
"450622","0.6875","0.6875","0.6875"
"450631","0.625","0.625","0.625"
"450688","0.59375","0.59375","0.59375"
"460609","0.46875","0.46875","0.46875"
"460615","0.4375","0.4375","0.4375"
"460616","0.28125","0.28125","0.28125"
"460639","0.46875","0.46875","0.46875"
"460653","0.40625","0.40625","0.40625"
"470604","0.53125","0.4375","0.625"
"470615","0.40625","0.40625","0.40625"
"470653","0.71875","0.71875","0.71875"
"470708","0.59375","0.59375","0.59375"
"480604","0.65625","0.65625","0.65625"
"480608","0.59375","0.59375","0.59375"
"480615","0.625","0.625","0.625"
"480630","0.59375","0.59375","0.59375"
"480631","0.40625","0.40625","0.40625"
"490601","0.625","0.625","0.625"
"490606","0.46875","0.46875","0.46875"
"490613","0.34375","0.34375","0.34375"
"490641","0.625","0.625","0.625"
"490703","0.4375","0.4375","0.4375"
"500601","0.5","0.5","0.5"
"500602","0.5625","0.5625","0.5625"
"500620","0.53125","0.53125","0.53125"
"500625","0.40625","0.40625","0.40625"
"500633","0.40625","0.40625","0.40625"
"510619","0.5625","0.5625","0.5625"
