"Step","Group: terran_5_vs_5_QMIX - win_rate","Group: terran_5_vs_5_QMIX - win_rate__MIN","Group: terran_5_vs_5_QMIX - win_rate__MAX"
"0","0","0","0"
"10013","0.0625","0.0625","0.0625"
"10018","0.03125","0.03125","0.03125"
"10022","0.03125","0.03125","0.03125"
"10024","0.09375","0.09375","0.09375"
"10027","0.09375","0.09375","0.09375"
"20004","0","0","0"
"20008","0.0625","0.0625","0.0625"
"20013","0.0625","0.0625","0.0625"
"20036","0.03125","0.03125","0.03125"
"20046","0","0","0"
"30011","0","0","0"
"30012","0.0625","0.0625","0.0625"
"30015","0.09375","0.09375","0.09375"
"30028","0.03125","0.03125","0.03125"
"30045","0.0625","0.0625","0.0625"
"40013","0.03125","0.03125","0.03125"
"40015","0.0625","0.0625","0.0625"
"40020","0.0625","0.0625","0.0625"
"40021","0.03125","0.03125","0.03125"
"40025","0.03125","0.03125","0.03125"
"50001","0.15625","0.15625","0.15625"
"50009","0.0625","0.0625","0.0625"
"50010","0","0","0"
"50016","0.0625","0.0625","0.0625"
"50030","0","0","0"
"60007","0.125","0.125","0.125"
"60018","0.03125","0","0.0625"
"60024","0.0625","0.0625","0.0625"
"60045","0.0625","0.0625","0.0625"
"70008","0.03125","0.03125","0.03125"
"70016","0.03125","0.03125","0.03125"
"70018","0","0","0"
"70019","0","0","0"
"70026","0","0","0"
"80001","0.0625","0.0625","0.0625"
"80003","0.03125","0.03125","0.03125"
"80010","0.0625","0.03125","0.09375"
"80037","0","0","0"
"90007","0.09375","0.09375","0.09375"
"90009","0.03125","0.03125","0.03125"
"90013","0.0625","0.0625","0.0625"
"90021","0","0","0"
"90029","0.0625","0.0625","0.0625"
"100009","0.03125","0.03125","0.03125"
"100013","0.03125","0.03125","0.03125"
"100019","0.03125","0.03125","0.03125"
"100031","0.0625","0.0625","0.0625"
"100076","0.09375","0.09375","0.09375"
"110019","0.046875","0.03125","0.0625"
"110020","0.0625","0.0625","0.0625"
"110039","0.03125","0.03125","0.03125"
"110040","0.09375","0.09375","0.09375"
"120017","0.03125","0.03125","0.03125"
"120029","0.0625","0.0625","0.0625"
"120052","0.09375","0.09375","0.09375"
"120064","0.0625","0.0625","0.0625"
"120070","0.09375","0.09375","0.09375"
"130002","0.03125","0.03125","0.03125"
"130004","0","0","0"
"130008","0.0625","0.0625","0.0625"
"130020","0.09375","0.09375","0.09375"
"130024","0.03125","0.03125","0.03125"
"140012","0.09375","0.09375","0.09375"
