"Step","Group: terran_5_vs_5_ACORM - win_rate","Group: terran_5_vs_5_ACORM - win_rate__MIN","Group: terran_5_vs_5_ACORM - win_rate__MAX"
"0","0","0","0"
"10606","0","0","0"
"10615","0.0625","0.0625","0.0625"
"10618","0.03125","0.03125","0.03125"
"10623","0.0625","0.0625","0.0625"
"20603","0.09375","0.09375","0.09375"
"20608","0.15625","0.15625","0.15625"
"20612","0.03125","0.03125","0.03125"
"20620","0","0","0"
"20639","0.125","0.125","0.125"
"20640","0.125","0.125","0.125"
"30605","0.125","0.125","0.125"
"30613","0.09375","0.09375","0.09375"
"30618","0","0","0"
"30620","0.15625","0.15625","0.15625"
"30624","0","0","0"
"30631","0","0","0"
"40610","0.0625","0.0625","0.0625"
"40613","0.15625","0.15625","0.15625"
"40617","0.09375","0.09375","0.09375"
"40635","0.125","0.125","0.125"
"40642","0.03125","0.03125","0.03125"
"40646","0.125","0.125","0.125"
"50600","0.125","0.125","0.125"
"50604","0.09375","0.09375","0.09375"
"50618","0.125","0.03125","0.21875"
"50619","0.1875","0.1875","0.1875"
"50643","0.125","0.125","0.125"
"60602","0.09375","0.09375","0.09375"
"60604","0.125","0.125","0.125"
"60613","0.15625","0.15625","0.15625"
"60618","0.0625","0.0625","0.0625"
"60626","0.25","0.25","0.25"
"60687","0.125","0.125","0.125"
"70605","0.125","0.125","0.125"
"70614","0.09375","0.09375","0.09375"
"70623","0.09375","0.09375","0.09375"
"70627","0.0625","0.0625","0.0625"
"70633","0.125","0.125","0.125"
"70637","0.21875","0.21875","0.21875"
"80608","0.0625","0.0625","0.0625"
"80616","0.21875","0.21875","0.21875"
"80622","0.125","0.125","0.125"
"80624","0.21875","0.21875","0.21875"
"80634","0.09375","0.09375","0.09375"
"80646","0.28125","0.28125","0.28125"
"90601","0.25","0.25","0.25"
"90608","0.1875","0.1875","0.1875"
"90610","0.09375","0.09375","0.09375"
"90616","0.25","0.25","0.25"
"90622","0.1875","0.1875","0.1875"
"90633","0.21875","0.21875","0.21875"
"100600","0.15625","0.15625","0.15625"
"100604","0.28125","0.28125","0.28125"
"100621","0.03125","0.03125","0.03125"
"100622","0.09375","0.09375","0.09375"
"100629","0.15625","0.15625","0.15625"
"100656","0.09375","0.09375","0.09375"
"110614","0.25","0.25","0.25"
"110617","0.25","0.25","0.25"
"110620","0.15625","0.15625","0.15625"
"110628","0.1875","0.1875","0.1875"
"110651","0.09375","0.09375","0.09375"
"110656","0.25","0.25","0.25"
"120601","0.15625","0.15625","0.15625"
"120612","0.265625","0.1875","0.34375"
"120622","0.21875","0.21875","0.21875"
"120625","0.34375","0.34375","0.34375"
"120629","0.15625","0.15625","0.15625"
"130610","0.21875","0.21875","0.21875"
"130616","0.34375","0.34375","0.34375"
"130634","0.234375","0.21875","0.25"
"130649","0.3125","0.3125","0.3125"
"130729","0.1875","0.1875","0.1875"
"140606","0.3125","0.3125","0.3125"
"140615","0.28125","0.28125","0.28125"
"140616","0.1875","0.1875","0.1875"
"140624","0.21875","0.21875","0.21875"
"140638","0.28125","0.28125","0.28125"
"140651","0.25","0.25","0.25"
"150600","0.28125","0.28125","0.28125"
"150610","0.21875","0.21875","0.21875"
"150616","0.3125","0.3125","0.3125"
"150619","0.28125","0.28125","0.28125"
"150620","0.15625","0.15625","0.15625"
"150635","0.25","0.25","0.25"
"160604","0.1875","0.1875","0.1875"
"160610","0.1875","0.1875","0.1875"
"160613","0.1875","0.1875","0.1875"
"160622","0.1875","0.1875","0.1875"
"160630","0.25","0.25","0.25"
"160657","0.1875","0.1875","0.1875"
"170603","0.25","0.25","0.25"
"170606","0.40625","0.40625","0.40625"
"170610","0.1875","0.1875","0.1875"
"170613","0.40625","0.40625","0.40625"
"170629","0.25","0.25","0.25"
"170645","0.25","0.25","0.25"
"180613","0.3125","0.3125","0.3125"
"180622","0.15625","0.15625","0.15625"
"180625","0.21875","0.21875","0.21875"
"180629","0.3125","0.3125","0.3125"
"180631","0.3125","0.3125","0.3125"
"180640","0.1875","0.1875","0.1875"
"190600","0.25","0.25","0.25"
"190618","0.25","0.25","0.25"
"190619","0.09375","0.09375","0.09375"
"190631","0.15625","0.15625","0.15625"
"190632","0.125","0.125","0.125"
"190686","0.3125","0.3125","0.3125"
"200602","0.25","0.25","0.25"
"200614","0.21875","0.21875","0.21875"
"200619","0.3125","0.25","0.375"
"200624","0.28125","0.28125","0.28125"
"200676","0.21875","0.21875","0.21875"
"210610","0.1875","0.1875","0.1875"
"210624","0.1875","0.1875","0.1875"
"210625","0.3125","0.3125","0.3125"
"210629","0.25","0.25","0.25"
"210630","0.3125","0.3125","0.3125"
"210651","0.21875","0.21875","0.21875"
"220600","0.1875","0.1875","0.1875"
"220610","0.21875","0.21875","0.21875"
"220611","0.15625","0.15625","0.15625"
"220647","0.28125","0.28125","0.28125"
"220648","0.15625","0.15625","0.15625"
"220690","0.25","0.25","0.25"
"230603","0.09375","0.09375","0.09375"
"230615","0.3125","0.3125","0.3125"
"230626","0.21875","0.21875","0.21875"
"230630","0.3125","0.3125","0.3125"
"230641","0.1875","0.1875","0.1875"
"230667","0.28125","0.28125","0.28125"
"240604","0.15625","0.15625","0.15625"
"240626","0.296875","0.25","0.34375"
"240630","0.109375","0.09375","0.125"
"240631","0.3125","0.3125","0.3125"
"250610","0.25","0.25","0.25"
"250616","0.21875","0.21875","0.21875"
"250627","0.28125","0.28125","0.28125"
"250630","0.28125","0.28125","0.28125"
"250636","0.25","0.25","0.25"
"250666","0.125","0.125","0.125"
"260623","0.375","0.375","0.375"
"260633","0.34375","0.34375","0.34375"
"260636","0.125","0.125","0.125"
"260637","0.3125","0.3125","0.3125"
"260644","0.25","0.25","0.25"
"260647","0.21875","0.21875","0.21875"
"270608","0.21875","0.21875","0.21875"
"270610","0.25","0.25","0.25"
"270615","0.34375","0.34375","0.34375"
"270634","0.3125","0.3125","0.3125"
"270635","0.25","0.25","0.25"
"270642","0.25","0.25","0.25"
"280608","0.1875","0.1875","0.1875"
"280609","0.25","0.25","0.25"
"280610","0.28125","0.28125","0.28125"
"280627","0.1875","0.1875","0.1875"
"280633","0.25","0.25","0.25"
"280655","0.5","0.5","0.5"
"290613","0.3125","0.3125","0.3125"
"290617","0.4375","0.4375","0.4375"
"290620","0.40625","0.40625","0.40625"
"290644","0.21875","0.21875","0.21875"
"290647","0.40625","0.40625","0.40625"
"290773","0.4375","0.4375","0.4375"
"300600","0.1875","0.1875","0.1875"
"300612","0.375","0.375","0.375"
"300620","0.28125","0.28125","0.28125"
"300622","0.21875","0.21875","0.21875"
"300628","0.28125","0.28125","0.28125"
"300630","0.25","0.25","0.25"
"310604","0.15625","0.15625","0.15625"
"310620","0.28125","0.28125","0.28125"
"310632","0.3125","0.3125","0.3125"
"310635","0.46875","0.46875","0.46875"
"310652","0.40625","0.40625","0.40625"
"310718","0.375","0.375","0.375"
"320610","0.4375","0.4375","0.4375"
"320623","0.28125","0.28125","0.28125"
"320627","0.28125","0.28125","0.28125"
"320646","0.40625","0.40625","0.40625"
"320684","0.25","0.25","0.25"
"320727","0.34375","0.34375","0.34375"
"330608","0.46875","0.46875","0.46875"
"330631","0.390625","0.3125","0.46875"
"330632","0.25","0.25","0.25"
"330633","0.40625","0.40625","0.40625"
"330670","0.1875","0.1875","0.1875"
"340615","0.40625","0.40625","0.40625"
"340622","0.4375","0.4375","0.4375"
"340623","0.3125","0.3125","0.3125"
"340639","0.40625","0.40625","0.40625"
"340672","0.34375","0.34375","0.34375"
"340677","0.21875","0.21875","0.21875"
"350617","0.34375","0.34375","0.34375"
"350634","0.375","0.375","0.375"
"350653","0.53125","0.53125","0.53125"
"350655","0.28125","0.28125","0.28125"
"350714","0.375","0.375","0.375"
"350728","0.53125","0.53125","0.53125"
"360622","0.34375","0.34375","0.34375"
"360627","0.25","0.25","0.25"
"360629","0.40625","0.40625","0.40625"
"360639","0.25","0.25","0.25"
"360663","0.375","0.375","0.375"
"360695","0.4375","0.4375","0.4375"
"370619","0.40625","0.40625","0.40625"
"370629","0.40625","0.40625","0.40625"
"370635","0.21875","0.21875","0.21875"
"370654","0.3125","0.3125","0.3125"
"370682","0.375","0.375","0.375"
"370700","0.4375","0.4375","0.4375"
"380610","0.40625","0.40625","0.40625"
"380614","0.375","0.375","0.375"
"380618","0.375","0.375","0.375"
"380624","0.34375","0.34375","0.34375"
"380633","0.15625","0.15625","0.15625"
"380650","0.34375","0.34375","0.34375"
"390602","0.3125","0.3125","0.3125"
"390618","0.59375","0.59375","0.59375"
"390622","0.4375","0.4375","0.4375"
"390632","0.28125","0.28125","0.28125"
"390642","0.40625","0.40625","0.40625"
"390648","0.53125","0.53125","0.53125"
"400606","0.4375","0.4375","0.4375"
"400611","0.4375","0.4375","0.4375"
"400615","0.46875","0.46875","0.46875"
"400627","0.40625","0.40625","0.40625"
"400634","0.40625","0.40625","0.40625"
"400672","0.4375","0.4375","0.4375"
"410612","0.40625","0.40625","0.40625"
"410618","0.375","0.375","0.375"
"410635","0.3125","0.3125","0.3125"
"410642","0.34375","0.34375","0.34375"
"410645","0.53125","0.53125","0.53125"
"410661","0.46875","0.46875","0.46875"
"420609","0.375","0.375","0.375"
"420611","0.46875","0.46875","0.46875"
"420622","0.28125","0.28125","0.28125"
"420628","0.375","0.375","0.375"
"420636","0.3125","0.3125","0.3125"
"420637","0.5","0.5","0.5"
"430609","0.34375","0.34375","0.34375"
"430614","0.3125","0.3125","0.3125"
"430629","0.5625","0.5625","0.5625"
"430630","0.5","0.5","0.5"
