Wall time,Step,Value
1737653143.3784611,40,0.0
1737653410.0315282,10040,0.0
1737653759.51582,20048,0.0
1737654136.3696609,30054,0.0
1737654522.8123996,40070,0.0
1737654903.1874828,50089,0.0
1737655254.779091,60169,0.0
1737655586.1370957,70174,0.0
1737655955.8487735,80186,0.0
1737656329.2381148,90204,0.0
1737656699.368923,100216,0.0
1737657076.7637634,110233,0.0
1737657453.380068,120243,0.0
1737657827.4836102,130246,0.0
1737658199.3217509,140256,0.0
1737658551.068316,150256,0.0
1737658903.8999991,160272,0.0
1737659262.8595042,170274,0.0
1737659599.3070173,180275,0.0
1737659925.427966,190286,0.0
1737660273.5840793,200301,0.0
1737660596.7461858,210310,0.0
1737660893.3511498,220330,0.0
1737661200.0260339,230336,0.0
1737661509.0931602,240355,0.0
1737661843.467829,250388,0.0
1737662093.7424908,260432,0.0
1737662323.1438575,270443,0.0
1737662574.1436334,280526,0.0
1737662895.8365703,290705,0.0
1737663159.1630418,300742,0.0
1737663415.4560108,310745,0.0
1737663692.8804774,320890,0.0
1737663963.9899633,330914,0.0
1737664224.3223567,341039,0.0
1737664468.1135035,351087,0.0
1737664787.6849482,361103,0.0
1737665180.6640673,371107,0.0
1737665597.7687078,381125,0.0
1737665977.2363634,391182,0.0
1737666310.2823277,401202,0.0
1737666634.6477063,411353,0.0
1737667022.5746548,421359,0.0
1737667434.7452588,431376,0.0
1737667850.061003,441400,0.0
1737668241.923993,451425,0.0
1737668602.264291,461438,0.0
1737668918.9806623,471464,0.0
1737669224.6332273,481638,0.0
1737669494.1565223,491740,0.0
1737669770.2597792,501813,0.0
1737670068.0617754,511913,0.0
1737670375.07747,521965,0.0
1737670696.0648804,531981,0.0
1737670981.9438117,542014,0.0
1737671341.091605,552026,0.0
1737671694.4782243,562100,0.0
1737672051.6177342,572113,0.0
1737672659.768517,582122,0.0
1737673210.3660958,592125,0.0
1737673737.6308975,602138,0.0
1737674240.9608214,612169,0.0
1737674717.6837761,622205,0.0
1737675126.4736452,632360,0.0
1737675499.5394268,642368,0.0
1737675872.0945835,652448,0.0
1737676255.2697484,662484,0.0
1737676603.746533,672506,0.0
1737676990.8389332,682525,0.0
1737677337.7109258,692662,0.0
1737677671.5327892,702754,0.0
1737678039.2347932,712790,0.0
1737678476.6713817,722823,0.0
1737678970.375997,732828,0.0
1737679435.7537813,742878,0.0
1737679904.659932,752894,0.0
1737680320.4705944,762912,0.0
1737680741.0926015,772935,0.0
1737681109.6854203,782956,0.0
1737681438.107241,793001,0.0
1737681730.7377632,803016,0.0
1737682018.3258593,813033,0.0
1737682309.5853372,823110,0.0
1737682598.5705185,833237,0.0
1737682856.4195404,843251,0.0
1737683110.4448953,853408,0.0
1737683382.8267834,863561,0.0
1737683632.0675633,873616,0.0
1737683880.9480662,883777,0.0
1737684132.476321,893891,0.0
1737684384.7980278,904032,0.0
1737684652.732008,914149,0.0
1737684911.3245559,924311,0.0
1737685166.6842651,934458,0.0
1737685434.0754118,944604,0.0
1737685702.0888817,954686,0.0
1737685964.885786,964724,0.0
1737686237.5779903,974803,0.0
1737686532.8267906,984969,0.0
1737686815.452753,995040,0.0
1737687098.0520983,1005060,0.0
1737687382.8772013,1015099,0.0
1737687678.1796148,1025248,0.0
1737687978.6934114,1035402,0.0
1737688273.4578066,1045545,0.0
1737688596.2377818,1055688,0.0
1737688930.8979166,1065719,0.0
1737689267.3802793,1075770,0.0
1737689611.3963766,1085925,0.0
1737689952.5104003,1095977,0.0
1737690285.7390661,1106068,0.0
1737690595.833759,1116222,0.0
1737690898.3109732,1126262,0.0
1737691189.2476373,1136436,0.0
1737691469.7053657,1146462,0.0
1737691743.5626712,1156528,0.0
1737692018.534768,1166528,0.0
1737692302.9394827,1176563,0.0
1737692583.2522275,1186721,0.0
1737692860.0671616,1196871,0.0
1737693130.830643,1206932,0.0
1737693410.3506525,1216958,0.0
1737693684.2543032,1227090,0.0
1737693957.341411,1237232,0.0
1737694237.7345474,1247334,0.0
1737694522.8473022,1257382,0.0
1737694799.0154722,1267521,0.0
1737695077.2828553,1277524,0.0
1737695353.2454436,1287594,0.0
1737695637.589488,1297620,0.0
1737695915.4120486,1307646,0.0
1737696200.3613982,1317671,0.0
1737696481.6644373,1327783,0.0
1737696780.6309233,1337822,0.0
1737697080.3222942,1347948,0.0
1737697368.0427477,1357976,0.0
1737697655.3058453,1368136,0.0
1737697946.2634158,1378169,0.0
1737698242.106528,1388322,0.0
1737698526.683544,1398369,0.0
1737698812.0039506,1408496,0.0
1737699096.665765,1418510,0.0
1737699386.5556688,1428552,0.0
1737699684.6816723,1438691,0.0
1737699982.1155567,1448859,0.0
1737700280.9649565,1458922,0.0
1737700584.7655966,1469031,0.0
1737700884.7200546,1479072,0.0
1737701198.7734222,1489113,0.0
1737701512.812931,1499133,0.0
1737701823.4088624,1509283,0.0
1737702150.4749207,1519303,0.0
1737702458.7162292,1529441,0.0
1737702751.474823,1539500,0.0
1737703053.2857952,1549634,0.0
1737703369.0966063,1559645,0.0
1737703658.0578954,1569659,0.0
1737703955.935796,1579739,0.0
1737704240.7000031,1589788,0.0
1737704527.1099944,1599949,0.0
1737704843.857398,1610021,0.0
1737705213.641846,1620021,0.0
1737705573.1725268,1630123,0.0
1737705958.4482098,1640266,0.0
1737706442.0031536,1650267,0.0
1737707007.5065012,1660282,0.0
1737707558.9574804,1670293,0.0
1737708104.8199005,1680316,0.0
1737708638.704496,1690329,0.0
1737709210.840825,1700365,0.0
1737709765.7350938,1710400,0.0
1737710294.860848,1720433,0.0
1737710844.0597968,1730470,0.0
1737711415.494103,1740520,0.0
