Wall time,Step,Value
1727978022.4475248,39,0.0
1727978933.8008795,10076,0.0
1727980200.6666398,20094,0.0
1727981622.4161115,30097,0.0
1727983073.8786778,40105,0.0
1727984399.509836,50119,0.0
1727985604.9010365,60125,0.0
1727986882.8417902,70131,0.0
1727988200.8941412,80254,0.0
1727989719.882473,90264,0.0
1727991107.4589448,100277,0.0
1727992532.1251156,110285,0.0
1727994139.1954627,120296,0.0
1727995865.7248375,130313,0.0
1727997487.104718,140330,0.0
1727999191.9943707,150350,0.0
1728000802.8576896,160365,0.0
1728002304.9090998,170392,0.0
1728003977.2219229,180402,0.0
1728005876.0125406,190409,0.0
1728007367.815771,200434,0.0
1728008819.8331556,210461,0.0
1728010226.0876653,220472,0.0
1728011495.1695583,230475,0.0
1728012673.1644626,240481,0.0
1728013746.248148,250490,0.0
1728014839.299037,260514,0.0
1728015936.8098357,270533,0.0
1728017026.57756,280545,0.0
1728018139.8883092,290564,0.0
1728019331.1810791,300571,0.0
1728020395.4957523,310576,0.0
1728021449.1600814,320588,0.0
1728022516.8286672,330613,0.0
1728023568.7509086,340615,0.0
1728024631.5258112,350637,0.0
1728025683.9498796,360638,0.0
1728026735.6004002,370655,0.0
1728027776.1041682,380677,0.0
1728028821.7249324,390693,0.0
1728029864.5820286,400706,0.0
1728030899.1482003,410706,0.0
1728031933.1095173,420714,0.0
1728032954.2751796,430714,0.0
1728033964.6674478,440732,0.0
1728034969.7931316,450751,0.0
1728035964.5425236,460752,0.0
1728036969.2251995,470766,0.0
1728037994.2524157,480779,0.0
1728039014.6041405,490780,0.0
1728040017.1398394,500789,0.0
1728041040.8641593,510798,0.0
1728042069.4890225,520807,0.0
1728043066.6002135,530820,0.0
1728044082.240732,540843,0.0
1728045072.6567366,550846,0.0
1728046070.3293962,560865,0.0
1728047066.361709,570877,0.0
1728048068.4749527,580896,0.0
1728049040.9246063,590904,0.0
1728050054.3878276,600917,0.0
1728051051.0190792,610938,0.0
1728052041.6468394,620942,0.0
1728053055.3880522,630950,0.0
1728054050.8036537,640950,0.0
1728055034.2145178,650953,0.0
1728056052.6021237,660967,0.0
1728057052.9256651,670984,0.0
1728058087.1625626,681000,0.0
1728059104.6189158,691006,0.0
1728060119.22054,701008,0.0
1728061096.8630216,711008,0.0
1728062057.2555258,721016,0.0
1728063037.075681,731017,0.0
1728064048.4892352,741018,0.0
1728065054.863092,751018,0.0
1728066024.120718,761032,0.0
1728066983.1075258,771051,0.0
1728067950.061372,781061,0.0
1728068902.6426158,791077,0.0
1728069862.5460393,801094,0.0
1728070803.1580174,811103,0.0
1728071761.945158,821103,0.0
1728072733.585997,831119,0.0
1728073702.8031042,841121,0.0
1728074666.7188914,851143,0.0
1728075630.161557,861154,0.0
1728076596.9671853,871173,0.0
1728077560.7532408,881192,0.0
1728078518.5660236,891200,0.0
1728079485.6792943,901207,0.0
1728080452.2538455,911229,0.0
1728081412.0453036,921235,0.0
1728082362.9234865,931252,0.0
1728083326.5332086,941270,0.0
1728084290.8791575,951274,0.0
1728085272.3165534,961292,0.0
1728086229.3791556,971304,0.0
1728087182.976299,981312,0.0
1728088139.7363713,991316,0.0
1728089099.460217,1001322,0.0
1728090060.685406,1011331,0.0
1728091020.2462232,1021338,0.0
1728091977.5138633,1031346,0.0
1728092921.31,1041348,0.0
1728093877.243979,1051355,0.0
1728094833.859801,1061366,0.0
1728095789.855112,1071375,0.0
1728096755.1858764,1081376,0.0
1728097699.379994,1091391,0.0
1728098645.0305614,1101411,0.0
1728099598.3632247,1111424,0.0
1728100554.7080362,1121431,0.0
1728101509.5369642,1131434,0.0
1728102475.5897155,1141436,0.0
1728103441.6569493,1151455,0.0
1728104391.0699894,1161455,0.0
1728105357.085362,1171476,0.0
1728106314.9017882,1181492,0.0
1728107282.4541454,1191496,0.0
1728108242.754828,1201514,0.0
1728109193.382795,1211528,0.0
1728110154.4286475,1221540,0.0
1728111116.9934208,1231548,0.0
1728112069.2326064,1241570,0.0
1728113023.9545448,1251579,0.0
