Wall time,Step,Value
1737653282.5036476,31,0.0
1737653646.583925,10059,0.0
1737654146.4231017,20064,0.0
1737654516.6282125,30078,0.0
1737654898.470734,40098,0.0
1737655257.2085767,50115,0.0
1737655619.2590537,60126,0.0
1737655975.4603918,70143,0.0
1737656333.9528937,80151,0.0
1737656696.7608955,90175,0.0
1737657058.92547,100193,0.0
1737657431.4285681,110201,0.0
1737657800.0269632,120208,0.0
1737658143.311035,130217,0.0
1737658492.3344803,140221,0.0
1737658844.747791,150231,0.0
1737659201.5859551,160251,0.0
1737659555.2149165,170278,0.0
1737659931.6786342,180294,0.0
1737660292.8590553,190306,0.0
1737660603.5483778,200310,0.0
1737660893.6637573,210334,0.0
1737661138.3960426,220438,0.0
1737661385.2500303,230454,0.0
1737661638.5940359,240467,0.0
1737661852.3041396,250546,0.0
1737662060.5998874,260558,0.0
1737662243.7486124,270591,0.0
1737662453.827157,280621,0.0
1737662674.2849486,290671,0.0
1737662868.836907,300680,0.0
1737663057.4132738,310797,0.0
1737663283.4774811,320849,0.0
1737663537.5943735,330912,0.0
1737663835.276353,341021,0.0
1737664138.2980509,351046,0.03125
1737664585.9369829,361047,0.0
1737665057.69385,371059,0.0
1737665521.0350242,381062,0.0
1737666023.9856133,391093,0.03125
1737666515.6491928,401150,0.03125
1737667022.702114,411174,0.0625
1737667510.1739748,421174,0.03125
1737668031.6786249,431194,0.0625
1737668573.287753,441195,0.1875
1737669087.4977427,451196,0.0625
1737669577.090245,461206,0.0625
1737670056.919234,471212,0.0625
1737670546.8150756,481229,0.0625
1737670955.0609102,491261,0.03125
1737671444.6034746,501269,0.03125
1737671898.425092,511303,0.09375
1737672290.2581315,521316,0.03125
1737672692.823683,531316,0.03125
1737673009.5025537,541345,0.0
1737673307.896043,551359,0.0
1737673569.0807045,561402,0.0
1737673819.0995893,571442,0.0
1737674072.2481902,581578,0.0
1737674348.3105457,591713,0.0
1737674614.4529822,601741,0.0
1737674895.3664415,611808,0.0
1737675276.9320278,621834,0.0
1737675653.922606,631860,0.0
1737676091.6690657,641910,0.0
1737676533.0552006,651972,0.0
1737676958.823692,662088,0.0
1737677305.1035964,672106,0.0
1737677713.7823195,682112,0.0
1737678235.3538473,692134,0.0
1737678765.274752,702138,0.0
1737679171.2391446,712286,0.0
1737679472.3767507,722294,0.0
1737679783.7493932,732468,0.0
1737680137.1420581,742493,0.0
1737680453.160545,752523,0.0
1737680780.789731,762524,0.0
1737681207.412902,772528,0.0
1737681685.392652,782681,0.0
1737682108.8458748,792690,0.0
1737682431.396938,802769,0.0
1737682748.6829185,812846,0.0
1737683070.9996312,822856,0.0
1737683375.5264518,833002,0.0
1737683716.6028101,843055,0.0
1737683993.3193684,853055,0.0
1737684293.5636795,863132,0.0
1737684569.8386161,873134,0.0
1737684852.8201702,883149,0.0
1737685133.5453653,893248,0.0
1737685402.477291,903414,0.0
1737685668.8618698,913544,0.0
1737685957.1297116,923611,0.0
1737686215.7972546,933614,0.0
1737686480.2847426,943625,0.0
1737686755.2328808,953642,0.0
1737687050.672132,963663,0.0
1737687356.1144085,973778,0.0
1737687638.180508,983787,0.0
1737687934.8601315,993930,0.0
1737688219.4104311,1003994,0.0
1737688535.7602143,1014091,0.0
1737688829.1662753,1024196,0.0
1737689113.9416037,1034361,0.0
1737689399.6782796,1044522,0.0
1737689694.538541,1054682,0.0
1737690015.941277,1064741,0.0
1737690317.1518016,1074901,0.0
1737690636.3894944,1084911,0.0
1737690952.0624037,1095053,0.0
1737691247.8977711,1105062,0.0
1737691542.959792,1115235,0.0
1737691823.4583454,1125261,0.0
