"Step","Group: 27m_vs_30m_ACORM_WM - win_rate","Group: 27m_vs_30m_ACORM_WM - win_rate__MIN","Group: 27m_vs_30m_ACORM_WM - win_rate__MAX"
"490242","0.40625","0.40625","0.40625"
"490751","0.5","0.5","0.5"
"490779","0.5625","0.5625","0.5625"
"490786","0.625","0.625","0.625"
"500233","0.59375","0.59375","0.59375"
"500761","0.34375","0.34375","0.34375"
"500780","0.46875","0.46875","0.46875"
"500823","0.375","0.375","0.375"
"510356","0.59375","0.59375","0.59375"
"510767","0.375","0.375","0.375"
"510771","0.65625","0.65625","0.65625"
"510776","0.46875","0.46875","0.46875"
"520242","0.6875","0.6875","0.6875"
"520763","0.65625","0.65625","0.65625"
"520766","0.46875","0.46875","0.46875"
"520779","0.65625","0.65625","0.65625"
"530237","0.8125","0.8125","0.8125"
"530753","0.5","0.5","0.5"
"530787","0.71875","0.71875","0.71875"
"530790","0.46875","0.46875","0.46875"
"540266","0.53125","0.53125","0.53125"
"540751","0.65625","0.625","0.6875"
"540764","0.375","0.375","0.375"
"550257","0.28125","0.28125","0.28125"
"550752","0.25","0.25","0.25"
"550774","0.625","0.625","0.625"
"550783","0.65625","0.65625","0.65625"
"560337","0.4375","0.4375","0.4375"
"560751","0.625","0.625","0.625"
"560756","0.71875","0.71875","0.71875"
"560796","0.53125","0.53125","0.53125"
"570267","0.53125","0.53125","0.53125"
"570775","0.40625","0.40625","0.40625"
"570782","0.34375","0.34375","0.34375"
"570783","0.375","0.375","0.375"
"580233","0.5","0.5","0.5"
"580764","0.625","0.625","0.625"
"580766","0.71875","0.71875","0.71875"
"580767","0.5625","0.5625","0.5625"
"590391","0.46875","0.46875","0.46875"
"590758","0.59375","0.59375","0.59375"
"590761","0.65625","0.65625","0.65625"
"590765","0.53125","0.53125","0.53125"
"600340","0.59375","0.59375","0.59375"
"600753","0.625","0.625","0.625"
"600779","0.46875","0.46875","0.46875"
"600809","0.5625","0.5625","0.5625"
"610220","0.53125","0.53125","0.53125"
"610771","0.75","0.75","0.75"
"610772","0.40625","0.40625","0.40625"
"610786","0.5","0.5","0.5"
"620246","0.59375","0.59375","0.59375"
"620750","0.625","0.625","0.625"
"620761","0.78125","0.78125","0.78125"
"620778","0.5","0.5","0.5"
"630221","0.875","0.875","0.875"
"630754","0.75","0.75","0.75"
"630756","0.8125","0.8125","0.8125"
"630757","0.625","0.625","0.625"
"640240","0.59375","0.59375","0.59375"
"640751","0.5625","0.5625","0.5625"
"640772","0.78125","0.78125","0.78125"
"640782","0.6875","0.6875","0.6875"
"650244","0.625","0.625","0.625"
"650755","0.3125","0.3125","0.3125"
"650773","0.5","0.5","0.5"
"650794","0.65625","0.65625","0.65625"
"660325","0.84375","0.84375","0.84375"
"660764","0.578125","0.53125","0.625"
"660769","0.6875","0.6875","0.6875"
"670299","0.53125","0.53125","0.53125"
"670775","0.65625","0.65625","0.65625"
"670779","0.6875","0.6875","0.6875"
"670803","0.71875","0.71875","0.71875"
"680237","0.625","0.625","0.625"
"680774","0.625","0.625","0.625"
"680789","0.59375","0.59375","0.59375"
"680888","0.65625","0.65625","0.65625"
"690255","0.5625","0.5625","0.5625"
"690754","0.4375","0.4375","0.4375"
"690762","0.6875","0.6875","0.6875"
"690771","0.625","0.625","0.625"
"700323","0.625","0.625","0.625"
"700764","0.59375","0.59375","0.59375"
"700766","0.6875","0.6875","0.6875"
"700785","0.15625","0.15625","0.15625"
"710234","0.71875","0.71875","0.71875"
"710775","0.53125","0.53125","0.53125"
"710781","0.75","0.75","0.75"
"710789","0.59375","0.59375","0.59375"
"720383","0.625","0.625","0.625"
"720751","0.59375","0.59375","0.59375"
"720767","0.75","0.75","0.75"
"720844","0.71875","0.71875","0.71875"
"730243","0.75","0.75","0.75"
"730755","0.375","0.375","0.375"
"730772","0.71875","0.71875","0.71875"
"730786","0.71875","0.71875","0.71875"
"740252","0.5625","0.5625","0.5625"
"740756","0.59375","0.59375","0.59375"
"740764","0.8125","0.8125","0.8125"
"740780","0.78125","0.78125","0.78125"
"750263","0.5","0.5","0.5"
"750756","0.59375","0.59375","0.59375"
"750761","0.75","0.75","0.75"
"750775","0.5625","0.5625","0.5625"
"760251","0.5","0.5","0.5"
"760773","0.5","0.5","0.5"
"760783","0.625","0.625","0.625"
"760788","0.78125","0.78125","0.78125"
"770226","0.625","0.625","0.625"
"770777","0.6875","0.6875","0.6875"
"770790","0.40625","0.40625","0.40625"
"770799","0.40625","0.40625","0.40625"
"780264","0.5","0.5","0.5"
"780760","0.6875","0.6875","0.6875"
"780787","0.6875","0.6875","0.6875"
"780839","0.90625","0.90625","0.90625"
"790250","0.65625","0.65625","0.65625"
"790763","0.59375","0.59375","0.59375"
"790767","0.78125","0.78125","0.78125"
"790869","0.5625","0.5625","0.5625"
"800229","0.53125","0.53125","0.53125"
"800753","0.625","0.625","0.625"
"800756","0.6875","0.6875","0.6875"
"800778","0.75","0.75","0.75"
"810226","0.6875","0.6875","0.6875"
"810752","0.78125","0.78125","0.78125"
"810756","0.59375","0.59375","0.59375"
"810774","0.46875","0.46875","0.46875"
"820268","0.8125","0.8125","0.8125"
"820759","0.75","0.75","0.75"
"820760","0.46875","0.46875","0.46875"
"820784","0.84375","0.84375","0.84375"
"830261","0.6875","0.6875","0.6875"
"830780","0.578125","0.5625","0.59375"
"830781","0.84375","0.84375","0.84375"
"840249","0.90625","0.90625","0.90625"
"840753","0.59375","0.59375","0.59375"
"840760","0.75","0.75","0.75"
"840776","0.65625","0.65625","0.65625"
"850259","0.3125","0.3125","0.3125"
"850761","0.625","0.625","0.625"
"850762","0.6875","0.6875","0.6875"
"850786","0.71875","0.71875","0.71875"
"860247","0.84375","0.84375","0.84375"
"860750","0.8125","0.8125","0.8125"
"860753","0.5625","0.5625","0.5625"
"860867","0.65625","0.65625","0.65625"
"870233","0.75","0.75","0.75"
"870767","0.8125","0.8125","0.8125"
"870774","0.6875","0.6875","0.6875"
"870900","0.71875","0.71875","0.71875"
"880367","0.6875","0.6875","0.6875"
"880782","0.65625","0.65625","0.65625"
"880785","0.75","0.75","0.75"
"880788","0.75","0.75","0.75"
"890398","0.65625","0.65625","0.65625"
"890761","0.65625","0.65625","0.65625"
"890769","0.5625","0.5625","0.5625"
"890789","0.5625","0.5625","0.5625"
"900321","0.75","0.75","0.75"
"900752","0.8125","0.8125","0.8125"
"900790","0.53125","0.53125","0.53125"
