"Step","Group: 27m_vs_30m_QMIX - win_rate","Group: 27m_vs_30m_QMIX - win_rate__MIN","Group: 27m_vs_30m_QMIX - win_rate__MAX"
"450152","0.03125","0.03125","0.03125"
"460014","0","0","0"
"460018","0","0","0"
"460025","0","0","0"
"460150","0","0","0"
"460162","0","0","0"
"460172","0","0","0"
"470003","0","0","0"
"470018","0","0","0"
"470029","0.0625","0.0625","0.0625"
"470033","0.03125","0.03125","0.03125"
"470134","0","0","0"
"470169","0.03125","0.03125","0.03125"
"480006","0.03125","0.03125","0.03125"
"480020","0.0625","0.0625","0.0625"
"480022","0","0","0"
"480025","0","0","0"
"480028","0","0","0"
"480038","0.0625","0.0625","0.0625"
"490019","0.09375","0.09375","0.09375"
"490023","0","0","0"
"490025","0.09375","0.09375","0.09375"
"490074","0.03125","0.03125","0.03125"
"490086","0","0","0"
"490117","0","0","0"
"500007","0","0","0"
"500020","0.03125","0.03125","0.03125"
"500021","0","0","0"
"500091","0","0","0"
"500092","0.03125","0.03125","0.03125"
"500144","0.03125","0.03125","0.03125"
"510000","0","0","0"
"510002","0","0","0"
"510030","0","0","0"
"510033","0.0625","0.0625","0.0625"
"510131","0","0","0"
"510174","0","0","0"
"520002","0","0","0"
"520008","0.03125","0.03125","0.03125"
"520014","0","0","0"
"520015","0.09375","0.09375","0.09375"
"520029","0.03125","0.03125","0.03125"
"520167","0","0","0"
"530004","0","0","0"
"530012","0","0","0"
"530043","0.0625","0.0625","0.0625"
"530059","0","0","0"
"530073","0.09375","0.09375","0.09375"
"530101","0.03125","0.03125","0.03125"
"540002","0.0625","0.0625","0.0625"
"540004","0","0","0"
"540007","0.03125","0.03125","0.03125"
"540008","0","0","0"
"540028","0","0","0"
"540103","0","0","0"
"550018","0.09375","0.09375","0.09375"
"550023","0","0","0"
"550024","0.03125","0.03125","0.03125"
"550032","0","0","0"
"550126","0","0","0"
"550127","0","0","0"
"560013","0.03125","0.03125","0.03125"
"560081","0","0","0"
"560094","0.03125","0.03125","0.03125"
"560104","0.03125","0.03125","0.03125"
"560148","0","0","0"
"560176","0","0","0"
"570016","0.03125","0.03125","0.03125"
"570024","0.03125","0.03125","0.03125"
"570027","0.09375","0.09375","0.09375"
"570029","0.03125","0.03125","0.03125"
"570042","0","0","0"
"570177","0","0","0"
"580001","0.0625","0.0625","0.0625"
"580014","0","0","0"
"580017","0.0625","0.0625","0.0625"
"580019","0.0625","0.0625","0.0625"
"580027","0","0","0"
"580090","0.03125","0.03125","0.03125"
"590012","0.125","0.125","0.125"
